consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_10_cost_efficiency,100,1,0.6435185221490092
1,det_01_profits,100,1,0.5400823095325592
1,det_05_frugality,100,1,0.5331156719344116
1,det_03_risk_profile,100,1,0.47502116209586015
1,det_02_credit_score,100,1,0.43021175797908195
1,det_11_knowledge,88,0.88,0.27025552116595264
1,det_13_technical_fit,49,0.49,0.22566345404053606
1,det_15_self_satisfaction,36,0.36,0.19653388930992374
2,det_06_climate_protection,100,1,0.6884199683601758
2,det_14_environmental_concerns,100,1,0.640281278813619
2,det_23_support,100,1,0.3759317168258266
2,det_04_added_value,99,0.99,0.27121983557248114
2,det_25_agreement,76,0.76,0.20012464930971305
2,det_32_own_significance,63,0.63,0.1833413280301654
2,det_08_trust,45,0.45,0.1555364759991237
2,det_21_rights_and_duties,39,0.39,0.15350483945567317
3,det_20_coziness,100,1,0.712601712340382
3,det_19_wellbeing,100,1,0.6294515481827295
3,det_09_safety,100,1,0.3907055843439954
3,det_18_autonomy,84,0.84,0.18084515412381466
3,det_25_agreement,81,0.81,0.17923801348981888
3,det_27_fun,55,0.55,0.14891432148194186
3,det_13_technical_fit,47,0.47,0.1335642354818839
3,det_15_self_satisfaction,35,0.35,0.11655382167663705
4,det_28_recognition,100,1,0.5863758466079786
4,det_30_authority,100,1,0.5277642959631027
4,det_24_socialising,100,1,0.5133505190711275
4,det_31_approval,98,0.98,0.49476174474879603
4,det_27_fun,93,0.93,0.36736102488468153
4,det_29_trends,86,0.86,0.3649185053357058
4,det_22_peer_pressure,84,0.84,0.36272323652508015
4,det_26_novelty,77,0.77,0.31888542961120897
5,det_21_rights_and_duties,94,0.94,0.5004136709318473
5,det_07_legal,93,0.93,0.5298893916737416
5,det_25_agreement,89,0.89,0.26713267187120826
5,det_08_trust,81,0.81,0.24260490262440243
5,det_09_safety,76,0.76,0.20938324278700116
5,det_03_risk_profile,52,0.52,0.1795398505090098
5,det_31_approval,46,0.46,0.1841300244546134
5,det_22_peer_pressure,45,0.45,0.18634269358266728
6,det_16_commitment,98,0.98,0.3964392454369684
6,det_15_self_satisfaction,95,0.95,0.36797358161638694
6,det_32_own_significance,93,0.93,0.334763688549678
6,det_12_own_competence,76,0.76,0.25631537644383867
6,det_17_adherence,68,0.68,0.2564879894772524
6,det_18_autonomy,64,0.64,0.24372052451711454
6,det_13_technical_fit,53,0.53,0.2200222386907255
6,det_11_knowledge,49,0.49,0.21779320268874422
