"","expert_1","expert_2","expert_3","expert_4","expert_5","expert_6","expert_7","expert_8","expert_9"
"pattern_1",0,14,14,15,14,13,13,14,14
"pattern_2",15,15,5,10,9,16,10,7,9
"pattern_3",15,13,7,6,5,20,12,11,7
"pattern_4",8,8,10,15,12,11,7,8,8
"pattern_5",15,17,11,8,11,22,16,13,13
"pattern_6",2,12,12,13,12,13,11,12,12
"pattern_7",6,10,14,19,16,9,9,12,12
"pattern_8",7,9,15,20,17,8,10,11,13
"pattern_9",15,17,9,6,9,22,18,11,15
"pattern_10",6,12,8,11,8,11,9,8,10
"pattern_11",15,13,7,6,5,18,14,9,7
"pattern_12",15,11,5,8,5,16,10,7,9
"pattern_13",10,10,16,19,16,9,9,16,12
"pattern_14",4,12,14,19,16,11,11,12,12
"pattern_15",11,9,13,18,15,6,8,9,11
"pattern_16",5,11,13,18,15,10,10,13,13
"pattern_17",15,7,9,12,11,14,10,9,5
"pattern_18",15,17,13,10,11,22,18,13,15
"pattern_19",4,10,10,11,10,13,9,10,10
"pattern_20",15,13,5,4,3,20,14,9,9
"pattern_21",15,17,9,12,11,16,12,7,11
"pattern_22",13,13,7,12,9,14,8,5,11
"pattern_23",5,11,13,14,11,12,12,13,11
"pattern_24",8,8,16,21,18,7,9,12,12
"pattern_25",15,13,7,12,11,14,10,9,9
"pattern_26",15,17,13,12,13,22,18,13,19
"pattern_27",14,16,6,3,6,21,15,10,12
"pattern_28",15,15,7,8,7,18,12,11,9
"pattern_29",5,11,15,20,17,10,10,13,13
"pattern_30",9,9,11,14,13,14,10,9,7
"pattern_31",14,10,10,15,12,9,7,6,10
"pattern_32",3,11,11,14,11,12,10,11,11
"pattern_33",15,19,15,10,13,26,18,15,15
"pattern_34",5,11,9,10,9,14,10,11,11
"pattern_35",14,14,6,5,4,19,13,8,12
"pattern_36",15,13,9,6,7,22,18,9,11
"pattern_37",8,12,12,17,14,9,9,14,14
"pattern_38",13,13,11,16,13,14,10,7,13
"pattern_39",15,13,9,12,11,12,8,7,9
"pattern_40",8,12,8,11,8,13,9,8,10
"pattern_41",15,13,5,8,7,16,12,7,7
"pattern_42",15,17,7,10,9,16,10,7,13
"pattern_43",6,12,16,21,18,9,9,14,14
"pattern_44",10,10,12,17,14,9,7,12,12
"pattern_45",15,13,3,6,5,18,12,7,9
"pattern_46",10,16,10,11,10,15,11,10,14
"pattern_47",15,19,13,10,11,24,16,15,15
"pattern_48",6,10,10,13,10,13,9,10,10
"pattern_49",8,8,14,19,16,7,9,10,12
"pattern_50",15,17,9,4,7,22,16,11,11
"pattern_51",15,15,7,6,5,18,14,11,9
"pattern_52",7,11,15,20,17,8,8,13,13
"pattern_53",15,13,5,10,9,14,8,9,9
"pattern_54",8,16,10,9,8,15,11,10,14
"pattern_55",15,15,11,10,11,22,16,13,13
"pattern_56",7,13,9,12,9,12,10,7,11
"pattern_57",3,13,13,16,13,12,12,13,13
"pattern_58",15,11,11,16,13,12,8,7,11
"pattern_59",15,15,5,6,5,18,12,9,9
"pattern_60",15,11,7,10,9,14,10,9,5
"pattern_61",9,9,9,14,11,12,6,7,7
