"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,5,21,0.002625
2,16,205,0.025625
3,124,6026,0.75325
4,308,9954,1.24425
5,1204,69402,8.67525
6,2011,78748,9.8435
7,5347,160766,20.09575
8,6799,175534,21.94175
9,13073,262739,32.842375
10,14494,288001,36.000125
11,20497,358979,44.872375
12,21881,395809,49.476125
13,25459,454299,56.787375
14,26839,599160,74.895
15,28866,648449,81.056125
16,29836,698210,87.27625
17,30827,765472,95.684
18,31239,794563,99.320375
19,31615,798939,99.867375
20,31723,799712,99.964
