"cluster","best_match","pct_match"
"1","Fearful",64.7058823529412
"2","Early Adopter",22.2222222222222
"3","Stubborn",50
"4",NA,NA
"5","Careful",52.6315789473684
"6","Uninterested",29.4117647058824
"7","Influencer",36.3636363636364
"8","Homo Economicus",46.6666666666667
