"scenario","type","reference","archetype","D","n_patterns_covered","freq_covered","pct_covered"
"100-32","pos","experts","Early Adopter",0,0,0,0
"100-32","pos","experts","Early Adopter",2,0,0,0
"100-32","pos","experts","Early Adopter",4,32,404,0.00505
"100-32","pos","experts","Early Adopter",6,354,3697,0.0462125
"100-32","pos","experts","Early Adopter",8,1321,16910,0.211375
"100-32","pos","experts","Early Adopter",10,2985,77096,0.9637
"100-32","pos","experts","Uninterested",0,0,0,0
"100-32","pos","experts","Uninterested",2,0,0,0
"100-32","pos","experts","Uninterested",4,0,0,0
"100-32","pos","experts","Uninterested",6,14,121,0.0015125
"100-32","pos","experts","Uninterested",8,121,493,0.0061625
"100-32","pos","experts","Uninterested",10,530,3466,0.043325
"100-32","pos","experts","Homo Economicus",0,0,0,0
"100-32","pos","experts","Homo Economicus",2,1,1,1.25e-05
"100-32","pos","experts","Homo Economicus",4,10,25,0.0003125
"100-32","pos","experts","Homo Economicus",6,283,1954,0.024425
"100-32","pos","experts","Homo Economicus",8,3523,862587,10.7823375
"100-32","pos","experts","Homo Economicus",10,16931,6083946,76.049325
"100-32","pos","experts","Fearful",0,0,0,0
"100-32","pos","experts","Fearful",2,0,0,0
"100-32","pos","experts","Fearful",4,29,206,0.002575
"100-32","pos","experts","Fearful",6,1218,1902163,23.7770375
"100-32","pos","experts","Fearful",8,9177,5368101,67.1012625
"100-32","pos","experts","Fearful",10,28240,7350284,91.87855
"100-32","pos","experts","Stubborn",0,0,0,0
"100-32","pos","experts","Stubborn",2,9,54,0.000675
"100-32","pos","experts","Stubborn",4,160,1214,0.015175
"100-32","pos","experts","Stubborn",6,762,11615,0.1451875
"100-32","pos","experts","Stubborn",8,2131,65841,0.8230125
"100-32","pos","experts","Stubborn",10,4183,202885,2.5360625
"100-32","pos","experts","Influencer",0,0,0,0
"100-32","pos","experts","Influencer",2,4,4,5e-05
"100-32","pos","experts","Influencer",4,27,146,0.001825
"100-32","pos","experts","Influencer",6,127,1211,0.0151375
"100-32","pos","experts","Influencer",8,365,2863,0.0357875
"100-32","pos","experts","Influencer",10,912,6876,0.08595
"100-32","pos","experts","Careful",0,0,0,0
"100-32","pos","experts","Careful",2,1,14,0.000175
"100-32","pos","experts","Careful",4,103,56040,0.7005
"100-32","pos","experts","Careful",6,1663,1992352,24.9044
"100-32","pos","experts","Careful",8,9685,5647356,70.59195
"100-32","pos","experts","Careful",10,28930,7599690,94.996125
"100-32","pos","experts","Activist",0,0,0,0
"100-32","pos","experts","Activist",2,1,16,2e-04
"100-32","pos","experts","Activist",4,79,6907,0.0863375
"100-32","pos","experts","Activist",6,842,62852,0.78565
"100-32","pos","experts","Activist",8,2949,231812,2.89765
"100-32","pos","experts","Activist",10,11292,3469758,43.371975
"100-32","pos","kmeans","Early.Adopter",0,0,0,0
"100-32","pos","kmeans","Early.Adopter",2,0,0,0
"100-32","pos","kmeans","Early.Adopter",4,0,0,0
"100-32","pos","kmeans","Early.Adopter",6,0,0,0
"100-32","pos","kmeans","Early.Adopter",8,46,63,0.0007875
"100-32","pos","kmeans","Early.Adopter",10,495,894,0.011175
"100-32","pos","kmeans","Fearful",0,0,0,0
"100-32","pos","kmeans","Fearful",2,0,0,0
"100-32","pos","kmeans","Fearful",4,2,92,0.00115
"100-32","pos","kmeans","Fearful",6,309,87740,1.09675
"100-32","pos","kmeans","Fearful",8,3479,4166811,52.0851375
"100-32","pos","kmeans","Fearful",10,16013,7081273,88.5159125
"100-32","pos","kmeans","Careful",0,1,1739,0.0217375
"100-32","pos","kmeans","Careful",2,124,241288,3.0161
"100-32","pos","kmeans","Careful",4,2046,3304940,41.31175
"100-32","pos","kmeans","Careful",6,11707,6710872,83.8859
"100-32","pos","kmeans","Careful",8,32418,7761838,97.022975
"100-32","pos","kmeans","Careful",10,52981,7954365,99.4295625
"100-32","pos","kmeans","Stubborn",0,0,0,0
"100-32","pos","kmeans","Stubborn",2,0,0,0
