"scenario","type","reference","archetype","D","n_patterns_covered","freq_covered","pct_covered"
"100-9","pos","experts","Early.Adopter",0,0,0,0
"100-9","pos","experts","Early.Adopter",2,0,0,0
"100-9","pos","experts","Early.Adopter",4,4,72537,0.9067125
"100-9","pos","experts","Early.Adopter",6,27,1665094,20.813675
"100-9","pos","experts","Early.Adopter",8,57,5699507,71.2438375
"100-9","pos","experts","Early.Adopter",10,62,8000000,100
"100-9","pos","experts","Uninterested",0,0,0,0
"100-9","pos","experts","Uninterested",2,0,0,0
"100-9","pos","experts","Uninterested",4,1,11,0.0001375
"100-9","pos","experts","Uninterested",6,25,3737306,46.716325
"100-9","pos","experts","Uninterested",8,58,7997390,99.967375
"100-9","pos","experts","Uninterested",10,62,8000000,100
"100-9","pos","experts","Homo.Economicus",0,0,0,0
"100-9","pos","experts","Homo.Economicus",2,0,0,0
"100-9","pos","experts","Homo.Economicus",4,12,1460542,18.256775
"100-9","pos","experts","Homo.Economicus",6,40,5266431,65.8303875
"100-9","pos","experts","Homo.Economicus",8,59,5804828,72.56035
"100-9","pos","experts","Homo.Economicus",10,62,8000000,100
"100-9","pos","experts","Fearful",0,0,0,0
"100-9","pos","experts","Fearful",2,0,0,0
"100-9","pos","experts","Fearful",4,8,4653,0.0581625
"100-9","pos","experts","Fearful",6,34,5263744,65.7968
"100-9","pos","experts","Fearful",8,60,5802441,72.5305125
"100-9","pos","experts","Fearful",10,62,8000000,100
"100-9","pos","experts","Stubborn",0,0,0,0
"100-9","pos","experts","Stubborn",2,4,72537,0.9067125
"100-9","pos","experts","Stubborn",4,21,1661894,20.773675
"100-9","pos","experts","Stubborn",6,41,5266435,65.8304375
"100-9","pos","experts","Stubborn",8,60,5804830,72.560375
"100-9","pos","experts","Stubborn",10,62,8000000,100
"100-9","pos","experts","Influencer",0,0,0,0
"100-9","pos","experts","Influencer",2,0,0,0
"100-9","pos","experts","Influencer",4,3,4203,0.0525375
"100-9","pos","experts","Influencer",6,18,263683,3.2960375
"100-9","pos","experts","Influencer",8,54,5492091,68.6511375
"100-9","pos","experts","Influencer",10,62,8000000,100
"100-9","pos","experts","Careful",0,0,0,0
"100-9","pos","experts","Careful",2,0,0,0
"100-9","pos","experts","Careful",4,0,0,0
"100-9","pos","experts","Careful",6,34,5263744,65.7968
"100-9","pos","experts","Careful",8,57,5802434,72.530425
"100-9","pos","experts","Careful",10,62,8000000,100
"100-9","pos","experts","Activist",0,0,0,0
"100-9","pos","experts","Activist",2,0,0,0
"100-9","pos","experts","Activist",4,16,1463241,18.2905125
"100-9","pos","experts","Activist",6,40,5266431,65.8303875
"100-9","pos","experts","Activist",8,60,5804830,72.560375
"100-9","pos","experts","Activist",10,62,8000000,100
"100-9","pos","kmeans","Early.Adopter",0,0,0,0
"100-9","pos","kmeans","Early.Adopter",2,0,0,0
"100-9","pos","kmeans","Early.Adopter",4,0,0,0
"100-9","pos","kmeans","Early.Adopter",6,0,0,0
"100-9","pos","kmeans","Early.Adopter",8,50,4019270,50.240875
"100-9","pos","kmeans","Early.Adopter",10,62,8000000,100
"100-9","pos","kmeans","Fearful",0,0,0,0
"100-9","pos","kmeans","Fearful",2,0,0,0
"100-9","pos","kmeans","Fearful",4,0,0,0
"100-9","pos","kmeans","Fearful",6,0,0,0
"100-9","pos","kmeans","Fearful",8,38,5484601,68.5575125
"100-9","pos","kmeans","Fearful",10,62,8000000,100
"100-9","pos","kmeans","Careful",0,0,0,0
"100-9","pos","kmeans","Careful",2,0,0,0
"100-9","pos","kmeans","Careful",4,31,5263153,65.7894125
"100-9","pos","kmeans","Careful",6,56,5802433,72.5304125
"100-9","pos","kmeans","Careful",8,61,7999999,99.9999875
"100-9","pos","kmeans","Careful",10,62,8000000,100
"100-9","pos","kmeans","Stubborn",0,0,0,0
"100-9","pos","kmeans","Stubborn",2,0,0,0
"100-9","pos","kmeans","Stubborn",4,0,0,0
"100-9","pos","kmeans","Stubborn",6,25,4550153,56.8769125
"100-9","pos","kmeans","Stubborn",8,60,7999998,99.999975
"100-9","pos","kmeans","Stubborn",10,62,8000000,100
