"cluster","n_active_dets","active_determinants"
"cluster_1",0,""
"cluster_2",15,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF-SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; RECOGNITION; OWN SIGNIFICANCE"
"cluster_3",14,"CLIMATE PROTECTION; TRUST; COST-EFFICIENCY; KNOWLEDGE; ENVIRONMENTAL CONCERNS; SELF-SATISFACTION; ADHERENCE; PEER-PRESSURE; SOCIALISING; FUN; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE"
"cluster_4",15,"PROFITS; CREDIT SCORE; ADDED VALUE; FRUGALITY; CLIMATE PROTECTION; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; ENVIRONMENTAL CONCERNS; AUTARKY; COZINESS; RIGHTS AND DUTIES"
"cluster_5",15,"PROFITS; CREDIT SCORE; RISK PROFILE; CLIMATE PROTECTION; LEGAL; COST-EFFICIENCY; OWN COMPETENCE; TECHNICAL FIT; COZINESS; SOCIALISING; NOVELTY; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE"
