dataset_source,n_rows,n_with_any_det,n_complete_32_det,mean_n_det_non_missing,min_n_det_non_missing,max_n_det_non_missing
diego,1899,1899,1899,32,32,32
rv,703,416,187,17.146514935988627,0,32
why,871,862,716,31.212399540757744,0,32
TOTAL,3473,3177,2802,28.79585372876467,0,32
