"cluster","n_active_dets","active_determinants"
"cluster_1",15,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; ENVIRONMENTAL CONCERNS; SELF-SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; RIGHTS AND DUTIES"
"cluster_2",15,"PROFITS; CREDIT SCORE; RISK PROFILE; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF-SATISFACTION; COMMITMENT; ADHERENCE; AUTARKY; WELLBEING; COZINESS"
"cluster_3",15,"CREDIT SCORE; RISK PROFILE; ADDED VALUE; CLIMATE PROTECTION; LEGAL; TRUST; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; ENVIRONMENTAL CONCERNS; SELF-SATISFACTION; COMMITMENT; ADHERENCE; RIGHTS AND DUTIES"
"cluster_4",15,"PROFITS; CREDIT SCORE; RISK PROFILE; FRUGALITY; LEGAL; TRUST; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF-SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; RIGHTS AND DUTIES"
"cluster_5",15,"CREDIT SCORE; RISK PROFILE; ADDED VALUE; CLIMATE PROTECTION; TRUST; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; ENVIRONMENTAL CONCERNS; SELF-SATISFACTION; COMMITMENT; ADHERENCE; AUTARKY; APPROVAL"
"cluster_6",15,"PROFITS; CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; SELF-SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; COZINESS; RIGHTS AND DUTIES"
"cluster_7",15,"CREDIT SCORE; RISK PROFILE; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF-SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; COZINESS; RIGHTS AND DUTIES; APPROVAL"
"cluster_8",14,"PROFITS; CREDIT SCORE; RISK PROFILE; FRUGALITY; TRUST; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF-SATISFACTION; COMMITMENT; ADHERENCE; AUTARKY; WELLBEING"
