macro_archetype_5,self_profile,n_participantes
G1_Activist_Stubborn_Sentient,Activista,63
G1_Activist_Stubborn_Sentient,Sensible,51
G2_EarlyAdopter_Influencer,Influyente,35
G2_EarlyAdopter_Influencer,Pionero,1
G3_Fearful_Careful,Cuidadoso/a,75
G3_Fearful_Careful,Temeroso/a,66
G4_HomoEconomicus,Homo economicus,55
