term,estimate,std.error,statistic,p.value,coef.type,sample_label,sample_label_es,n_participants,boot_id,model_type,model_label,formula,term_label,tipo_termino,is_significant
Knowledge|Considering,-1.014975543836746,0.12352395901686991,-8.216831389755965,2.0895052245640905e-16,intercept,full,muestra completa,346,0,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Knowledge|Considering,Umbral de etapa,TRUE
Considering|Done,0.4978854202213975,0.11911468409646273,4.179882807884497,2.91659362043137e-5,intercept,full,muestra completa,346,0,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Considering|Done,Umbral de etapa,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer,-0.061167898371077535,0.2337607358006754,-0.26166883057398727,0.793576773029512,location,full,muestra completa,346,0,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,FALSE
macro_archetype_5G3_Fearful_Careful,-0.09086327204049255,0.15304738258663644,-0.593693733958874,0.5527169748006083,location,full,muestra completa,346,0,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G3 Fearful Careful,Arquetipo,FALSE
macro_archetype_5G4_HomoEconomicus,-0.1897416641341276,0.19606918171880414,-0.9677281379500464,0.33318016152167684,location,full,muestra completa,346,0,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G4 HomoEconomicus,Arquetipo,FALSE
Knowledge|Considering,-1.0662859363099846,NA,NA,NA,intercept,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Knowledge|Considering,Umbral de etapa,FALSE
Considering|Done,0.4581155278724201,NA,NA,NA,intercept,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Considering|Done,Umbral de etapa,FALSE
macro_archetype_5G2_EarlyAdopter_Influencer,-0.051539017327231554,NA,NA,NA,location,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,FALSE
macro_archetype_5G3_Fearful_Careful,-0.1541092549656651,NA,NA,NA,location,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Arquetipo: G3 Fearful Careful,Arquetipo,FALSE
macro_archetype_5G4_HomoEconomicus,-0.2929697259763789,NA,NA,NA,location,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Arquetipo: G4 HomoEconomicus,Arquetipo,FALSE
z_FINANCIAL,0.18108361898315725,NA,NA,NA,location,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Seguridad financiera,Dimensión,FALSE
z_SECURITY,0.002088314076942738,NA,NA,NA,location,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Seguridad,Dimensión,FALSE
z_COMPETENCE,-0.026386855779304347,NA,NA,NA,location,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Competencia,Dimensión,FALSE
z_AUTONOMY,-0.11044014359666088,NA,NA,NA,location,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Autonomía,Dimensión,FALSE
z_PHYSIOLOGICAL,0.17558392935046574,NA,NA,NA,location,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Materialidad,Dimensión,FALSE
z_RELATEDNESS,-0.24330643400313678,NA,NA,NA,location,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Vinculación,Dimensión,FALSE
z_STIMULATION,0.5350086359799283,NA,NA,NA,location,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Estímulo,Dimensión,FALSE
z_POPULARITY,0.1360369540395984,NA,NA,NA,location,full,muestra completa,346,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Popularidad,Dimensión,FALSE
