term,estimate,std.error,statistic,p.value,coef.type,sample_label,sample_label_es,n_participants,boot_id,model_type,model_label,formula,term_label,tipo_termino,is_significant
Knowledge|Considering,-1.079670291108078,NA,NA,NA,intercept,political_bootstrap,bootstrap político,339,1,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Knowledge|Considering,Umbral de etapa,FALSE
Considering|Done,0.4925917446787047,NA,NA,NA,intercept,political_bootstrap,bootstrap político,339,1,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Considering|Done,Umbral de etapa,FALSE
macro_archetype_5G2_EarlyAdopter_Influencer,-0.07221828020087005,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,FALSE
macro_archetype_5G3_Fearful_Careful,-0.07146078463384542,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G3 Fearful Careful,Arquetipo,FALSE
macro_archetype_5G4_HomoEconomicus,-0.29353927360951726,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G4 HomoEconomicus,Arquetipo,FALSE
Knowledge|Considering,-1.1013072137180908,NA,NA,NA,intercept,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Knowledge|Considering,Umbral de etapa,FALSE
Considering|Done,0.4993262533593902,NA,NA,NA,intercept,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Considering|Done,Umbral de etapa,FALSE
macro_archetype_5G2_EarlyAdopter_Influencer,-0.06874827164935472,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,FALSE
macro_archetype_5G3_Fearful_Careful,-0.09664969323254853,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Arquetipo: G3 Fearful Careful,Arquetipo,FALSE
macro_archetype_5G4_HomoEconomicus,-0.3088944933109912,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Arquetipo: G4 HomoEconomicus,Arquetipo,FALSE
z_FINANCIAL,0.05943468004276084,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Seguridad financiera,Dimensión,FALSE
z_SECURITY,-0.1279969394835783,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Seguridad,Dimensión,FALSE
z_COMPETENCE,-0.3410159512309238,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Competencia,Dimensión,FALSE
z_AUTONOMY,-0.09293893050197354,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Autonomía,Dimensión,FALSE
z_PHYSIOLOGICAL,0.3051499959376239,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Materialidad,Dimensión,FALSE
z_RELATEDNESS,-1.1949619521259147,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Vinculación,Dimensión,FALSE
z_STIMULATION,0.6349371347798877,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Estímulo,Dimensión,FALSE
z_POPULARITY,0.2787453355321966,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Popularidad,Dimensión,FALSE
z_MEANING,0.07179029050643507,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Dimensión: Significado,Dimensión,FALSE
Knowledge|Considering,-1.191603603439199,NA,NA,NA,intercept,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Knowledge|Considering,Umbral de etapa,FALSE
Considering|Done,0.4372792653852314,NA,NA,NA,intercept,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Considering|Done,Umbral de etapa,FALSE
macro_archetype_5G2_EarlyAdopter_Influencer,0.08713173070512144,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,FALSE
macro_archetype_5G3_Fearful_Careful,-0.18528722694097013,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G3 Fearful Careful,Arquetipo,FALSE
macro_archetype_5G4_HomoEconomicus,-0.2654271161877114,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Arquetipo: G4 HomoEconomicus,Arquetipo,FALSE
z_FINANCIAL,0.6785192392001906,NA,NA,NA,location,political_bootstrap,bootstrap político,339,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),Dimensión: Seguridad financiera,Dimensión,FALSE
