political_profile,mean_n,min_n,max_n,mean_prop,min_prop,max_prop
Left,45.81,41,51,0.13770598836779396,0.12424242424242424,0.15223880597014924
Moderate,113.6,104,122,0.34148258382479396,0.3191489361702128,0.3609467455621302
Right,173.26,163,187,0.5208114278074121,0.49393939393939396,0.5476923076923077
