participant_id,macro_archetype_5,self_profile,adoption_stage,stage,technology,FINANCIAL,SECURITY,COMPETENCE,AUTONOMY,PHYSIOLOGICAL,RELATEDNESS,STIMULATION,POPULARITY,MEANING,z_FINANCIAL,z_SECURITY,z_COMPETENCE,z_AUTONOMY,z_PHYSIOLOGICAL,z_RELATEDNESS,z_STIMULATION,z_POPULARITY,z_MEANING
271,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Renovación de envolvente,-0.7935457902326288,0,0.047003257502044954,0,0,0,-0.5234530036173478,0,0,-0.7935457902326288,0,0.047003257502044954,0,0,0,-0.5234530036173478,0,0
271,G1_Activist_Stubborn_Sentient,Sensible,Knowledge,"No la conoce, pero le genera curiosidad",Renovación de envolvente,-0.7935457902326288,0,0.047003257502044954,-0.33571787472848713,0,0,0,0,0,-0.7935457902326288,0,0.047003257502044954,-0.33571787472848713,0,0,0,0,0
272,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Cambio de tarifa eléctrica,0,0,0,0,0,0,0,0,0.32857165114539544,0,0,0,0,0,0,0,0,0.32857165114539544
272,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Ascensor,0,0,0,0,0,0,-1.5184623399182626,0,0,0,0,0,0,0,0,-1.5184623399182626,0,0
272,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Sistemas inteligentes del hogar,0,0,0,0,0,0,-1.5184623399182626,0,0,0,0,0,0,0,0,-1.5184623399182626,0,0
274,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Renovación de envolvente,-0.624055433511976,0.22797966279580945,0,0,0,0,0,0,0,-0.624055433511976,0.22797966279580945,0,0,0,0,0,0,0
274,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Comunidad energética,0,0.22797966279580945,0.251603403274195,-0.2322966039753954,0,0,0,0,0,0,0.22797966279580945,0.251603403274195,-0.2322966039753954,0,0,0,0,0
274,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Vehículo eléctrico,-0.624055433511976,0.22797966279580945,0,-0.2322966039753954,0,0,0,0,0,-0.624055433511976,0.22797966279580945,0,-0.2322966039753954,0,0,0,0,0
275,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Calefacción fósil o biomasa,0,0.07784782962182463,0,0,1.1594008078678835,0,0,0,-1.003425741736343,0,0.07784782962182463,0,0,1.1594008078678835,0,0,0,-1.003425741736343
276,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Vehículo eléctrico,0,0,0.7024417575293292,0,0,0,0.6490205301258858,0,0.7887410673266144,0,0,0.7024417575293292,0,0,0,0.6490205301258858,0,0.7887410673266144
276,G1_Activist_Stubborn_Sentient,Activista,Considering,La conoce / la consideraría,Comunidad energética,0,0,0,0,0,0.58045836350731,0.6490205301258858,0,0.7887410673266144,0,0,0,0,0,0.58045836350731,0.6490205301258858,0,0.7887410673266144
