model_type,model_label,n_boot,n_ok,convergence_rate,mean_n_participants,min_n_participants,max_n_participants,mean_AIC,sd_AIC,mean_BIC,sd_BIC,mean_logLik,sd_logLik,mean_terms_with_p,mean_significant_terms,n_with_warnings
M0,M0: solo arquetipo,100,100,1,332.67,317,347,1694.112199694981,42.18317693857739,1721.9958662694123,42.328892529607906,-841.0560998474905,21.091588469288695,2.65,1.06,0
M2_REDUCED,M2 reducido: interacciones teóricas,100,100,1,332.67,317,347,1694.475504863718,44.67310839847314,1833.8474259141776,45.37970927682829,-817.247752431859,22.338022017813977,11.02,2.42,12
M1,M1: arquetipo + dimensiones,100,100,1,332.67,317,347,1697.2264668156895,42.58944149773166,1766.935633251768,42.95009945073488,-833.6132334078447,21.29472074886583,7.28,1.74,0
M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,100,100,1,332.67,317,347,1702.4975438328659,45.20035884003247,1895.9627788380894,46.12839504954188,-809.6187719164329,22.636482552792977,9.32,1.37,68
