analysis_sample,matrix_name,n_factors,determinant,mean_importance,sd_importance,median_importance,mean_rank,prop_above_0_20,prop_above_0_30,prop_above_0_40
WHY_EUROPE,matrix_32_ext_0_1,2,det_28_recognition,0.6940912498469467,0.07055121548350106,0.6948785726627139,3.4,1,1,1
WHY_EUROPE,matrix_32_ext_0_1,2,det_31_approval,0.6914472669105698,0.0740564463772595,0.6952631256941961,3.55,1,1,1
WHY_EUROPE,matrix_32_ext_0_1,2,det_24_socialising,0.6716837037254656,0.07592773741620504,0.6811998256411242,4.14,1,1,0.99
WHY_EUROPE,matrix_32_ext_0_1,2,det_29_trends,0.641418366981976,0.0665801049433049,0.6448180259759974,5.41,1,1,1
WHY_EUROPE,matrix_32_ext_0_1,2,det_15_self_satisfaction,0.6103265329229501,0.07843581877700444,0.609136200169539,6.88,1,1,0.99
WHY_EUROPE,matrix_32_ext_0_1,2,det_30_authority,0.6032434322588183,0.08370807265862845,0.6074043460686256,7.42,1,1,0.99
WHY_EUROPE,matrix_32_ext_0_1,2,det_16_commitment,0.5883234268750561,0.08081364499138007,0.5979089266416316,8.25,1,0.99,0.97
WHY_EUROPE,matrix_32_ext_0_1,2,det_03_risk_profile,0.5490546440940699,0.08262485996443734,0.5466779737737205,10.43,1,0.99,0.96
WHY_EUROPE,matrix_32_ext_0_1,2,det_10_cost_efficiency,0.5456343494368778,0.08768881377613491,0.5476807546499107,10.8,1,0.99,0.92
WHY_EUROPE,matrix_32_ext_0_1,2,det_09_safety,0.5397446714247398,0.0781215835602399,0.5443241127276,11.13,1,0.99,0.95
WHY_EUROPE,matrix_32_ext_0_1,2,det_19_wellbeing,0.5308085044472662,0.08855207370639968,0.5380174937416775,11.55,1,0.98,0.91
WHY_EUROPE,matrix_32_ext_0_1,2,det_13_technical_fit,0.5061692734763671,0.08784766574244081,0.5074957280936587,13.28,1,0.98,0.9
WHY_EUROPE,matrix_32_ext_0_1,2,det_17_adherence,0.5022068144544224,0.09257559732305887,0.5063324156063129,13.98,1,0.97,0.86
WHY_EUROPE,matrix_32_ext_0_1,2,det_08_trust,0.4854519034822313,0.08740471446060902,0.48290157697016634,14.75,0.99,0.98,0.82
WHY_EUROPE,matrix_32_ext_0_1,2,det_18_autonomy,0.44712829108576074,0.10048963670274269,0.4539927714337925,17.41,1,0.92,0.7
WHY_EUROPE,matrix_32_ext_0_1,2,det_11_knowledge,0.4422250421921924,0.08131081200577059,0.44223287850491955,17.78,1,0.98,0.69
WHY_EUROPE,matrix_32_ext_0_1,2,det_27_fun,0.4236464854188091,0.11192695807042992,0.43693341104316913,19.04,0.98,0.88,0.56
WHY_EUROPE,matrix_32_ext_0_1,2,det_23_support,0.4198822136116282,0.09101470373593995,0.4174096355952107,19.56,1,0.92,0.57
WHY_EUROPE,matrix_32_ext_0_1,2,det_22_peer_pressure,0.4180631035974088,0.08822007741448129,0.40736214845737095,19.41,1,0.91,0.58
WHY_EUROPE,matrix_32_ext_0_1,2,det_07_legal,0.40125791903312724,0.09051197525194538,0.4006915157162708,20.76,1,0.87,0.5
WHY_EUROPE,matrix_32_ext_0_1,2,det_20_coziness,0.39390743976705156,0.09744183196562345,0.4040232233007376,21.31,0.98,0.81,0.52
WHY_EUROPE,matrix_32_ext_0_1,2,det_05_frugality,0.38776013852279195,0.07930570432548069,0.37962190129612494,21.51,1,0.86,0.42
WHY_EUROPE,matrix_32_ext_0_1,2,det_12_own_competence,0.3825611212077828,0.07590676542337577,0.38655428559797933,22.08,0.99,0.85,0.42
WHY_EUROPE,matrix_32_ext_0_1,2,det_01_profits,0.36031380259235285,0.07465453082272011,0.3479263669804543,23.52,1,0.81,0.24
WHY_EUROPE,matrix_32_ext_0_1,2,det_25_agreement,0.354454419008486,0.093087255468234,0.36308200955387615,23.92,0.97,0.71,0.29
WHY_EUROPE,matrix_32_ext_0_1,2,det_14_environmental_concerns,0.3503738084494165,0.08218432135710023,0.3457958160131665,24.22,0.98,0.68,0.26
WHY_EUROPE,matrix_32_ext_0_1,2,det_21_rights_and_duties,0.3455739182881351,0.0887765807646496,0.347531929066343,24.54,0.95,0.65,0.27
WHY_EUROPE,matrix_32_ext_0_1,2,det_06_climate_protection,0.34426366500438554,0.10974111670891526,0.3371781937541861,24.5,0.92,0.66,0.27
WHY_EUROPE,matrix_32_ext_0_1,2,det_02_credit_score,0.3439809225058346,0.07164662560477912,0.3343986096139666,24.93,0.99,0.72,0.23
WHY_EUROPE,matrix_32_ext_0_1,2,det_26_novelty,0.3223346743757613,0.09566535569250567,0.30130468933225896,25.8,0.92,0.52,0.23
WHY_EUROPE,matrix_32_ext_0_1,2,det_04_added_value,0.31708226037267695,0.08189580637689033,0.3208319080506923,26.21,0.93,0.59,0.15
WHY_EUROPE,matrix_32_ext_0_1,2,det_32_own_significance,0.31531404450365524,0.07383284923664148,0.30573892700011307,26.53,0.92,0.55,0.14
WHY_EUROPE,matrix_32_ext_0_1,3,det_28_recognition,0.7147822112279356,0.07498803096820701,0.7120078601991268,3,1,1,1
WHY_EUROPE,matrix_32_ext_0_1,3,det_31_approval,0.7083072916088893,0.0724399439882431,0.723042981874229,3.11,1,1,1
WHY_EUROPE,matrix_32_ext_0_1,3,det_24_socialising,0.6459924112997388,0.07922183559119846,0.6489484964531451,5.59,1,1,0.99
WHY_EUROPE,matrix_32_ext_0_1,3,det_29_trends,0.6363945108585812,0.07235873029898357,0.6407001068201706,6,1,1,0.99
WHY_EUROPE,matrix_32_ext_0_1,3,det_30_authority,0.5876908688321713,0.09150767760667324,0.5911084624882228,8.8,1,1,0.99
WHY_EUROPE,matrix_32_ext_0_1,3,det_15_self_satisfaction,0.580708546428367,0.1026975779935774,0.5935562653269717,8.99,1,1,0.94
WHY_EUROPE,matrix_32_ext_0_1,3,det_16_commitment,0.5762856244945769,0.0992811089120513,0.5828326281134091,9.51,1,1,0.91
WHY_EUROPE,matrix_32_ext_0_1,3,det_19_wellbeing,0.5157553083738623,0.10024335844382959,0.5122113634316421,13.17,1,0.99,0.87
WHY_EUROPE,matrix_32_ext_0_1,3,det_10_cost_efficiency,0.5055138399068779,0.0976899212623448,0.5005751384494588,13.66,1,0.99,0.86
WHY_EUROPE,matrix_32_ext_0_1,3,det_03_risk_profile,0.5050407018735503,0.09661269860625847,0.5152537650456079,13.39,1,0.99,0.82
WHY_EUROPE,matrix_32_ext_0_1,3,det_17_adherence,0.4925123786750498,0.10853259159305681,0.49224038771858114,14.72,1,0.95,0.82
WHY_EUROPE,matrix_32_ext_0_1,3,det_09_safety,0.4923238683260128,0.0878658372878395,0.496150826387423,14.66,1,1,0.82
WHY_EUROPE,matrix_32_ext_0_1,3,det_13_technical_fit,0.4842345278353618,0.1055339593898691,0.48141057122792297,14.97,1,0.97,0.75
WHY_EUROPE,matrix_32_ext_0_1,3,det_08_trust,0.47040881506924126,0.09725286412581079,0.4740530578384808,15.76,1,0.96,0.78
WHY_EUROPE,matrix_32_ext_0_1,3,det_23_support,0.4623716205153813,0.10794377001657807,0.4515312800839938,16.6,0.99,0.95,0.69
WHY_EUROPE,matrix_32_ext_0_1,3,det_11_knowledge,0.4578250780822564,0.1104158907905114,0.4718653443698855,17.11,1,0.89,0.67
WHY_EUROPE,matrix_32_ext_0_1,3,det_20_coziness,0.4475974961891078,0.13606627575878927,0.4441054409679087,17.96,0.99,0.85,0.59
WHY_EUROPE,matrix_32_ext_0_1,3,det_04_added_value,0.4297501083929411,0.16041913063737923,0.4002900534072725,18.91,0.97,0.76,0.5
WHY_EUROPE,matrix_32_ext_0_1,3,det_06_climate_protection,0.4217888729635966,0.13477213343305017,0.39704836988070535,19.49,0.98,0.8,0.48
WHY_EUROPE,matrix_32_ext_0_1,3,det_01_profits,0.4116010022801202,0.1169525409866141,0.4077350182807197,20.08,0.99,0.82,0.53
WHY_EUROPE,matrix_32_ext_0_1,3,det_27_fun,0.41018860019418046,0.10797804826451307,0.39351694837136647,20.13,0.99,0.86,0.49
WHY_EUROPE,matrix_32_ext_0_1,3,det_18_autonomy,0.4101552444360175,0.10094508782733952,0.4051618692545813,20.23,0.99,0.87,0.54
WHY_EUROPE,matrix_32_ext_0_1,3,det_05_frugality,0.40921484705434796,0.11495330440059784,0.3847508048230265,20.33,0.99,0.83,0.47
WHY_EUROPE,matrix_32_ext_0_1,3,det_07_legal,0.40377845271775814,0.10859173143931869,0.3923496275509831,20.73,1,0.83,0.48
WHY_EUROPE,matrix_32_ext_0_1,3,det_22_peer_pressure,0.39486614713759466,0.08666509841257108,0.3920457050303283,21.12,1,0.85,0.45
WHY_EUROPE,matrix_32_ext_0_1,3,det_12_own_competence,0.38642434115406527,0.09384927059923265,0.3919320832972365,21.8,0.99,0.81,0.46
WHY_EUROPE,matrix_32_ext_0_1,3,det_14_environmental_concerns,0.3778431871872787,0.10611226004904888,0.3747772668929151,22.25,0.99,0.74,0.38
WHY_EUROPE,matrix_32_ext_0_1,3,det_21_rights_and_duties,0.36929045690103773,0.09869211488566122,0.3578687365272505,23.35,0.97,0.77,0.38
WHY_EUROPE,matrix_32_ext_0_1,3,det_25_agreement,0.35015347423249527,0.09179719404294606,0.3508231840448982,24.36,0.97,0.68,0.29
WHY_EUROPE,matrix_32_ext_0_1,3,det_26_novelty,0.3237991675206897,0.09206759874611428,0.305499761385552,25.96,0.9,0.53,0.19
WHY_EUROPE,matrix_32_ext_0_1,3,det_32_own_significance,0.32135043751799813,0.0910627570851014,0.3189496698845288,25.91,0.94,0.54,0.22
WHY_EUROPE,matrix_32_ext_0_1,3,det_02_credit_score,0.3190678007072354,0.08185528733277081,0.3134167404933841,26.35,0.96,0.58,0.14
WHY_EUROPE,matrix_32_ext_0_1,4,det_28_recognition,0.7328954264674854,0.0760368113762185,0.7421916224771077,2.86,1,1,1
WHY_EUROPE,matrix_32_ext_0_1,4,det_31_approval,0.7202871564638222,0.07624724817922918,0.7262164687950967,3.22,1,1,1
WHY_EUROPE,matrix_32_ext_0_1,4,det_24_socialising,0.6309703928426184,0.09019573233322942,0.6380559621926125,6.77,1,1,0.98
WHY_EUROPE,matrix_32_ext_0_1,4,det_29_trends,0.6223730268313613,0.09043171098229236,0.6369484365432632,7.17,1,1,1
WHY_EUROPE,matrix_32_ext_0_1,4,det_30_authority,0.5865976130788252,0.09193394867309275,0.5842357786288574,8.98,1,1,0.99
WHY_EUROPE,matrix_32_ext_0_1,4,det_15_self_satisfaction,0.5617546225112336,0.11829223387701307,0.5568715526141951,10.8,1,1,0.9
WHY_EUROPE,matrix_32_ext_0_1,4,det_16_commitment,0.5457103331025558,0.11311313396734288,0.5562500935110385,11.23,1,0.99,0.9
WHY_EUROPE,matrix_32_ext_0_1,4,det_19_wellbeing,0.5282283754547488,0.1282169987021625,0.5249562654334485,13.12,1,0.98,0.83
