"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Stubborn",6555569,81.9446125
2,"Activist",4852952,60.6619
3,"Early.Adopter",4511762,56.397025
4,"Homo.Economicus",2920440,36.5055
5,"Fearful",2795274,34.940925
6,"Influencer",2698604,33.73255
7,"Uninterested",203033,2.5379125
8,"Careful",0,0
