dataset_source,vote_approach_41_model,electoral_group_model,electoral_group_quality,n,prop_source
diego,NA,NA,not_available_outside_rv,1899,1
rv,regionalist,GREENS_EFA,classified_voter_group,116,0.16500711237553342
rv,NA,NA,missing_vote_approach_41,91,0.12944523470839261
rv,abstention,ABSTENTION,classified_abstention,67,0.0953058321479374
rv,switch,SD,classified_voter_group,63,0.08961593172119488
rv,switch,NA,missing_left_right_position,60,0.08534850640113797
rv,switch,EPP,classified_voter_group,51,0.07254623044096728
rv,other,NI,classified_voter_group,47,0.06685633001422475
rv,national,NA,missing_left_right_position,40,0.05689900426742532
rv,switch,GUE_NGL,classified_voter_group,37,0.05263157894736842
rv,national,GUE_NGL,classified_voter_group,27,0.03840682788051209
rv,switch,ECR,classified_voter_group,20,0.02844950213371266
rv,national,ECR,classified_voter_group,19,0.02702702702702703
rv,national,SD,classified_voter_group,17,0.02418207681365576
rv,national,EPP,classified_voter_group,16,0.02275960170697013
rv,regionalist,NA,missing_left_right_position,13,0.01849217638691323
rv,regionalist,RENEW,classified_voter_group,8,0.011379800853485065
rv,national,PFE,classified_voter_group,6,0.008534850640113799
rv,switch,PFE,classified_voter_group,3,0.004267425320056899
rv,national,ESN,classified_voter_group,1,0.001422475106685633
rv,switch,ESN,classified_voter_group,1,0.001422475106685633
why,NA,NA,not_available_outside_rv,990,1
