electoral_group_model,n_pool,target_n_in_bootstrap,target_share_global,pool_empty
EPP,67,122,0.12174280155642027,FALSE
SD,80,98,0.09802791828793778,FALSE
PFE,9,56,0.05597480544747083,FALSE
ECR,39,53,0.0532864785992218,FALSE
RENEW,8,53,0.05261439688715955,FALSE
GREENS_EFA,116,35,0.034852237354085616,FALSE
GUE_NGL,64,32,0.032259922178988334,FALSE
NI,47,23,0.023042801556420238,FALSE
ESN,2,22,0.021698638132295722,FALSE
