term,estimate,std_error,z_value,p_value
(Intercept),1.5047033288739577,0.5521546445044928,2.7251483689398075,0.006427259748433055
f_age_group_model25_34,-0.7687586050934181,0.5203762113983478,-1.477313121265902,0.13959172235560097
f_age_group_model55_64,0.3623218540982569,0.6445288021357054,0.5621499813471021,0.5740138371203082
f_age_group_model35_44,-0.08474410099202424,0.551795197211324,-0.15357890286161613,0.8779417726426978
f_age_group_model18_24,-0.7171046849091434,0.6532491957580925,-1.0977505821142985,0.2723134157689884
f_age_group_model65_PLUS,0.24878550082974363,1.164466121571389,0.2136476933257792,0.8308218040920109
f_age_group_modelUNKNOWN_MODEL,-0.08388902803365743,0.5703138991423273,-0.147092729389578,0.8830588285643951
f_gender_modelMALE,-0.011393175202342882,0.3284665243169884,-0.03468595536800528,0.9723301601819181
f_gender_modelOTHER_MODEL,-1.1646782958021595,0.7248873925281094,-1.6067023758548762,0.10811967220084605
f_country_model_groupedOTHER_MODEL,-0.24217359519255868,0.5151765877794832,-0.4700788058641729,0.638298715706934
f_country_model_groupedES,0.4001023096542613,0.5254958660512061,0.7613805083963762,0.4464298261444726
f_country_model_groupedIT,0.16960521683617802,0.6985110117922739,0.2428096536388118,0.8081528568145948
f_country_model_groupedPL,0.2832756530218994,0.6510805392429919,0.4350854248404699,0.66350042247091
f_country_model_groupedGR,0.14360080680668946,0.9440882242088432,0.15210528330339954,0.8791038972235438
f_country_model_groupedFR,0.20702816128888588,0.7066426329665142,0.29297434322604243,0.7695417627883361
f_country_model_groupedNL,0.22176693216238383,0.911299604048636,0.24335238507417167,0.8077324263726566
f_country_model_groupedDE,-0.1524231066517734,0.7043177908570571,-0.21641240450038268,0.8286662979719033
f_employment_modelEMPLOYED,0.10481003835400467,0.33308381900346246,0.31466565583275946,0.7530155231965808
f_employment_modelUNEMPLOYED,-0.1397248318724907,0.7552363492545928,-0.185008086555152,0.8532226929133443
f_employment_modelSTUDENT,-0.4875059102977069,0.7301897738716028,-0.6676427522572103,0.5043616608598329
f_employment_modelOTHER_MODEL,16.719403720691503,4607.643805603711,0.003628623310759774,0.9971047838368838
f_employment_modelRETIRED,16.616956265222925,963.9881972609328,0.01723771754927933,0.9862469724005853
