bootstrap_id,target_sample_type,target_electoral_group,n,prop_bootstrap
1,abstention,ABSTENTION,506,0.506
1,voter,ECR,53,0.053
1,voter,EPP,122,0.122
1,voter,ESN,22,0.022
1,voter,GREENS_EFA,35,0.035
1,voter,GUE_NGL,32,0.032
1,voter,NI,23,0.023
1,voter,PFE,56,0.056
1,voter,RENEW,53,0.053
1,voter,SD,98,0.098
2,abstention,ABSTENTION,506,0.506
2,voter,ECR,53,0.053
2,voter,EPP,122,0.122
2,voter,ESN,22,0.022
2,voter,GREENS_EFA,35,0.035
2,voter,GUE_NGL,32,0.032
2,voter,NI,23,0.023
2,voter,PFE,56,0.056
2,voter,RENEW,53,0.053
2,voter,SD,98,0.098
3,abstention,ABSTENTION,506,0.506
3,voter,ECR,53,0.053
3,voter,EPP,122,0.122
3,voter,ESN,22,0.022
3,voter,GREENS_EFA,35,0.035
3,voter,GUE_NGL,32,0.032
3,voter,NI,23,0.023
3,voter,PFE,56,0.056
3,voter,RENEW,53,0.053
3,voter,SD,98,0.098
4,abstention,ABSTENTION,506,0.506
4,voter,ECR,53,0.053
4,voter,EPP,122,0.122
4,voter,ESN,22,0.022
4,voter,GREENS_EFA,35,0.035
4,voter,GUE_NGL,32,0.032
4,voter,NI,23,0.023
4,voter,PFE,56,0.056
4,voter,RENEW,53,0.053
4,voter,SD,98,0.098
5,abstention,ABSTENTION,506,0.506
5,voter,ECR,53,0.053
5,voter,EPP,122,0.122
5,voter,ESN,22,0.022
5,voter,GREENS_EFA,35,0.035
5,voter,GUE_NGL,32,0.032
5,voter,NI,23,0.023
5,voter,PFE,56,0.056
5,voter,RENEW,53,0.053
5,voter,SD,98,0.098
6,abstention,ABSTENTION,506,0.506
6,voter,ECR,53,0.053
6,voter,EPP,122,0.122
6,voter,ESN,22,0.022
6,voter,GREENS_EFA,35,0.035
6,voter,GUE_NGL,32,0.032
6,voter,NI,23,0.023
6,voter,PFE,56,0.056
6,voter,RENEW,53,0.053
6,voter,SD,98,0.098
7,abstention,ABSTENTION,506,0.506
7,voter,ECR,53,0.053
7,voter,EPP,122,0.122
7,voter,ESN,22,0.022
7,voter,GREENS_EFA,35,0.035
7,voter,GUE_NGL,32,0.032
7,voter,NI,23,0.023
7,voter,PFE,56,0.056
7,voter,RENEW,53,0.053
7,voter,SD,98,0.098
8,abstention,ABSTENTION,506,0.506
8,voter,ECR,53,0.053
8,voter,EPP,122,0.122
8,voter,ESN,22,0.022
8,voter,GREENS_EFA,35,0.035
8,voter,GUE_NGL,32,0.032
8,voter,NI,23,0.023
8,voter,PFE,56,0.056
8,voter,RENEW,53,0.053
8,voter,SD,98,0.098
9,abstention,ABSTENTION,506,0.506
9,voter,ECR,53,0.053
9,voter,EPP,122,0.122
9,voter,ESN,22,0.022
9,voter,GREENS_EFA,35,0.035
9,voter,GUE_NGL,32,0.032
9,voter,NI,23,0.023
