bootstrap_id,target_sample_type,usable_for_main_analysis,usable_for_clustering,row_quality_final,n,prop_within_type
1,abstention,FALSE,FALSE,no_determinants,35,0.0691699604743083
1,abstention,FALSE,FALSE,suspicious_determinants,1,0.001976284584980237
1,abstention,FALSE,FALSE,too_many_missing_determinants,5,0.009881422924901186
1,abstention,TRUE,TRUE,usable_complete,407,0.8043478260869565
1,abstention,TRUE,TRUE,usable_complete_limited_metadata,14,0.02766798418972332
1,abstention,TRUE,TRUE,usable_partial,38,0.07509881422924901
1,abstention,TRUE,TRUE,usable_partial_limited_metadata,6,0.011857707509881422
1,voter,FALSE,FALSE,no_determinants,163,0.3299595141700405
1,voter,FALSE,FALSE,suspicious_determinants,4,0.008097165991902834
1,voter,FALSE,FALSE,too_many_missing_determinants,41,0.08299595141700405
1,voter,TRUE,TRUE,usable_complete,149,0.3016194331983806
1,voter,TRUE,TRUE,usable_complete_limited_metadata,2,0.004048582995951417
1,voter,TRUE,TRUE,usable_partial,134,0.27125506072874495
1,voter,TRUE,TRUE,usable_partial_limited_metadata,1,0.0020242914979757085
2,abstention,FALSE,FALSE,no_determinants,51,0.1007905138339921
2,abstention,FALSE,FALSE,suspicious_determinants,1,0.001976284584980237
2,abstention,FALSE,FALSE,too_many_missing_determinants,6,0.011857707509881422
2,abstention,TRUE,TRUE,usable_complete,403,0.7964426877470355
2,abstention,TRUE,TRUE,usable_complete_limited_metadata,15,0.029644268774703556
2,abstention,TRUE,TRUE,usable_partial,27,0.0533596837944664
2,abstention,TRUE,TRUE,usable_partial_limited_metadata,3,0.005928853754940711
2,voter,FALSE,FALSE,no_determinants,163,0.3299595141700405
2,voter,FALSE,FALSE,suspicious_determinants,4,0.008097165991902834
2,voter,FALSE,FALSE,too_many_missing_determinants,34,0.06882591093117409
2,voter,TRUE,TRUE,usable_complete,158,0.31983805668016196
2,voter,TRUE,TRUE,usable_complete_limited_metadata,3,0.006072874493927126
2,voter,TRUE,TRUE,usable_partial,131,0.2651821862348178
2,voter,TRUE,TRUE,usable_partial_limited_metadata,1,0.0020242914979757085
3,abstention,FALSE,FALSE,no_determinants,41,0.08102766798418973
