"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Stubborn",1635069,20.4383625
2,"Activist",1447740,18.09675
3,"Homo.Economicus",1444950,18.061875
4,"Early.Adopter",50823,0.6352875
5,"Fearful",4115,0.0514375
6,"Influencer",3740,0.04675
7,"Uninterested",11,0.0001375
8,"Careful",0,0
