analysis_sample,matrix_name,n_factors,n_runs,n_ok,n_warning,n_error,mean_n_rows_used,mean_n_unique_participants,mean_RMSR,sd_RMSR,mean_TLI,sd_TLI,mean_RMSEA,sd_RMSEA,mean_BIC,sd_BIC,mean_abs_factor_correlation,sd_abs_factor_correlation,mean_factor_distance,sd_factor_distance
EUROPE,matrix_32_ext_0_1,2,100,100,0,0,1000,747.5,0.029519292405628467,0.0010341136171769737,0.8235368163311939,0.015568169355366337,0.0430416620187325,0.001996612430210181,-1753.7465642227728,74.5726087768783,0.44654780992497756,NA,0.5534521900750224,NA
EUROPE,matrix_32_ext_0_1,3,100,100,0,0,1000,747.5,0.024405757326477023,8.801646356913888e-4,0.867672233727609,0.014234325759667979,0.03724042378962681,0.002128543884016018,-1819.7141479154689,64.28135848819427,0.3687596355748317,NA,0.6312403644251683,NA
EUROPE,matrix_32_ext_0_1,4,100,100,0,0,1000,747.5,0.021540441398889724,7.4448833628035e-4,0.8911481580491878,0.013151442253067138,0.03374790376138149,0.0021555237679462135,-1781.4493102276797,54.62116714883143,0.2515349905244621,NA,0.7484650094755378,NA
EUROPE,matrix_32_ext_0_1,5,100,100,0,0,1000,747.5,0.019455467538764627,6.964252066581293e-4,0.9063128772508474,0.012662073158788,0.03128178562450683,0.00223852229839287,-1703.4421796769218,48.461675868733685,0.24647807057394816,NA,0.7535219294260519,NA
EUROPE,matrix_32_ext_0_1,6,100,100,0,0,1000,747.5,0.017735939216751866,6.55351282865975e-4,0.9179509550610804,0.012249379730164142,0.029245777858013994,0.0023189274443760925,-1609.710718563099,42.9344344222889,0.23719962964996605,NA,0.7628003703500339,NA
EUROPE,matrix_32_ext_0_1,7,100,100,1,0,1000,747.5,0.016170090528633153,6.095532813081567e-4,0.9286868136622931,0.01236441162598322,0.02722787471529369,0.0024932647098241424,-1511.6581729948682,39.682506691258986,0.2276073579256602,NA,0.7723926420743398,NA
EUROPE,matrix_32_ext_0_1,8,100,100,0,0,1000,747.5,0.01474093191825553,5.796805223298629e-4,0.9381714384462683,0.012203644271550223,0.025312038264500326,0.0026337574843732824,-1409.4622996271628,35.48798442248722,0.2155012815206434,NA,0.7844987184793566,NA
EUROPE,matrix_32_pos_0_1,2,100,100,0,0,1000,747.5,0.040493453524186304,0.0013304153210945218,0.6839295430244205,0.017494037669218105,0.062651351209343,0.0020212743336282452,-856.2651966582339,109.31930788029534,0.20487610381873,NA,0.79512389618127,NA
EUROPE,matrix_32_pos_0_1,3,100,100,0,0,1000,747.5,0.029111486423259808,0.0010622888886419148,0.793383661401292,0.015898022288417465,0.05061633104925105,0.0021656977542395157,-1346.0594798138634,87.94365099522197,0.16270540126635608,NA,0.8372945987336439,NA
EUROPE,matrix_32_pos_0_1,4,100,100,0,0,1000,747.5,0.025196099435948038,8.676390606257909e-4,0.8255375092178553,0.014759978624921097,0.04648564787761947,0.0021807243300890687,-1399.182925319128,75.05651481128704,0.16325743994679173,NA,0.8367425600532082,NA
EUROPE,matrix_32_pos_0_1,5,100,100,0,0,1000,747.5,0.021907879998861533,8.31504153800454e-4,0.8571432832935452,0.014309695335067363,0.042032291483372126,0.0022831840376103087,-1430.6684629013291,65.78353124946001,0.18378531267048315,NA,0.8162146873295169,NA
EUROPE,matrix_32_pos_0_1,6,100,100,0,0,1000,747.5,0.019260469588977844,7.502101727458926e-4,0.8836929733621205,0.013771335771448527,0.03789417659880158,0.0024313847592324247,-1424.3136724099757,58.670686519643276,0.2026228400597797,NA,0.7973771599402203,NA
EUROPE,matrix_32_pos_0_1,7,100,100,0,0,1000,747.5,0.017141717940637787,5.925374087953822e-4,0.9013940987294142,0.012112826615712412,0.03487040966911322,0.002293801669424118,-1372.8807697189436,46.809655796112104,0.1871219702565832,NA,0.8128780297434168,NA
EUROPE,matrix_32_pos_0_1,8,100,100,0,0,1000,747.5,0.015538266951970343,5.857114959492111e-4,0.9124268580510663,0.01227443372434294,0.03282838955585764,0.0024200659249182925,-1292.6317946896404,42.61575942642015,0.17921028290704905,NA,0.8207897170929509,NA
EUROPE,matrix_32_raw_0_1,2,100,100,0,0,1000,747.5,0.04632105007172748,0.001626393937891233,0.6405258415826897,0.018967515932418848,0.07024392901242053,0.0021215838814016763,-419.1823672185328,129.07648050713794,0.0322328599778196,NA,0.9677671400221804,NA
EUROPE,matrix_32_raw_0_1,3,100,100,0,0,1000,747.5,0.0314816610759122,0.0014241084432105714,0.7794918123689074,0.018837638253903333,0.054961541665511815,0.0025025134412118804,-1160.5526569810822,110.16460210369385,0.08517649452275856,NA,0.9148235054772414,NA
EUROPE,matrix_32_raw_0_1,4,100,100,0,0,1000,747.5,0.025626733344227017,0.00101707015647622,0.8278665365436592,0.015865989280698434,0.04853270622565007,0.002350835620381197,-1326.1514681705507,84.92860258328771,0.11187320387534257,NA,0.8881267961246574,NA
EUROPE,matrix_32_raw_0_1,5,100,100,0,0,1000,747.5,0.021628845865196512,8.029150038812493e-4,0.8660520937141363,0.013529229951117222,0.04278394884536606,0.0022930037425002467,-1408.5946182401547,66.49887280327641,0.13966640706310005,NA,0.8603335929368999,NA
