analysis_sample,matrix_name,n_factors,determinant,mean_importance,sd_importance,median_importance,mean_rank,prop_above_0_20,prop_above_0_30,prop_above_0_40
EUROPE,matrix_32_ext_0_1,2,det_28_recognition,0.631246536150654,0.029309355086699046,0.632553824129739,1.88,1,1,1
EUROPE,matrix_32_ext_0_1,2,det_31_approval,0.6235666237429702,0.03107467938634419,0.6268478271143647,2.15,1,1,1
EUROPE,matrix_32_ext_0_1,2,det_24_socialising,0.617128524966611,0.032085771951906546,0.616851050329128,2.37,1,1,1
EUROPE,matrix_32_ext_0_1,2,det_30_authority,0.5555775848904153,0.037028856226251954,0.5556623330839477,5.06,1,1,1
EUROPE,matrix_32_ext_0_1,2,det_29_trends,0.538220260846653,0.03711138104054121,0.5382933671876421,6.17,1,1,1
EUROPE,matrix_32_ext_0_1,2,det_09_safety,0.5191968004838137,0.03171555058201251,0.5182758665449185,7.21,1,1,1
EUROPE,matrix_32_ext_0_1,2,det_03_risk_profile,0.5102826456980515,0.03727535804279885,0.5144859861903475,7.96,1,1,1
EUROPE,matrix_32_ext_0_1,2,det_15_self_satisfaction,0.49220327798743385,0.038078984545594385,0.49243455483094356,9.59,1,1,0.99
EUROPE,matrix_32_ext_0_1,2,det_16_commitment,0.48264911026213336,0.034465364303317245,0.48652171897182134,10.74,1,1,0.99
EUROPE,matrix_32_ext_0_1,2,det_20_coziness,0.47832224100149484,0.03236851658675996,0.4786343106495945,11.24,1,1,0.99
EUROPE,matrix_32_ext_0_1,2,det_13_technical_fit,0.4738330652436794,0.03526034871754689,0.4755590517749031,11.58,1,1,0.99
EUROPE,matrix_32_ext_0_1,2,det_08_trust,0.4699337515767376,0.03475097864416034,0.46529853373367486,11.89,1,1,0.98
EUROPE,matrix_32_ext_0_1,2,det_19_wellbeing,0.4632127473147679,0.03613651455853651,0.46738722144642647,12.65,1,1,0.94
EUROPE,matrix_32_ext_0_1,2,det_07_legal,0.45768615609944635,0.035812001587319856,0.4592615153875461,13.32,1,1,0.95
EUROPE,matrix_32_ext_0_1,2,det_22_peer_pressure,0.4551563077063428,0.04097614675175685,0.45790326784183755,13.53,1,1,0.89
EUROPE,matrix_32_ext_0_1,2,det_21_rights_and_duties,0.4396781049663578,0.03422989760908986,0.43914280036558695,15.16,1,1,0.88
EUROPE,matrix_32_ext_0_1,2,det_10_cost_efficiency,0.4360340794638318,0.030471795726082263,0.439746119883423,15.52,1,1,0.91
EUROPE,matrix_32_ext_0_1,2,det_17_adherence,0.42122367328844507,0.041260775615722514,0.42031362076504386,17.01,1,1,0.75
EUROPE,matrix_32_ext_0_1,2,det_12_own_competence,0.37872885295514436,0.03738679306816602,0.38196346863538777,20.5,1,0.98,0.29
EUROPE,matrix_32_ext_0_1,2,det_01_profits,0.37838427557592974,0.04297867556930828,0.3853511513613887,20.44,1,0.95,0.32
EUROPE,matrix_32_ext_0_1,2,det_11_knowledge,0.37515058381084465,0.0313981569783274,0.37454116852956654,20.95,1,1,0.23
EUROPE,matrix_32_ext_0_1,2,det_27_fun,0.3700835138883639,0.042503493674802426,0.37348644369488326,21.34,1,0.95,0.24
EUROPE,matrix_32_ext_0_1,2,det_05_frugality,0.35551899191633174,0.04175116659435194,0.35743279410723816,22.39,1,0.92,0.11
EUROPE,matrix_32_ext_0_1,2,det_18_autonomy,0.35513874912963095,0.045283547616004685,0.34990538353982575,22.15,1,0.91,0.18
EUROPE,matrix_32_ext_0_1,2,det_02_credit_score,0.32344140546314126,0.037884713911651345,0.32272050688847487,24.7,1,0.73,0.01
EUROPE,matrix_32_ext_0_1,2,det_04_added_value,0.2963796955694096,0.05220754721889249,0.29286233218307617,26.31,0.99,0.44,0.03
EUROPE,matrix_32_ext_0_1,2,det_25_agreement,0.2793809910733625,0.03214226122989494,0.27949104175173994,27.48,1,0.26,0.01
EUROPE,matrix_32_ext_0_1,2,det_32_own_significance,0.25416365020099624,0.036759740474380735,0.24989176646655165,28.95,0.94,0.11,0
EUROPE,matrix_32_ext_0_1,2,det_14_environmental_concerns,0.2493342698096928,0.04504077654298071,0.24714160831489496,29.24,0.87,0.14,0
EUROPE,matrix_32_ext_0_1,2,det_26_novelty,0.24822628317584525,0.04201173277664321,0.24648738511823903,29.23,0.84,0.1,0
EUROPE,matrix_32_ext_0_1,2,det_06_climate_protection,0.24458926110979004,0.04402083291966314,0.23959246212577417,29.57,0.82,0.12,0
EUROPE,matrix_32_ext_0_1,2,det_23_support,0.24170438414450338,0.03584493597955878,0.23741290133434956,29.72,0.89,0.06,0
EUROPE,matrix_32_ext_0_1,3,det_31_approval,0.6456544412615052,0.03168862883060188,0.6492631369471475,1.88,1,1,1
EUROPE,matrix_32_ext_0_1,3,det_28_recognition,0.6333257971757719,0.030135757522622857,0.636939584089441,2.34,1,1,1
EUROPE,matrix_32_ext_0_1,3,det_24_socialising,0.6230414807136713,0.035089813372502505,0.6241823233651993,2.67,1,1,1
EUROPE,matrix_32_ext_0_1,3,det_06_climate_protection,0.556398843100346,0.07104587246617364,0.5621201564066588,6.46,1,1,0.96
EUROPE,matrix_32_ext_0_1,3,det_30_authority,0.5538204543795189,0.03642030858687972,0.553270727769277,6.08,1,1,1
EUROPE,matrix_32_ext_0_1,3,det_09_safety,0.5384790381387278,0.036828283849246884,0.5371902700109903,7.12,1,1,1
EUROPE,matrix_32_ext_0_1,3,det_29_trends,0.5377401587777999,0.03460150542841817,0.536872333735746,6.94,1,1,1
EUROPE,matrix_32_ext_0_1,3,det_03_risk_profile,0.5308010960046678,0.04986338397048519,0.5348521229054356,7.64,1,1,0.98
EUROPE,matrix_32_ext_0_1,3,det_10_cost_efficiency,0.4801179386214842,0.037690847588102754,0.4806309052299697,11.62,1,1,0.97
EUROPE,matrix_32_ext_0_1,3,det_20_coziness,0.4728469153900874,0.041180542673786985,0.4694907951928249,12.42,1,1,0.96
EUROPE,matrix_32_ext_0_1,3,det_14_environmental_concerns,0.46962247293657694,0.06442512481795984,0.47695822194850235,13.03,1,0.99,0.87
EUROPE,matrix_32_ext_0_1,3,det_15_self_satisfaction,0.46343743534015486,0.04774378613402652,0.46988299836077985,13.14,1,0.99,0.94
EUROPE,matrix_32_ext_0_1,3,det_07_legal,0.45965667068167637,0.05002169084337084,0.4560718382051302,13.33,1,1,0.89
EUROPE,matrix_32_ext_0_1,3,det_17_adherence,0.4538915061355345,0.04058049043244108,0.45673870980081666,14.11,1,1,0.89
EUROPE,matrix_32_ext_0_1,3,det_08_trust,0.4497879057597839,0.03758192425876951,0.4523355562097307,14.19,1,1,0.89
EUROPE,matrix_32_ext_0_1,3,det_19_wellbeing,0.44355060943759345,0.042912729171127026,0.45202301463263245,15.03,1,1,0.83
