context,variable,category,n,total_n,prop
01_all_integrated_rows,dataset_source,diego,1899,4118,0.4611461874696455
01_all_integrated_rows,dataset_source,rv,1229,4118,0.29844584749878583
01_all_integrated_rows,dataset_source,why,990,4118,0.24040796503156872
01_all_integrated_rows,source_survey,Survey_September2023_cleaned,1899,4118,0.4611461874696455
01_all_integrated_rows,source_survey,Investment_Arquetypes_2022,990,4118,0.24040796503156872
01_all_integrated_rows,source_survey,decision,902,4118,0.21903836813987373
01_all_integrated_rows,source_survey,energy_crisis,107,4118,0.0259834871296746
01_all_integrated_rows,source_survey,concerns2,100,4118,0.02428363283147159
01_all_integrated_rows,source_survey,poverty,38,4118,0.009227780475959204
01_all_integrated_rows,source_survey,concerns2;decision,16,4118,0.003885381253035454
01_all_integrated_rows,source_survey,concerns2;energy_crisis;poverty,14,4118,0.003399708596406022
01_all_integrated_rows,source_survey,concerns2;decision;poverty,12,4118,0.0029140359397765905
01_all_integrated_rows,source_survey,concerns2;decision;energy_crisis;poverty,10,4118,0.0024283632831471587
01_all_integrated_rows,source_survey,decision;energy_crisis,10,4118,0.0024283632831471587
01_all_integrated_rows,source_survey,decision;energy_crisis;poverty,7,4118,0.001699854298203011
01_all_integrated_rows,source_survey,concerns2;energy_crisis,4,4118,9.713453132588635e-4
01_all_integrated_rows,source_survey,concerns2;poverty,4,4118,9.713453132588635e-4
01_all_integrated_rows,source_survey,energy_crisis;poverty,4,4118,9.713453132588635e-4
01_all_integrated_rows,source_survey,decision;poverty,1,4118,2.4283632831471587e-4
01_all_integrated_rows,country_model,DE,801,4118,0.19451189898008742
01_all_integrated_rows,country_model,IT,767,4118,0.18625546381738708
01_all_integrated_rows,country_model,ES,698,4118,0.1694997571636717
01_all_integrated_rows,country_model,NL,396,4118,0.0961631860126275
01_all_integrated_rows,country_model,GR,238,4118,0.05779504613890238
01_all_integrated_rows,country_model,FR,213,4118,0.05172413793103448
01_all_integrated_rows,country_model,GB,182,4118,0.04419621175327829
01_all_integrated_rows,country_model,PL,157,4118,0.0381253035454104
01_all_integrated_rows,country_model,BE,138,4118,0.03351141330743079
01_all_integrated_rows,country_model,Missing,116,4118,0.028169014084507043
01_all_integrated_rows,country_model,HU,84,4118,0.020398251578436135
01_all_integrated_rows,country_model,PT,48,4118,0.011656143759106362
01_all_integrated_rows,country_model,IE,44,4118,0.010684798445847498
01_all_integrated_rows,country_model,RO,34,4118,0.00825643516270034
01_all_integrated_rows,country_model,CZ,32,4118,0.007770762506070908
01_all_integrated_rows,country_model,AT,28,4118,0.006799417192812044
01_all_integrated_rows,country_model,SE,24,4118,0.005828071879553181
01_all_integrated_rows,country_model,FI,23,4118,0.0055852355512384655
01_all_integrated_rows,country_model,LV,18,4118,0.004371053909664886
01_all_integrated_rows,country_model,SI,17,4118,0.00412821758135017
01_all_integrated_rows,country_model,CH,12,4118,0.0029140359397765905
01_all_integrated_rows,country_model,DK,11,4118,0.0026711996114618746
01_all_integrated_rows,country_model,SK,10,4118,0.0024283632831471587
01_all_integrated_rows,country_model,EE,8,4118,0.001942690626517727
01_all_integrated_rows,country_model,NO,8,4118,0.001942690626517727
01_all_integrated_rows,country_model,BG,3,4118,7.285089849441476e-4
01_all_integrated_rows,country_model,IS,2,4118,4.8567265662943174e-4
01_all_integrated_rows,country_model,LT,2,4118,4.8567265662943174e-4
01_all_integrated_rows,country_model,OTHER_EU,2,4118,4.8567265662943174e-4
01_all_integrated_rows,country_model,LU,1,4118,2.4283632831471587e-4
01_all_integrated_rows,country_model,MT,1,4118,2.4283632831471587e-4
01_all_integrated_rows,country_model_grouped,DE,801,4118,0.19451189898008742
01_all_integrated_rows,country_model_grouped,IT,767,4118,0.18625546381738708
01_all_integrated_rows,country_model_grouped,ES,698,4118,0.1694997571636717
01_all_integrated_rows,country_model_grouped,NL,396,4118,0.0961631860126275
01_all_integrated_rows,country_model_grouped,GR,238,4118,0.05779504613890238
01_all_integrated_rows,country_model_grouped,FR,213,4118,0.05172413793103448
01_all_integrated_rows,country_model_grouped,GB,182,4118,0.04419621175327829
01_all_integrated_rows,country_model_grouped,PL,157,4118,0.0381253035454104
01_all_integrated_rows,country_model_grouped,BE,138,4118,0.03351141330743079
01_all_integrated_rows,country_model_grouped,UNKNOWN,116,4118,0.028169014084507043
01_all_integrated_rows,country_model_grouped,HU,84,4118,0.020398251578436135
01_all_integrated_rows,country_model_grouped,PT,48,4118,0.011656143759106362
01_all_integrated_rows,country_model_grouped,IE,44,4118,0.010684798445847498
01_all_integrated_rows,country_model_grouped,RO,34,4118,0.00825643516270034
01_all_integrated_rows,country_model_grouped,CZ,32,4118,0.007770762506070908
01_all_integrated_rows,country_model_grouped,AT,28,4118,0.006799417192812044
01_all_integrated_rows,country_model_grouped,OTHER_COUNTRIES,27,4118,0.006556580864497329
01_all_integrated_rows,country_model_grouped,SE,24,4118,0.005828071879553181
01_all_integrated_rows,country_model_grouped,FI,23,4118,0.0055852355512384655
