bootstrap_id,self_classification_archetype_model,n,total_n,prop
1,Activist,71,1000,0.071
1,Careful,165,1000,0.165
1,Early adopter,2,1000,0.002
1,Fearful,110,1000,0.11
1,Homo economicus,164,1000,0.164
1,Influencer,29,1000,0.029
1,Missing,390,1000,0.39
1,None,15,1000,0.015
1,Stubborn,42,1000,0.042
1,Uninterested,12,1000,0.012
2,Activist,63,1000,0.063
2,Careful,191,1000,0.191
2,Early adopter,9,1000,0.009
2,Fearful,93,1000,0.093
2,Homo economicus,165,1000,0.165
2,Influencer,19,1000,0.019
2,Missing,383,1000,0.383
2,None,22,1000,0.022
2,Stubborn,38,1000,0.038
2,Uninterested,17,1000,0.017
3,Activist,61,1000,0.061
3,Careful,200,1000,0.2
3,Early adopter,8,1000,0.008
3,Fearful,92,1000,0.092
3,Homo economicus,182,1000,0.182
3,Influencer,17,1000,0.017
3,Missing,367,1000,0.367
3,None,9,1000,0.009
3,Stubborn,50,1000,0.05
3,Uninterested,14,1000,0.014
4,Activist,76,1000,0.076
4,Careful,183,1000,0.183
4,Early adopter,6,1000,0.006
4,Fearful,95,1000,0.095
4,Homo economicus,171,1000,0.171
4,Influencer,25,1000,0.025
4,Missing,384,1000,0.384
4,None,10,1000,0.01
4,Stubborn,35,1000,0.035
4,Uninterested,15,1000,0.015
5,Activist,82,1000,0.082
5,Careful,178,1000,0.178
5,Early adopter,8,1000,0.008
5,Fearful,99,1000,0.099
5,Homo economicus,161,1000,0.161
5,Influencer,19,1000,0.019
5,Missing,390,1000,0.39
5,None,15,1000,0.015
5,Stubborn,35,1000,0.035
5,Uninterested,13,1000,0.013
6,Activist,72,1000,0.072
6,Careful,179,1000,0.179
6,Early adopter,7,1000,0.007
6,Fearful,105,1000,0.105
6,Homo economicus,160,1000,0.16
6,Influencer,24,1000,0.024
6,Missing,377,1000,0.377
6,None,18,1000,0.018
6,Stubborn,39,1000,0.039
6,Uninterested,19,1000,0.019
7,Activist,89,1000,0.089
7,Careful,190,1000,0.19
7,Early adopter,8,1000,0.008
7,Fearful,75,1000,0.075
7,Homo economicus,156,1000,0.156
7,Influencer,21,1000,0.021
7,Missing,388,1000,0.388
7,None,22,1000,0.022
7,Stubborn,37,1000,0.037
7,Uninterested,14,1000,0.014
8,Activist,70,1000,0.07
8,Careful,170,1000,0.17
8,Early adopter,5,1000,0.005
8,Fearful,99,1000,0.099
8,Homo economicus,173,1000,0.173
8,Influencer,17,1000,0.017
8,Missing,389,1000,0.389
8,None,24,1000,0.024
8,Stubborn,38,1000,0.038
8,Uninterested,15,1000,0.015
9,Activist,77,1000,0.077
9,Careful,178,1000,0.178
9,Early adopter,11,1000,0.011
9,Fearful,88,1000,0.088
9,Homo economicus,157,1000,0.157
9,Influencer,28,1000,0.028
9,Missing,376,1000,0.376
9,None,14,1000,0.014
9,Stubborn,44,1000,0.044
9,Uninterested,27,1000,0.027
10,Activist,70,1000,0.07
10,Careful,204,1000,0.204
10,Early adopter,6,1000,0.006
10,Fearful,88,1000,0.088
10,Homo economicus,167,1000,0.167
10,Influencer,33,1000,0.033
10,Missing,355,1000,0.355
10,None,15,1000,0.015
10,Stubborn,48,1000,0.048
10,Uninterested,14,1000,0.014
11,Activist,75,1000,0.075
11,Careful,190,1000,0.19
11,Early adopter,6,1000,0.006
11,Fearful,87,1000,0.087
11,Homo economicus,164,1000,0.164
11,Influencer,26,1000,0.026
11,Missing,384,1000,0.384
11,None,16,1000,0.016
11,Stubborn,37,1000,0.037
11,Uninterested,15,1000,0.015
12,Activist,62,1000,0.062
12,Careful,181,1000,0.181
12,Early adopter,8,1000,0.008
12,Fearful,93,1000,0.093
12,Homo economicus,176,1000,0.176
12,Influencer,40,1000,0.04
12,Missing,375,1000,0.375
12,None,13,1000,0.013
12,Stubborn,32,1000,0.032
12,Uninterested,20,1000,0.02
13,Activist,75,1000,0.075
13,Careful,178,1000,0.178
13,Early adopter,7,1000,0.007
13,Fearful,106,1000,0.106
13,Homo economicus,137,1000,0.137
13,Influencer,25,1000,0.025
13,Missing,397,1000,0.397
13,None,12,1000,0.012
13,Stubborn,44,1000,0.044
13,Uninterested,19,1000,0.019
14,Activist,59,1000,0.059
14,Careful,166,1000,0.166
14,Early adopter,5,1000,0.005
14,Fearful,93,1000,0.093
14,Homo economicus,185,1000,0.185
14,Influencer,30,1000,0.03
14,Missing,380,1000,0.38
14,None,14,1000,0.014
14,Stubborn,49,1000,0.049
14,Uninterested,19,1000,0.019
15,Activist,67,1000,0.067
15,Careful,179,1000,0.179
15,Early adopter,10,1000,0.01
15,Fearful,94,1000,0.094
15,Homo economicus,165,1000,0.165
15,Influencer,26,1000,0.026
15,Missing,386,1000,0.386
15,None,15,1000,0.015
15,Stubborn,45,1000,0.045
15,Uninterested,13,1000,0.013
16,Activist,77,1000,0.077
16,Careful,189,1000,0.189
16,Early adopter,4,1000,0.004
16,Fearful,85,1000,0.085
16,Homo economicus,143,1000,0.143
16,Influencer,25,1000,0.025
16,Missing,410,1000,0.41
16,None,20,1000,0.02
16,Stubborn,41,1000,0.041
16,Uninterested,6,1000,0.006
17,Activist,82,1000,0.082
17,Careful,166,1000,0.166
17,Early adopter,7,1000,0.007
17,Fearful,104,1000,0.104
17,Homo economicus,171,1000,0.171
17,Influencer,29,1000,0.029
17,Missing,382,1000,0.382
17,None,14,1000,0.014
17,Stubborn,34,1000,0.034
17,Uninterested,11,1000,0.011
18,Activist,81,1000,0.081
18,Careful,169,1000,0.169
18,Early adopter,7,1000,0.007
18,Fearful,89,1000,0.089
18,Homo economicus,176,1000,0.176
18,Influencer,17,1000,0.017
18,Missing,386,1000,0.386
18,None,17,1000,0.017
18,Stubborn,43,1000,0.043
18,Uninterested,15,1000,0.015
19,Activist,60,1000,0.06
19,Careful,167,1000,0.167
19,Early adopter,9,1000,0.009
19,Fearful,82,1000,0.082
19,Homo economicus,195,1000,0.195
19,Influencer,33,1000,0.033
19,Missing,378,1000,0.378
19,None,15,1000,0.015
19,Stubborn,46,1000,0.046
19,Uninterested,15,1000,0.015
20,Activist,75,1000,0.075
20,Careful,173,1000,0.173
20,Early adopter,3,1000,0.003
20,Fearful,84,1000,0.084
20,Homo economicus,196,1000,0.196
20,Influencer,25,1000,0.025
20,Missing,382,1000,0.382
20,None,15,1000,0.015
20,Stubborn,36,1000,0.036
20,Uninterested,11,1000,0.011
21,Activist,69,1000,0.069
21,Careful,191,1000,0.191
21,Early adopter,6,1000,0.006
21,Fearful,82,1000,0.082
21,Homo economicus,166,1000,0.166
21,Influencer,29,1000,0.029
21,Missing,385,1000,0.385
21,None,10,1000,0.01
21,Stubborn,48,1000,0.048
21,Uninterested,14,1000,0.014
22,Activist,71,1000,0.071
22,Careful,179,1000,0.179
22,Early adopter,9,1000,0.009
22,Fearful,91,1000,0.091
22,Homo economicus,183,1000,0.183
22,Influencer,22,1000,0.022
22,Missing,383,1000,0.383
22,None,10,1000,0.01
22,Stubborn,38,1000,0.038
22,Uninterested,14,1000,0.014
23,Activist,74,1000,0.074
23,Careful,194,1000,0.194
23,Early adopter,11,1000,0.011
23,Fearful,85,1000,0.085
23,Homo economicus,155,1000,0.155
23,Influencer,28,1000,0.028
23,Missing,387,1000,0.387
23,None,15,1000,0.015
23,Stubborn,36,1000,0.036
23,Uninterested,15,1000,0.015
24,Activist,63,1000,0.063
24,Careful,176,1000,0.176
24,Early adopter,7,1000,0.007
24,Fearful,103,1000,0.103
24,Homo economicus,180,1000,0.18
24,Influencer,27,1000,0.027
24,Missing,359,1000,0.359
24,None,14,1000,0.014
24,Stubborn,47,1000,0.047
24,Uninterested,24,1000,0.024
25,Activist,70,1000,0.07
25,Careful,206,1000,0.206
25,Early adopter,8,1000,0.008
25,Fearful,74,1000,0.074
25,Homo economicus,173,1000,0.173
25,Influencer,28,1000,0.028
25,Missing,374,1000,0.374
25,None,12,1000,0.012
25,Stubborn,42,1000,0.042
25,Uninterested,13,1000,0.013
26,Activist,60,1000,0.06
26,Careful,196,1000,0.196
26,Early adopter,8,1000,0.008
26,Fearful,80,1000,0.08
26,Homo economicus,167,1000,0.167
26,Influencer,38,1000,0.038
26,Missing,381,1000,0.381
26,None,8,1000,0.008
26,Stubborn,45,1000,0.045
26,Uninterested,17,1000,0.017
27,Activist,70,1000,0.07
27,Careful,165,1000,0.165
27,Early adopter,6,1000,0.006
27,Fearful,98,1000,0.098
27,Homo economicus,173,1000,0.173
27,Influencer,21,1000,0.021
27,Missing,388,1000,0.388
27,None,23,1000,0.023
27,Stubborn,45,1000,0.045
27,Uninterested,11,1000,0.011
28,Activist,79,1000,0.079
28,Careful,160,1000,0.16
28,Early adopter,9,1000,0.009
28,Fearful,90,1000,0.09
28,Homo economicus,171,1000,0.171
28,Influencer,23,1000,0.023
28,Missing,395,1000,0.395
28,None,15,1000,0.015
28,Stubborn,46,1000,0.046
28,Uninterested,12,1000,0.012
29,Activist,66,1000,0.066
29,Careful,202,1000,0.202
29,Early adopter,12,1000,0.012
29,Fearful,83,1000,0.083
29,Homo economicus,166,1000,0.166
29,Influencer,34,1000,0.034
29,Missing,381,1000,0.381
29,None,11,1000,0.011
29,Stubborn,35,1000,0.035
29,Uninterested,10,1000,0.01
30,Activist,63,1000,0.063
30,Careful,186,1000,0.186
30,Early adopter,7,1000,0.007
30,Fearful,85,1000,0.085
30,Homo economicus,174,1000,0.174
30,Influencer,26,1000,0.026
30,Missing,385,1000,0.385
30,None,14,1000,0.014
30,Stubborn,48,1000,0.048
30,Uninterested,12,1000,0.012
31,Activist,67,1000,0.067
31,Careful,195,1000,0.195
31,Early adopter,8,1000,0.008
31,Fearful,93,1000,0.093
31,Homo economicus,181,1000,0.181
31,Influencer,17,1000,0.017
31,Missing,359,1000,0.359
31,None,18,1000,0.018
31,Stubborn,45,1000,0.045
31,Uninterested,17,1000,0.017
32,Activist,83,1000,0.083
32,Careful,177,1000,0.177
32,Early adopter,3,1000,0.003
32,Fearful,81,1000,0.081
32,Homo economicus,178,1000,0.178
32,Influencer,19,1000,0.019
32,Missing,395,1000,0.395
32,None,13,1000,0.013
32,Stubborn,39,1000,0.039
32,Uninterested,12,1000,0.012
33,Activist,61,1000,0.061
33,Careful,173,1000,0.173
33,Early adopter,7,1000,0.007
33,Fearful,106,1000,0.106
33,Homo economicus,167,1000,0.167
33,Influencer,24,1000,0.024
33,Missing,387,1000,0.387
33,None,18,1000,0.018
33,Stubborn,35,1000,0.035
33,Uninterested,22,1000,0.022
34,Activist,74,1000,0.074
34,Careful,193,1000,0.193
34,Early adopter,9,1000,0.009
34,Fearful,86,1000,0.086
34,Homo economicus,167,1000,0.167
34,Influencer,20,1000,0.02
34,Missing,377,1000,0.377
34,None,15,1000,0.015
34,Stubborn,45,1000,0.045
34,Uninterested,14,1000,0.014
35,Activist,70,1000,0.07
35,Careful,179,1000,0.179
35,Early adopter,2,1000,0.002
35,Fearful,79,1000,0.079
35,Homo economicus,181,1000,0.181
35,Influencer,28,1000,0.028
35,Missing,389,1000,0.389
35,None,18,1000,0.018
35,Stubborn,43,1000,0.043
35,Uninterested,11,1000,0.011
36,Activist,79,1000,0.079
36,Careful,196,1000,0.196
36,Early adopter,10,1000,0.01
36,Fearful,82,1000,0.082
36,Homo economicus,159,1000,0.159
36,Influencer,32,1000,0.032
36,Missing,385,1000,0.385
36,None,14,1000,0.014
36,Stubborn,32,1000,0.032
36,Uninterested,11,1000,0.011
37,Activist,67,1000,0.067
37,Careful,168,1000,0.168
37,Early adopter,7,1000,0.007
37,Fearful,88,1000,0.088
37,Homo economicus,189,1000,0.189
37,Influencer,22,1000,0.022
37,Missing,387,1000,0.387
37,None,14,1000,0.014
