self_classification_archetype_model,n_bootstraps,mean_n,sd_n,mean_prop,sd_prop,min_prop,q25_prop,median_prop,q75_prop,max_prop
Missing,1000,382.701,9.609992245103584,0.382701,0.009609992245103593,0.35,0.376,0.383,0.389,0.418
Careful,1000,179.086,11.491242432942267,0.179086,0.011491242432942255,0.143,0.171,0.179,0.187,0.217
Homo economicus,1000,172.218,11.436663555131515,0.172218,0.01143666355513149,0.13,0.164,0.172,0.18,0.204
Fearful,1000,88.37,8.590628550862796,0.08837,0.008590628550862803,0.064,0.082,0.088,0.094,0.12
Activist,1000,71.977,8.032246758410002,0.071977,0.008032246758409987,0.046,0.067,0.072,0.077,0.101
Stubborn,1000,41.663,5.969175995232675,0.041663,0.005969175995232704,0.025,0.03775,0.041,0.046,0.064
Influencer,1000,26.52,5.130879644459217,0.026520000000000002,0.005130879644459211,0.013,0.023,0.026,0.03,0.043
None,1000,15.419,3.7389060456794607,0.015419,0.003738906045679458,0.003,0.013,0.015,0.018,0.03
Uninterested,1000,14.497,3.654496729557484,0.014497000000000001,0.0036544967295574844,0.004,0.012,0.014,0.017,0.029
Early adopter,1000,7.549,2.6613308102679762,0.007549000000000001,0.0026613308102679993,0.001,0.006,0.008,0.009,0.018
