variable,category,mean_n,sd_n,mean_total_n,sd_total_n,mean_prop,sd_prop,n_bootstraps
age_group_model,25_34,367.522,15.190070910112787,1000,0,0.367522,0.015190070910112765,1000
age_group_model,18_24,216.031,12.291017374819225,1000,0,0.216031,0.012291017374819206,1000
age_group_model,35_44,142.255,10.69319032465612,1000,0,0.142255,0.010693190324656147,1000
age_group_model,45_54,122.491,10.310199766213035,1000,0,0.12249099999999999,0.010310199766213005,1000
age_group_model,unknown,72.567,7.876773105438205,1000,0,0.072567,0.007876773105438195,1000
age_group_model,55_64,54.986,6.677903742822167,1000,0,0.054986,0.006677903742822185,1000
age_group_model,65_plus,24.148,4.756124127555623,1000,0,0.024148,0.004756124127555617,1000
city_size_model,rural_small,620.147,9.460702716812099,1000,0,0.620147,0.009460702716812108,1000
city_size_model,unknown,379.735,9.452625409225055,1000,0,0.379735,0.009452625409225066,1000
city_size_model,conflict,1.063063063063063,0.24417874523237995,1000,0,0.0010630630630630632,2.441787452323803e-4,111
country_model,DE,167.19,11.386639344229508,1000,0,0.16719,0.01138663934422951,1000
country_model,ES,166.501,9.917981919995894,1000,0,0.166501,0.009917981919995884,1000
country_model,IT,137.25,11.08884405438468,1000,0,0.13725,0.011088844054384678,1000
country_model,GB,97.89,9.229902008748043,1000,0,0.09789,0.009229902008748032,1000
country_model,FR,89.294,9.0340011720819,1000,0,0.089294,0.009034001172081908,1000
country_model,NL,57.167,7.3720728739248385,1000,0,0.057167,0.007372072873924837,1000
country_model,PL,45.497,6.756451778902941,1000,0,0.045497,0.006756451778902948,1000
country_model,GR,36.645,5.802813769857482,1000,0,0.036645000000000004,0.0058028137698575,1000
country_model,BE,36.007,5.830175121035558,1000,0,0.036007,0.005830175121035546,1000
country_model,PT,19.396,4.24089249677107,1000,0,0.019396,0.004240892496771065,1000
country_model,HU,18.762,4.268204959180565,1000,0,0.018762,0.00426820495918055,1000
country_model,RO,17.02,3.9876686800060943,1000,0,0.01702,0.003987668680006073,1000
country_model,Missing,15.787,3.9279842234993816,1000,0,0.015787,0.003927984223499368,1000
country_model,IE,15.346,3.8633158308905,1000,0,0.015346,0.0038633158308905057,1000
country_model,CZ,14.201,3.717043908190424,1000,0,0.014201,0.003717043908190405,1000
country_model,FI,8.675,2.9638082190248314,1000,0,0.008675,0.0029638082190248253,1000
country_model,CH,8.415415415415415,2.867236420664776,1000,0,0.008415415415415415,0.002867236420664771,999
country_model,SE,7.598,2.7180477890912376,1000,0,0.007598,0.0027180477890912263,1000
country_model,AT,6.854854854854855,2.621774467162901,1000,0,0.006854854854854855,0.00262177446716289,999
country_model,NO,6.222222222222222,2.3553688014934604,1000,0,0.006222222222222223,0.0023553688014934615,999
country_model,DK,5.645290581162325,2.295701112192313,1000,0,0.005645290581162325,0.002295701112192308,998
country_model,SK,4.649442755825735,2.0991419075392503,1000,0,0.004649442755825735,0.002099141907539253,987
country_model,SI,4.506036217303823,2.0762076607240756,1000,0,0.004506036217303823,0.0020762076607240662,994
country_model,LV,4.3858585858585855,2.0087276758774957,1000,0,0.004385858585858586,0.0020087276758774947,990
country_model,BG,3.4041884816753925,1.7380871090998258,1000,0,0.0034041884816753925,0.0017380871090998263,955
country_model,EE,2.783754116355653,1.4767054066929175,1000,0,0.0027837541163556532,0.0014767054066929278,911
country_model,LT,1.9470365699873897,1.0717772552037432,1000,0,0.0019470365699873898,0.0010717772552037337,793
country_model,IS,1.509433962264151,0.7476402733329108,1000,0,0.0015094339622641509,7.476402733329179e-4,636
country_model,LU,1.350597609561753,0.6354384921294157,1000,0,0.0013505976095617531,6.354384921294166e-4,502
country_model,OTHER_EU,1.064748201438849,0.24697101553594872,1000,0,0.001064748201438849,2.4697101553594847e-4,139
country_model,MT,1.0441176470588236,0.23937099854730465,1000,0,0.0010441176470588236,2.393709985473046e-4,136
country_model_grouped,DE,167.19,11.386639344229508,1000,0,0.16719,0.01138663934422951,1000
country_model_grouped,ES,166.501,9.917981919995894,1000,0,0.166501,0.009917981919995884,1000
country_model_grouped,IT,137.25,11.08884405438468,1000,0,0.13725,0.011088844054384678,1000
