"","expert_1","expert_2","expert_3","expert_4","expert_5","expert_6","expert_7","expert_8","expert_9"
"pattern_1",15,17,7,6,7,18,14,11,11
"pattern_2",15,17,7,6,9,20,14,9,11
"pattern_3",15,15,7,4,5,20,14,11,9
"pattern_4",15,15,7,4,5,20,16,11,9
"pattern_5",15,17,11,8,11,22,16,13,13
"pattern_6",15,15,7,4,5,22,16,9,11
"pattern_7",15,19,9,6,9,22,16,9,15
"pattern_8",15,17,11,8,9,16,14,15,11
"pattern_9",15,17,9,6,9,22,18,11,15
"pattern_10",15,17,7,4,7,20,14,9,11
"pattern_11",15,15,9,6,7,22,16,13,11
"pattern_12",15,17,7,6,9,22,16,9,13
"pattern_13",15,17,9,4,7,20,18,13,13
"pattern_14",15,17,7,6,7,20,14,11,11
"pattern_15",15,19,9,6,9,22,16,11,15
"pattern_16",15,17,9,6,7,18,16,13,11
"pattern_17",15,17,13,10,11,22,18,13,15
"pattern_18",15,17,7,6,7,20,14,9,11
"pattern_19",15,15,7,2,5,20,14,11,9
"pattern_20",15,17,7,6,9,20,14,9,11
"pattern_21",15,17,7,4,7,22,16,9,13
"pattern_22",15,15,9,6,7,20,16,13,11
"pattern_23",15,17,7,6,7,22,16,9,13
"pattern_24",15,17,13,12,13,22,18,13,19
"pattern_25",15,17,7,4,7,22,16,9,13
"pattern_26",14,14,8,3,6,21,17,10,10
"pattern_27",15,17,9,8,9,18,16,13,11
"pattern_28",15,17,9,8,9,18,16,13,13
"pattern_29",15,17,7,8,9,20,14,9,11
"pattern_30",15,19,15,10,13,26,18,15,15
"pattern_31",15,17,9,6,7,22,16,11,15
"pattern_32",15,13,9,6,7,22,18,9,11
"pattern_33",13,15,7,8,9,20,14,9,13
"pattern_34",15,19,9,6,9,22,18,11,15
"pattern_35",15,17,7,4,7,22,16,9,13
"pattern_36",15,17,9,6,7,20,14,9,11
"pattern_37",15,17,9,6,7,20,18,13,13
"pattern_38",15,19,13,10,11,24,16,15,15
"pattern_39",15,15,7,4,5,22,16,9,11
"pattern_40",15,15,7,4,5,22,16,11,11
"pattern_41",15,17,13,10,11,20,18,15,17
"pattern_42",15,17,9,4,7,22,16,11,11
"pattern_43",15,15,11,10,11,22,16,13,13
"pattern_44",13,15,7,2,5,20,14,11,11
"pattern_45",15,19,9,8,9,20,14,9,13
"pattern_46",15,15,7,4,5,22,16,11,11
"pattern_47",15,17,11,6,7,22,16,13,13
"pattern_48",15,17,9,6,7,18,16,13,11
"pattern_49",15,17,11,6,9,22,18,13,13
"pattern_50",15,17,11,8,7,22,16,15,13
"pattern_51",15,17,7,4,7,20,14,11,11
"pattern_52",15,19,9,6,9,20,14,11,13
"pattern_53",15,17,7,6,7,22,16,11,13
"pattern_54",15,19,9,8,9,20,14,11,13
"pattern_55",15,15,9,8,9,20,16,11,13
"pattern_56",15,17,11,8,9,24,18,13,17
"pattern_57",13,15,7,4,5,18,16,11,11
"pattern_58",15,15,5,2,3,20,14,11,9
"pattern_59",15,19,9,8,11,20,14,9,13
"pattern_60",15,17,13,8,11,24,20,11,15
"pattern_61",15,15,9,4,7,20,16,11,9
"pattern_62",15,17,7,4,7,22,16,11,13
"pattern_63",15,15,11,8,11,24,18,13,15
"pattern_64",15,15,9,6,7,20,16,11,11
"pattern_65",14,18,8,5,8,21,15,10,14
"pattern_66",15,15,9,6,7,20,16,9,9
"pattern_67",15,15,11,8,9,20,16,11,13
"pattern_68",11,13,7,6,7,16,14,11,9
"pattern_69",15,17,9,6,7,20,16,11,11
"pattern_70",15,17,9,6,9,22,14,11,11
"pattern_71",15,15,7,4,5,20,16,13,11
"pattern_72",12,14,8,7,8,19,15,8,12
"pattern_73",15,15,11,6,9,24,16,15,11
"pattern_74",15,15,7,2,5,22,16,9,11
"pattern_75",15,17,9,6,7,20,16,13,11
"pattern_76",15,17,9,8,9,20,16,11,13
"pattern_77",15,19,11,8,9,24,18,13,15
"pattern_78",15,15,9,4,5,20,14,13,11
"pattern_79",15,15,11,10,11,24,16,13,11
"pattern_80",15,17,9,8,9,22,16,13,13
"pattern_81",15,17,9,6,9,22,16,11,15
"pattern_82",15,19,9,8,11,20,14,9,13
"pattern_83",15,13,7,4,5,22,16,11,11
"pattern_84",15,15,11,8,9,20,14,13,11
"pattern_85",15,15,13,10,11,22,16,15,15
"pattern_86",15,15,11,8,9,20,16,13,11
"pattern_87",15,21,11,8,11,20,14,11,15
"pattern_88",15,17,5,4,5,20,14,11,11
"pattern_89",15,17,9,6,7,22,16,11,15
"pattern_90",15,15,9,8,7,20,14,11,13
"pattern_91",15,15,7,4,5,20,18,11,11
"pattern_92",15,15,11,6,7,22,18,13,15
"pattern_93",15,17,11,6,9,22,18,15,13
"pattern_94",12,16,6,3,6,19,13,10,12
"pattern_95",15,17,11,8,9,20,16,15,11
"pattern_96",15,19,11,8,11,20,16,11,13
"pattern_97",15,17,11,8,9,22,18,15,17
"pattern_98",15,17,9,4,7,20,16,13,13
"pattern_99",15,17,9,8,7,20,14,11,13
"pattern_100",15,19,9,6,9,20,14,9,13
"pattern_101",15,13,9,8,9,20,16,11,11
"pattern_102",15,15,11,10,11,20,16,13,15
"pattern_103",14,16,10,5,8,21,17,12,12
"pattern_104",15,15,7,2,5,22,16,11,11
"pattern_105",15,17,9,6,9,20,16,9,11
"pattern_106",15,19,9,8,9,20,14,11,13
"pattern_107",15,17,7,4,5,20,14,13,11
"pattern_108",15,15,9,6,5,20,14,11,11
"pattern_109",15,19,9,8,9,20,16,11,13
"pattern_110",14,16,8,3,6,21,17,12,12
"pattern_111",15,19,9,8,11,22,16,9,15
"pattern_112",15,17,7,4,7,22,16,11,13
"pattern_113",15,15,9,6,7,22,16,13,9
"pattern_114",15,17,7,4,7,22,16,11,13
"pattern_115",15,15,9,4,7,20,16,11,11
"pattern_116",15,15,11,8,11,22,20,11,15
"pattern_117",15,17,9,8,9,22,18,11,15
"pattern_118",15,17,9,6,7,20,14,11,13
"pattern_119",15,15,7,4,5,20,14,11,9
"pattern_120",15,19,13,10,11,22,18,15,17
"pattern_121",15,19,13,10,13,18,18,15,19
"pattern_122",13,15,9,4,7,20,16,9,11
"pattern_123",15,17,9,6,7,18,16,13,11
"pattern_124",15,17,7,6,7,22,16,9,13
"pattern_125",15,15,9,6,7,18,16,13,9
"pattern_126",15,17,9,6,7,18,14,13,11
"pattern_127",14,16,8,5,6,19,17,12,12
"pattern_128",15,15,11,6,9,20,18,11,11
"pattern_129",15,15,7,6,7,20,14,11,11
"pattern_130",15,17,13,8,9,22,18,13,13
"pattern_131",15,21,11,8,11,20,14,11,15
"pattern_132",15,15,11,10,11,20,18,11,13
"pattern_133",15,15,9,6,7,22,18,13,13
"pattern_134",14,16,10,7,8,23,15,12,14
"pattern_135",15,15,9,6,9,24,16,11,13
"pattern_136",15,17,11,8,11,20,16,11,13
"pattern_137",10,12,6,5,6,17,13,8,8
"pattern_138",15,17,11,6,9,22,16,15,11
"pattern_139",14,16,8,3,6,21,17,12,12
"pattern_140",11,15,5,4,5,18,12,9,11
"pattern_141",15,17,9,6,7,24,18,11,13
"pattern_142",15,17,9,6,7,20,16,13,11
"pattern_143",15,15,9,6,7,22,18,11,13
"pattern_144",15,15,11,6,7,22,16,15,13
"pattern_145",15,13,15,10,11,22,18,15,13
"pattern_146",15,19,9,8,11,20,14,11,13
"pattern_147",15,17,9,6,9,22,14,11,11
"pattern_148",15,19,9,8,9,22,16,11,13
"pattern_149",15,11,11,6,7,20,16,13,15
"pattern_150",15,15,9,4,7,22,18,9,11
"pattern_151",15,15,7,6,7,18,14,11,9
"pattern_152",10,14,6,7,6,17,11,8,12
"pattern_153",15,17,7,4,7,20,14,11,11
"pattern_154",15,15,11,6,9,24,18,11,11
"pattern_155",15,19,9,6,9,24,18,11,15
"pattern_156",15,15,5,4,5,20,14,11,9
"pattern_157",15,15,7,4,5,20,14,9,9
"pattern_158",15,15,9,8,9,24,16,13,13
"pattern_159",15,13,9,4,7,22,18,13,13
"pattern_160",15,17,7,6,7,20,14,9,11
"pattern_161",14,16,6,5,8,21,15,8,12
"pattern_162",12,16,10,7,10,19,17,12,12
"pattern_163",15,15,11,6,9,22,16,13,11
"pattern_164",13,15,9,4,7,20,14,13,11
"pattern_165",15,17,9,6,7,20,14,11,13
"pattern_166",15,15,9,4,7,22,14,11,9
"pattern_167",15,15,7,4,5,22,16,11,11
"pattern_168",15,13,11,6,7,22,18,13,15
"pattern_169",15,15,7,4,5,22,16,9,11
"pattern_170",15,19,11,6,9,24,18,13,13
"pattern_171",15,17,9,6,7,22,18,11,13
"pattern_172",15,15,9,4,7,22,16,11,11
"pattern_173",15,17,7,6,7,20,14,11,11
"pattern_174",15,17,13,10,11,24,16,15,15
"pattern_175",15,15,13,10,9,22,18,15,15
"pattern_176",15,19,15,12,13,20,20,15,19
"pattern_177",13,17,7,4,7,20,14,9,13
"pattern_178",15,17,9,8,9,22,14,11,11
"pattern_179",15,15,9,6,9,22,20,13,13
"pattern_180",13,15,9,6,7,18,16,13,11
"pattern_181",15,21,11,8,11,22,18,13,15
"pattern_182",15,17,9,4,7,22,16,13,11
