"D","n_patterns_covered","freq_covered","pct_covered"
0,1,180,0.0225
1,5,247,0.030875
2,88,24183,3.022875
3,154,27823,3.477875
4,1086,330469,41.308625
5,1380,344425,43.053125
6,5039,670968,83.871
7,5380,673569,84.196125
8,11251,776135,97.016875
9,11402,776469,97.058625
10,15966,795413,99.426625
11,16044,795620,99.4525
12,17830,798440,99.805
13,17900,798620,99.8275
14,18385,799435,99.929375
15,18406,799489,99.936125
16,18548,799719,99.964875
17,18554,799740,99.9675
18,18632,799839,99.979875
19,18639,799848,99.981
20,18662,799930,99.99125
