"cluster","n_archetypes","total_frequency","freq_pct_total","freq_pct_rest"
1,18497,799409,99.926125,99.926125
2,84,213,0.026625,36.0406091370558
3,115,205,0.025625,54.2328042328042
4,44,129,0.016125,74.5664739884393
5,10,38,0.00475,86.3636363636364
6,5,5,0.000625,83.3333333333333
7,1,1,0.000125,100
