"K","archetypes_used"
1,"Careful"
2,"Careful | Early.Adopter"
3,"Careful | Early.Adopter | Fearful"
4,"Careful | Early.Adopter | Fearful | Homo.Economicus"
5,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer"
6,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn"
7,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested"
8,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8"
