analysis_sample,matrix_name,kmeans_prototype,kmeans_signature_size,kmeans_determinants,incremental_covered_pct,cumulative_covered_pct,efa_match,common_km_efa,similarity_km_efa_pct,jaccard_km_efa_pct,common_determinants_km_efa,efa_determinants,expert_match,expert_n_active,common_km_expert,km_determinants_found_in_expert_pct,expert_determinants_found_in_km_pct,jaccard_km_expert_pct,common_determinants_km_expert,expert_determinants
LATAM,matrix_32_raw_0_1,KM4,9,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_15_self_satisfaction; det_19_wellbeing; det_24_socialising; det_31_approval,6.591726190475976,85.89297619047387,EFA4,4,44.44444444444444,30.76923076923077,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_15_self_satisfaction,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_18_autonomy,Careful,12,5,55.55555555555556,41.666666666666664,31.25,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
LATAM,matrix_32_raw_0_1,KM5,15,det_02_credit_score; det_03_risk_profile; det_07_legal; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties; det_24_socialising; det_28_recognition; det_31_approval,1.923244047618999,87.81622023809288,EFA2,6,40,35.294117647058826,det_03_risk_profile; det_07_legal; det_09_safety; det_11_knowledge; det_17_adherence; det_21_rights_and_duties,det_03_risk_profile; det_07_legal; det_09_safety; det_11_knowledge; det_17_adherence; det_21_rights_and_duties; det_23_support; det_25_agreement,Careful,12,8,53.333333333333336,66.66666666666667,42.10526315789474,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
LATAM,matrix_32_raw_0_1,KM6,8,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_19_wellbeing; det_21_rights_and_duties,1.9639285714285224,89.78014880952142,EFA5,4,50,33.333333333333336,det_09_safety; det_12_own_competence; det_15_self_satisfaction; det_19_wellbeing,det_09_safety; det_12_own_competence; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_27_fun; det_32_own_significance,Fearful,9,5,62.5,55.55555555555556,41.666666666666664,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
LATAM,matrix_32_pos_0_1,KM1,14,det_01_profits; det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness,53.708273809524634,53.708273809524634,EFA6,2,14.285714285714286,10,det_09_safety; det_18_autonomy,det_04_added_value; det_09_safety; det_18_autonomy; det_22_peer_pressure; det_24_socialising; det_25_agreement; det_26_novelty; det_29_trends,Careful,12,9,64.28571428571429,75,52.94117647058823,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
LATAM,matrix_32_pos_0_1,KM2,12,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties,30.05999999999972,83.76827380952436,EFA4,6,50,42.857142857142854,det_07_legal; det_08_trust; det_11_knowledge; det_12_own_competence; det_17_adherence; det_21_rights_and_duties,det_07_legal; det_08_trust; det_11_knowledge; det_12_own_competence; det_17_adherence; det_21_rights_and_duties; det_23_support; det_25_agreement,Careful,12,8,66.66666666666667,66.66666666666667,50,det_02_credit_score; det_03_risk_profile; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
LATAM,matrix_32_pos_0_1,KM3,8,det_01_profits; det_02_credit_score; det_05_frugality; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction,2.7080059523808964,86.47627976190525,EFA1,7,87.5,77.77777777777777,det_01_profits; det_02_credit_score; det_05_frugality; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,Homo.Economicus,9,5,62.5,55.55555555555556,41.666666666666664,det_01_profits; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,det_01_profits; det_04_added_value; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
LATAM,matrix_32_pos_0_1,KM4,13,det_02_credit_score; det_06_climate_protection; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing; det_21_rights_and_duties,5.6652678571426875,92.14154761904794,EFA3,4,30.76923076923077,23.529411764705884,det_06_climate_protection; det_13_technical_fit; det_14_environmental_concerns; det_17_adherence,det_04_added_value; det_06_climate_protection; det_13_technical_fit; det_14_environmental_concerns; det_17_adherence; det_23_support; det_26_novelty; det_32_own_significance,Careful,12,10,76.92307692307692,83.33333333333333,66.66666666666667,det_02_credit_score; det_06_climate_protection; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
LATAM,matrix_32_pos_0_1,KM5,12,det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing; det_20_coziness; det_21_rights_and_duties; det_25_agreement; det_26_novelty,2.798005952380901,94.93955357142885,EFA2,1,8.333333333333334,5.2631578947368425,det_26_novelty,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,Careful,12,6,50,50,33.333333333333336,det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
LATAM,matrix_32_pos_0_1,KM6,9,det_01_profits; det_02_credit_score; det_08_trust; det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness,0.5879166666666549,95.527470238095475,EFA5,6,66.66666666666667,54.54545454545455,det_01_profits; det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness,det_01_profits; det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_27_fun; det_32_own_significance,Fearful,9,5,55.55555555555556,55.55555555555556,38.46153846153846,det_02_credit_score; det_08_trust; det_09_safety; det_10_cost_efficiency; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
LATAM,matrix_32_ext_0_1,KM1,8,det_02_credit_score; det_10_cost_efficiency; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,17.77824404761838,17.77824404761838,EFA1,6,75,60,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,det_22_peer_pressure; det_24_socialising; det_25_agreement; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,Influencer,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
LATAM,matrix_32_ext_0_1,KM2,8,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing; det_28_recognition; det_31_approval,29.078273809522727,46.856517857141114,EFA6,4,50,33.333333333333336,det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence,det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_21_rights_and_duties,Careful,12,6,75,50,42.857142857142854,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
