analysis_sample,matrix_name,kmeans_prototype,expert_profile,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
COMPLETE,matrix_32_raw_0_1,KM1,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,matrix_32_raw_0_1,KM2,Influencer,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_raw_0_1,KM3,Homo.Economicus,15,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,matrix_32_raw_0_1,KM4,Careful,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_raw_0_1,KM5,Homo.Economicus,12,9,5,41.666666666666664,55.55555555555556,31.25,det_01_profits; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,matrix_32_raw_0_1,KM6,Activist,13,6,6,46.15384615384615,100,46.15384615384615,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
COMPLETE,matrix_32_pos_0_1,KM1,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,matrix_32_pos_0_1,KM2,Activist,11,6,6,54.54545454545455,100,54.54545454545455,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
COMPLETE,matrix_32_pos_0_1,KM3,Careful,15,12,9,60,75,50,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_pos_0_1,KM4,Fearful,14,9,9,64.28571428571429,100,64.28571428571429,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,matrix_32_pos_0_1,KM5,Careful,15,12,11,73.33333333333333,91.66666666666669,68.75,det_02_credit_score; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_pos_0_1,KM6,Careful,8,12,6,75,50,42.857142857142854,det_06_climate_protection; det_11_knowledge; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_ext_0_1,KM1,Influencer,10,5,5,50,100,50,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_ext_0_1,KM2,Fearful,15,9,9,60,100,60,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,matrix_32_ext_0_1,KM3,Careful,8,12,7,87.5,58.333333333333336,53.84615384615385,det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_ext_0_1,KM4,Fearful,12,9,7,58.333333333333336,77.77777777777777,50,det_02_credit_score; det_07_legal; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,matrix_32_ext_0_1,KM5,Influencer,9,5,4,44.44444444444444,80,40,det_11_knowledge; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_ext_0_1,KM6,Careful,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_14_environmental_concerns; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_z_abs,KM1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_z_abs,KM2,Careful,8,12,3,37.5,25,17.647058823529413,det_02_credit_score; det_06_climate_protection; det_14_environmental_concerns
COMPLETE,matrix_32_z_abs,KM3,Early.Adopter,15,6,4,26.666666666666668,66.66666666666667,23.529411764705884,det_11_knowledge; det_14_environmental_concerns; det_26_novelty; det_29_trends
