analysis_sample,matrix_name,matrix,greedy_d_strategy,greedy_h,weighting,n_kmeans_prototypes,min_kmeans_signature_size,max_kmeans_signature_size,n_efa_factors,efa_top_n_determinants,n_valid_efa_bootstraps,efa_reference_bootstrap,mean_efa_alignment_similarity,median_efa_alignment_similarity,mean_kmeans_efa_similarity,median_kmeans_efa_similarity,min_kmeans_efa_similarity,max_kmeans_efa_similarity,n_kmeans_efa_matches_ge_75,mean_best_kmeans_expert_jaccard,max_best_kmeans_expert_jaccard,mean_best_efa_expert_jaccard,max_best_efa_expert_jaccard,coverage_after_6_prototypes
COMPLETE,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,92,87.85416666666666,87.5,38.272792022792025,35.41666666666667,7.6923076923076925,77.77777777777777,1,45.771011396011396,55.55555555555556,29.387464387464387,44.44444444444444,90.69184523809244
COMPLETE,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,86,85.35416666666666,87.5,38.69949494949495,43.18181818181819,0,62.5,0,53.68416305916306,68.75,33.16498316498316,44.44444444444444,96.20660714285496
COMPLETE,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,56,72.02083333333334,75,43.7037037037037,47.22222222222222,11.11111111111111,70,0,50.64102564102564,60,30.62123062123062,44.44444444444444,86.53925595238083
COMPLETE,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,68,69.39583333333333,75,53.19444444444444,46.66666666666667,13.333333333333334,100,2,28.992374727668846,50,32.13397713397713,55.55555555555556,58.36610119047407
EUROPE,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,94,80.45833333333333,75,36.666666666666664,33.035714285714285,20,62.5,0,41.20701058201058,50,32.874717874717874,44.44444444444444,87.82300595238
EUROPE,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,30,76.64583333333334,75,45.69444444444444,38.75,13.333333333333334,87.5,1,58.60845295055822,75,33.63335466276643,44.44444444444444,92.730416666666
EUROPE,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,93,67.47916666666666,62.5,43.716931216931215,48.095238095238095,12.5,77.77777777777777,1,51.35977570188096,64.28571428571429,32.03703703703704,44.44444444444444,77.12931547619017
EUROPE,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,6,66.16666666666666,62.5,58.56060606060606,53.33333333333333,33.333333333333336,100,2,33.453654188948306,54.54545454545455,31.974229474229475,44.44444444444444,54.477559523805
LATAM,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,100,45,79.375,87.5,34.576210826210826,42.22222222222222,6.666666666666667,53.84615384615385,0,40.163911381016646,50,27.928226457638225,44.44444444444444,89.78014880952142
LATAM,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,14,6,8,100,84,75.6875,75,42.925824175824175,40.38461538461539,8.333333333333334,87.5,1,47.17823026646556,66.66666666666667,29.665704665704666,44.44444444444444,95.527470238095475
