"cluster","n_archetypes","total_frequency","freq_pct_total","freq_pct_rest"
1,7694,651863,81.482875,81.482875
2,1865,105230,13.15375,71.035595428556
3,729,22033,2.754125,51.350595473932
4,2736,10678,1.33475,51.1545463255725
5,402,1662,0.20775,16.3005100039231
6,117,397,0.049625,4.65198031403797
7,9,135,0.016875,1.65908811601327
8,52,169,0.021125,2.11197200699825
