"archetype_id","cluster"
3,1
6,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
17,1
18,1
24,1
26,1
27,1
34,1
35,1
36,1
41,1
42,1
44,1
47,1
49,1
51,1
52,1
56,1
58,1
60,1
64,1
68,1
69,1
72,1
75,1
76,1
77,1
82,1
84,1
86,1
89,1
98,1
99,1
100,1
101,1
107,1
111,1
115,1
116,1
118,1
119,1
122,1
126,1
127,1
131,1
132,1
136,1
137,1
143,1
144,1
145,1
146,1
150,1
153,1
154,1
157,1
158,1
160,1
161,1
162,1
164,1
165,1
166,1
170,1
175,1
177,1
178,1
179,1
181,1
183,1
190,1
191,1
195,1
200,1
203,1
204,1
207,1
209,1
212,1
214,1
215,1
216,1
217,1
219,1
221,1
222,1
223,1
225,1
231,1
232,1
233,1
237,1
238,1
244,1
248,1
249,1
250,1
251,1
253,1
254,1
258,1
262,1
263,1
265,1
268,1
271,1
272,1
274,1
275,1
276,1
282,1
283,1
286,1
291,1
292,1
294,1
296,1
310,1
315,1
316,1
318,1
322,1
323,1
325,1
327,1
328,1
331,1
336,1
342,1
344,1
345,1
347,1
350,1
351,1
354,1
363,1
366,1
367,1
373,1
374,1
376,1
377,1
379,1
381,1
384,1
387,1
389,1
395,1
399,1
401,1
404,1
405,1
408,1
410,1
417,1
418,1
422,1
427,1
428,1
429,1
436,1
437,1
439,1
440,1
444,1
446,1
449,1
450,1
454,1
455,1
456,1
458,1
463,1
465,1
466,1
469,1
472,1
476,1
478,1
479,1
481,1
482,1
486,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
503,1
504,1
506,1
507,1
508,1
509,1
510,1
511,1
517,1
519,1
533,1
536,1
537,1
538,1
539,1
540,1
542,1
544,1
545,1
549,1
553,1
556,1
557,1
558,1
559,1
561,1
562,1
564,1
565,1
567,1
571,1
575,1
576,1
583,1
584,1
585,1
586,1
590,1
591,1
594,1
595,1
597,1
600,1
601,1
603,1
604,1
609,1
612,1
615,1
616,1
617,1
618,1
619,1
624,1
625,1
626,1
628,1
630,1
633,1
638,1
639,1
641,1
642,1
644,1
646,1
648,1
650,1
656,1
658,1
662,1
663,1
665,1
669,1
672,1
673,1
674,1
675,1
678,1
686,1
689,1
694,1
696,1
697,1
701,1
706,1
707,1
708,1
709,1
713,1
714,1
715,1
718,1
719,1
723,1
724,1
727,1
728,1
729,1
730,1
733,1
744,1
745,1
748,1
752,1
754,1
756,1
758,1
759,1
761,1
762,1
763,1
764,1
767,1
770,1
777,1
781,1
782,1
783,1
785,1
787,1
789,1
793,1
795,1
796,1
799,1
800,1
805,1
807,1
808,1
818,1
820,1
821,1
823,1
825,1
827,1
833,1
834,1
835,1
838,1
839,1
841,1
844,1
845,1
847,1
849,1
856,1
858,1
859,1
861,1
862,1
864,1
865,1
868,1
872,1
874,1
878,1
879,1
880,1
881,1
886,1
890,1
893,1
897,1
898,1
899,1
900,1
906,1
908,1
909,1
911,1
912,1
913,1
915,1
917,1
919,1
922,1
923,1
929,1
931,1
932,1
933,1
934,1
936,1
938,1
942,1
943,1
947,1
948,1
949,1
952,1
953,1
954,1
955,1
961,1
965,1
966,1
970,1
973,1
974,1
975,1
981,1
982,1
988,1
993,1
998,1
999,1
1000,1
1004,1
1008,1
1009,1
1011,1
1012,1
1013,1
1015,1
1017,1
1021,1
1023,1
1026,1
1027,1
1028,1
1031,1
1033,1
1034,1
1040,1
1041,1
1054,1
1056,1
1063,1
1067,1
1068,1
1073,1
1074,1
1076,1
1077,1
1078,1
1079,1
1080,1
1084,1
1089,1
1090,1
1094,1
1097,1
1099,1
1100,1
1103,1
1104,1
1107,1
1108,1
1110,1
1114,1
1118,1
1119,1
1121,1
1122,1
1123,1
1125,1
1126,1
1131,1
1132,1
1134,1
1138,1
1139,1
1141,1
1148,1
1151,1
1152,1
1154,1
1156,1
1157,1
1159,1
1161,1
1164,1
1166,1
1167,1
1169,1
1170,1
1171,1
1173,1
1175,1
1176,1
1178,1
1181,1
1183,1
1187,1
1188,1
1190,1
1192,1
1195,1
1196,1
1197,1
1198,1
1200,1
1202,1
1204,1
1205,1
1209,1
1211,1
1214,1
1215,1
1218,1
1219,1
1220,1
1222,1
1226,1
1229,1
1235,1
1236,1
1242,1
1243,1
1245,1
1247,1
1248,1
1250,1
1252,1
1257,1
1261,1
1262,1
1263,1
1267,1
1269,1
1273,1
1276,1
1279,1
1281,1
1282,1
1284,1
1286,1
1290,1
1293,1
1297,1
1299,1
1300,1
1304,1
1314,1
1315,1
1316,1
1317,1
1319,1
1321,1
1323,1
1324,1
1327,1
1328,1
1329,1
1330,1
1331,1
1333,1
1335,1
1336,1
1338,1
1339,1
1342,1
1343,1
1344,1
1346,1
1347,1
1348,1
1351,1
1352,1
1353,1
1354,1
1357,1
1360,1
1361,1
1362,1
1364,1
1365,1
1368,1
1369,1
1370,1
1376,1
1380,1
1381,1
1385,1
1388,1
1392,1
1394,1
1399,1
1401,1
1402,1
1403,1
1404,1
1405,1
1407,1
1410,1
1411,1
1412,1
1414,1
1415,1
1418,1
1420,1
1421,1
1423,1
1426,1
1428,1
1429,1
1432,1
1435,1
1438,1
1439,1
1440,1
1442,1
1444,1
1446,1
1447,1
1450,1
1458,1
1462,1
1465,1
1468,1
1469,1
1472,1
1473,1
1479,1
1481,1
1482,1
1483,1
1484,1
1486,1
1490,1
1492,1
1509,1
1510,1
1512,1
1513,1
1517,1
1520,1
1524,1
1527,1
1528,1
1535,1
1536,1
1541,1
1543,1
1545,1
1550,1
1552,1
1554,1
1558,1
1559,1
1560,1
1561,1
1563,1
1565,1
1566,1
1570,1
1571,1
1572,1
1574,1
1585,1
1586,1
1595,1
1596,1
1597,1
1599,1
1601,1
1604,1
1608,1
1609,1
1611,1
1613,1
1615,1
1616,1
1618,1
1619,1
1620,1
1623,1
1625,1
1626,1
1627,1
1628,1
1629,1
1632,1
1634,1
1637,1
1639,1
1640,1
1642,1
1644,1
1645,1
1649,1
1650,1
1655,1
1657,1
