"determinante","n_clusters"
"PROFITS",5
"CREDIT.SCORE",7
"RISK.PROFILE",8
"ADDED.VALUE",2
"FRUGALITY",2
"CLIMATE.PROTECTION",2
"LEGAL",4
"TRUST",5
"SAFETY",5
"COST.EFFICIENCY",7
"KNOWLEDGE",7
"OWN.COMPETENCE",7
"TECHNICAL.FIT",6
"ENVIRONMENTAL.CONCERNS",3
"SELF.SATISFACTION",7
"COMMITMENT",5
"ADHERENCE",7
"AUTARKY",6
"WELLBEING",5
"COZINESS",3
"RIGHTS.AND.DUTIES",3
"PEER.PRESSURE",1
"SUPPORT",1
"SOCIALISING",0
"AGREEMENT",0
"NOVELTY",2
"FUN",1
"RECOGNITION",1
"TRENDS",0
"AUTHORITY",1
"OWN.SIGNIFICANCE",0
"APPROVAL",2
