"cluster","n_active_dets","active_determinants"
"cluster_1",0,""
"cluster_2",15,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF-SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; RECOGNITION; OWN SIGNIFICANCE"
"cluster_3",15,"PROFITS; CREDIT SCORE; ADDED VALUE; FRUGALITY; CLIMATE PROTECTION; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; ENVIRONMENTAL CONCERNS; AUTARKY; COZINESS; RIGHTS AND DUTIES"
"cluster_4",15,"ADDED VALUE; SAFETY; OWN COMPETENCE; SELF-SATISFACTION; COMMITMENT; AUTARKY; WELLBEING; COZINESS; SUPPORT; SOCIALISING; AGREEMENT; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE"
"cluster_5",15,"PROFITS; CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; KNOWLEDGE; OWN COMPETENCE; PEER-PRESSURE; SOCIALISING; AGREEMENT; NOVELTY; FUN; TRENDS; AUTHORITY; APPROVAL"
