component,source_prefix,n_columns
00_id_metadata,meta_or_clean,10
01_sociodemographics,meta_or_clean,11
01_sociodemographics,rv_concerns2,15
01_sociodemographics,rv_decision,16
01_sociodemographics,rv_energy_crisis,19
01_sociodemographics,rv_poverty,36
01_sociodemographics,why,13
02_voting_political,rv_concerns2,2
02_voting_political,rv_decision,2
02_voting_political,rv_energy_crisis,3
02_voting_political,rv_poverty,2
03_32_determinants,diego_det_harmonised,32
03_32_determinants,rv_concerns2,30
03_32_determinants,rv_decision,34
03_32_determinants,rv_energy_crisis,29
03_32_determinants,rv_poverty,1
03_32_determinants,why,46
04_technology_stage,rv_concerns2,32
04_technology_stage,rv_decision,32
04_technology_stage,rv_energy_crisis,32
04_technology_stage,rv_poverty,32
05_cost_tariff_payback,rv_concerns2,5
05_cost_tariff_payback,rv_decision,20
05_cost_tariff_payback,rv_energy_crisis,9
05_cost_tariff_payback,rv_poverty,44
05_cost_tariff_payback,why,22
06_concerns_barriers,rv_concerns2,7
07_trust_information_sources,rv_concerns2,1
07_trust_information_sources,rv_decision,3
08_energy_technology_support_concerns,rv_concerns2,38
09_social_paradigms,rv_concerns2,10
10_energy_crisis,rv_energy_crisis,83
11_poverty,rv_poverty,83
12_attention_checks,rv_concerns2,3
12_attention_checks,rv_decision,2
13_awareness_attitudes,rv_concerns2,2
13_awareness_attitudes,rv_decision,2
13_awareness_attitudes,why,4
99_other,diego_raw,39
99_other,meta_or_clean,7
99_other,rv_concerns2,11
99_other,rv_decision,52
99_other,why,56
