consensus_factor,id,determinants,mean_selection_frequency,mean_abs_loading
1,EFA1,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,0.80625,0.4174959135028239
2,EFA2,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,0.91,0.4646588313322215
3,EFA3,det_04_added_value; det_06_climate_protection; det_13_technical_fit; det_14_environmental_concerns; det_17_adherence; det_23_support; det_26_novelty; det_32_own_significance,0.75,0.3689807968230956
4,EFA4,det_07_legal; det_08_trust; det_11_knowledge; det_12_own_competence; det_17_adherence; det_21_rights_and_duties; det_23_support; det_25_agreement,0.78125,0.39230679716140593
5,EFA5,det_01_profits; det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_27_fun; det_32_own_significance,0.85625,0.45208422858521974
6,EFA6,det_04_added_value; det_09_safety; det_18_autonomy; det_22_peer_pressure; det_24_socialising; det_25_agreement; det_26_novelty; det_29_trends,0.58,0.24504135801641652
