Early Adopter,Uninterested,Homo Economicus,Fearful,Stubborn,Influencer,Careful
,,Profits,Profits,,,
Credit Score,,Credit Score,Credit Score,Credit Score,Credit Score,Credit Score
,,Risk Profile,Risk Profile,,,Risk Profile
,,Added Value,,,,
,,Frugality,,,,
,Legal,Legal,Legal,,,
,,Trust,Trust,,,Trust
,Safety,Safety,Safety,,,Safety
,,,,Climate Protection,,
,,Cost-Efficiency,,,,
Knowledge,,Knowledge,Knowledge,,,Knowledge
,,,Own Competence,Own Competence,,Own Competence
,Technical Fit,Technical Fit,Technical Fit,Technical Fit,Technical Fit,Technical Fit
,,,,Environmental Concerns,,
,Self-Satisfaction,,,Self-Satisfaction,,Self-Satisfaction
,,,,Commitment,,Commitment
,,,Adherence,Adherence,,Adherence
,,,,,,Autarky
,Wellbeing,,Wellbeing,,,Wellbeing
,Cozyness,,Cozyness,,,Cozyness
,Rights and Duties,,Rights and Duties,,Rights and Duties,
Peer-Pressure,Peer-Pressure,,,,Peer-Pressure,
,,,,,Support,Support
,,,,,Socialising,
,,,,,Agreement,
Novelty,,,,,,
Fun,,,,,,
Brag,,,,,,
Trends,,,,,Trends,
Authority,,,,,Authority,
,,,Own Significance,Own Significance,,Own Significance
Poseur,,,,,Poseur,
