Archetype,PROFITS,CREDIT SCORE,RISK PROFILE,ADDED VALUE,FRUGALITY,CLIMATE PROTECTION,LEGAL,TRUST,SAFETY,COST EFFICIENCY,KNOWLEDGE,OWN COMPETENCE,TECHNICAL FIT,ENVIRONMENTAL CONCERNS,SELF SATISFACTION,COMMITMENT,ADHERENCE,AUTARKY,WELLBEING,COZINESS,RIGHTS AND DUTIES,PEER PRESSURE,SUPPORT,SOCIALISING,AGREEMENT,NOVELTY,FUN,RECOGNITION,TRENDS,AUTHORITY,OWN SIGNIFICANCE,APPROVAL
Early.Adopter,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1
Uninterested,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Homo.Economicus,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fearful,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Stubborn,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Influencer,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1
Careful,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
