"","Early Adopter","Uninterested","Homo Economicus","Fearful","Stubborn","Influencer","Careful"
"pattern_1",20,11,10,7,10,19,8
"pattern_17",20,13,10,7,12,21,4
"pattern_4",20,15,10,11,8,19,12
"pattern_18",20,13,10,9,8,19,10
"pattern_16",20,13,8,7,14,21,6
"pattern_49",20,15,10,9,12,21,6
"pattern_20",20,11,10,5,12,19,6
"pattern_23",20,11,8,5,12,19,8
"pattern_10",20,13,8,9,14,21,6
"pattern_11",20,11,10,7,12,19,6
"pattern_6",20,9,10,5,12,19,6
"pattern_40",20,13,8,7,12,21,6
"pattern_78",18,17,10,13,8,19,12
"pattern_163",20,13,10,7,12,19,6
"pattern_7",20,15,8,9,12,21,6
"pattern_94",20,11,12,7,10,19,6
"pattern_8",20,13,10,9,10,21,6
"pattern_44",20,13,10,9,12,21,6
"pattern_66",20,13,10,7,10,19,8
"pattern_72",20,13,8,7,12,21,6
"pattern_80",20,13,8,7,12,19,10
"pattern_2",20,15,10,9,10,21,6
"pattern_119",20,11,10,7,12,21,4
"pattern_67",18,17,12,13,8,17,12
"pattern_157",20,13,8,7,10,19,10
"pattern_35",20,11,8,5,12,21,6
"pattern_120",18,19,12,15,8,19,10
"pattern_12",20,15,8,9,10,19,12
"pattern_77",20,11,12,7,12,19,4
"pattern_156",20,11,10,5,14,21,8
"pattern_111",20,11,6,5,14,19,10
"pattern_212",20,13,12,7,14,21,6
"pattern_84",18,11,12,7,12,17,6
"pattern_87",20,11,12,7,12,19,6
"pattern_30",18,15,10,13,10,17,14
"pattern_9",18,19,12,15,8,17,10
"pattern_59",20,13,6,7,12,19,10
"pattern_42",20,15,10,11,8,19,12
"pattern_53",19,16,9,10,11,20,7
"pattern_41",20,13,8,7,10,21,8
"pattern_43",18,15,12,13,8,17,14
"pattern_236",20,15,8,9,12,21,8
"pattern_274",20,13,10,9,8,21,8
"pattern_95",20,11,10,7,12,21,6
"pattern_45",20,11,10,7,14,19,6
"pattern_178",20,13,12,9,10,19,6
"pattern_107",18,17,10,13,8,19,10
"pattern_22",20,13,6,7,14,21,8
"pattern_58",20,13,10,7,12,21,10
"pattern_55",20,11,6,7,16,21,8
"pattern_313",17,18,11,14,7,18,11
"pattern_36",20,13,10,9,10,19,8
"pattern_149",22,11,12,7,16,23,8
"pattern_139",20,15,10,9,8,19,12
"pattern_125",20,11,6,7,14,19,10
"pattern_132",20,11,10,7,10,21,6
"pattern_100",22,11,10,7,12,21,10
"pattern_243",20,13,10,7,10,21,6
"pattern_34",18,15,12,11,8,17,12
"pattern_39",18,13,12,9,10,17,8
"pattern_85",20,11,10,7,12,19,8
"pattern_131",18,13,14,9,14,21,8
"pattern_183",20,13,6,7,12,21,8
"pattern_275",22,11,12,7,12,19,6
"pattern_343",20,13,8,7,14,21,8
"pattern_93",20,13,8,7,14,19,10
"pattern_332",22,9,10,5,14,21,8
"pattern_168",18,19,10,15,8,19,12
"pattern_38",20,11,12,7,14,21,8
"pattern_62",22,11,12,7,14,23,10
"pattern_370",20,13,12,9,10,21,4
"pattern_162",20,15,8,9,12,19,10
"pattern_244",20,11,10,9,10,19,10
"pattern_129",20,11,10,7,10,19,10
"pattern_121",18,11,10,7,12,17,8
"pattern_170",20,9,10,5,12,19,8
"pattern_64",20,13,10,7,14,21,8
"pattern_50",18,13,12,7,14,21,8
"pattern_187",20,15,12,11,8,19,10
"pattern_15",20,13,12,7,12,21,8
"pattern_209",20,13,12,9,8,19,8
"pattern_323",22,11,10,7,14,21,8
"pattern_117",20,9,8,5,14,19,8
"pattern_423",20,13,12,9,10,19,8
"pattern_57",20,17,10,11,10,21,8
"pattern_374",19,18,9,12,9,20,9
"pattern_213",20,11,6,5,14,21,8
"pattern_259",22,13,12,9,14,23,10
"pattern_344",18,13,12,9,12,19,6
"pattern_108",20,11,8,7,14,21,6
"pattern_225",20,11,12,7,16,23,10
"pattern_138",18,13,12,9,12,19,4
"pattern_75",20,11,14,9,16,23,10
"pattern_367",20,13,8,11,10,19,12
"pattern_124",22,11,12,9,12,21,8
"pattern_151",20,15,8,11,8,21,10
"pattern_595",18,15,10,9,10,19,6
"pattern_277",20,13,8,9,10,19,10
"pattern_330",20,15,12,11,8,17,10
"pattern_52",20,15,12,13,8,17,12
"pattern_297",18,13,12,9,10,19,6
"pattern_416",20,13,6,9,14,21,8
"pattern_266",18,11,12,7,14,21,10
"pattern_89",22,9,10,5,12,19,8
"pattern_227",16,15,8,9,8,17,8
"pattern_335",22,9,12,7,14,21,8
"pattern_112",20,11,10,7,12,19,6
"pattern_61",18,17,12,15,8,17,12
"pattern_321",20,11,8,7,12,19,10
"pattern_383",18,17,8,11,10,19,8
"pattern_134",18,13,10,7,14,21,10
