bootstrap_id,mean_similarity_to_others
30,80.93434343434343
81,80.76599326599326
23,80.47138047138047
94,80.47138047138047
95,80.47138047138047
7,80.4503367003367
98,80.42929292929293
71,80.40824915824916
25,80.36616161616162
27,80.36616161616162
52,80.23989898989899
53,80.11363636363636
73,80.11363636363636
92,80.05050505050505
86,80.00841750841751
18,79.98737373737374
32,79.96632996632997
79,79.96632996632997
91,79.9452861952862
67,79.84006734006734
63,79.79797979797979
76,79.67171717171718
39,79.4402356902357
12,79.41919191919192
8,79.25084175084174
3,79.20875420875421
82,78.9983164983165
93,78.97727272727273
20,78.91414141414141
26,78.82996632996633
35,78.82996632996633
74,78.78787878787878
22,78.72474747474747
43,78.70370370370371
99,78.5563973063973
60,78.53535353535354
61,78.53535353535354
66,78.53535353535354
72,78.45117845117845
58,78.43013468013469
68,78.38804713804714
83,78.13552188552188
75,78.11447811447812
51,78.03030303030303
77,77.86195286195286
40,77.8409090909091
97,77.77777777777777
29,77.73569023569024
5,77.71464646464646
85,77.48316498316498
45,77.2516835016835
38,77.20959595959596
21,76.99915824915824
69,76.97811447811448
80,76.97811447811448
64,76.95707070707071
34,76.91498316498317
57,76.87289562289563
78,76.72558922558923
44,76.62037037037037
24,76.53619528619528
31,76.51515151515152
84,76.51515151515152
37,76.49410774410774
10,76.43097643097643
36,76.36784511784512
65,76.3047138047138
87,76.28367003367003
62,76.26262626262626
42,76.13636363636364
56,76.11531986531986
16,75.7996632996633
50,75.77861952861953
49,75.69444444444444
54,75.6523569023569
55,75.56818181818181
96,75.4419191919192
11,75.23148148148148
15,75.1473063973064
19,74.93686868686869
46,74.89478114478115
90,74.89478114478115
6,74.62121212121212
13,74.32659932659932
28,73.94781144781145
70,73.61111111111111
2,73.48484848484848
41,73.44276094276094
17,72.91666666666667
14,72.34848484848484
89,71.31734006734007
100,69.97053872053871
4,69.10774410774411
59,68.70791245791246
1,67.55050505050505
47,67.10858585858585
33,67.003367003367
48,66.24579124579124
9,64.85690235690235
88,63.02609427609428
