"cluster","n_active_dets","active_determinants"
"cluster_1",0,""
"cluster_2",3,"COMPETENCE; AUTONOMY; PHYSICALNESS"
"cluster_3",3,"COMPETENCE; STIMULATION; POPULARITY"
"cluster_4",3,"PHYSICALNESS; POPULARITY; MEANING"
