integrated_row_id,global_participant_key,dataset_source,source_survey,country_model,country_model_grouped,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,det_01_profits,det_02_credit_score,det_03_risk_profile,det_04_added_value,det_05_frugality,det_06_climate_protection,det_07_legal,det_08_trust,det_09_safety,det_10_cost_efficiency,det_11_knowledge,det_12_own_competence,det_13_technical_fit,det_14_environmental_concerns,det_15_self_satisfaction,det_16_commitment,det_17_adherence,det_18_autonomy,det_19_wellbeing,det_20_coziness,det_21_rights_and_duties,det_22_peer_pressure,det_23_support,det_24_socialising,det_25_agreement,det_26_novelty,det_27_fun,det_28_recognition,det_29_trends,det_30_authority,det_31_approval,det_32_own_significance
5,rv__55e04d4c3b268b00110294fe,rv,decision,DK,DK,45_54,male,employed,usable_complete,TRUE,TRUE,32,80,60,NA,60,79,61,87,81,NA,80,87,NA,83,79,65,72,66,59,68,58,65,NA,59,NA,77,NA,NA,NA,NA,NA,NA,NA
6,rv__56ab6fd869b24700065cbdbd,rv,decision,GB,GB,55_64,male,employed,usable_complete,TRUE,TRUE,32,85,95,86,60,75,75,100,90,100,90,95,72,85,85,95,95,85,76,75,76,100,NA,65,NA,80,NA,NA,NA,NA,NA,NA,60
8,rv__56b0eec66399f90011d9cf67,rv,decision,CZ,CZ,25_34,female,employed,usable_complete,TRUE,TRUE,32,81,72,77,NA,83,NA,88,71,72,92,100,63,100,57,60,64,100,61,57,76,87,59,NA,NA,89,56,64,NA,NA,NA,NA,61
10,rv__577d0ad6adbc7500015d2839,rv,decision,IT,IT,25_34,other,unemployed,usable_complete_limited_metadata,TRUE,TRUE,32,50,NA,90,55,85,NA,90,84,70,100,95,75,75,NA,83,87,90,92,80,80,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,75,NA
11,rv__5788c16f275be600013590a8,rv,decision,GB,GB,45_54,female,employed,usable_complete,TRUE,TRUE,32,85,NA,70,70,80,71,99,100,NA,90,71,85,62,80,85,63,68,NA,NA,NA,64,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
12,rv__57e928630cb6700001dd8f8a,rv,decision,PT,PT,25_34,female,employed,usable_partial,TRUE,TRUE,31,62,NA,73,76,77,56,100,86,76,84,68,58,68,79,76,65,80,70,90,77,69,NA,50,NA,88,NA,NA,NA,NA,NA,NA,62
13,rv__58404fd8ad98e40001ce915f,rv,decision,GB,GB,45_54,female,employed,usable_complete,TRUE,TRUE,32,58,NA,75,56,72,NA,100,72,75,77,75,70,75,NA,66,70,65,79,81,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
18,rv__598b108e504c5200011964a1,rv,decision,CH,CH,35_44,female,employed,usable_complete,TRUE,TRUE,32,60,50,95,NA,60,85,90,100,100,100,100,70,100,70,100,90,100,NA,90,70,100,60,60,NA,NA,NA,50,NA,NA,NA,NA,50
21,rv__59da7e94416c900001ea5b52,rv,decision,FR,FR,35_44,female,employed,usable_partial,TRUE,TRUE,31,NA,100,100,100,50,90,50,50,76,86,100,71,74,90,100,77,100,75,100,82,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
22,rv__59dbb88b0fb3a90001bd90b0,rv,decision,GB,GB,25_34,female,employed,usable_complete,TRUE,TRUE,32,54,72,71,65,71,61,100,86,89,80,76,68,NA,67,69,55,69,NA,57,NA,50,NA,NA,NA,51,NA,NA,60,NA,NA,NA,NA
25,rv__5a2310ebdf5bd00001b37474,rv,concerns2;decision,PL,PL,35_44,female,employed,usable_partial,TRUE,TRUE,31,NA,83,60,62,51,64,76,90,88,93,81,70,60,85,70,60,80,79,63,50,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
26,rv__5a2dbc92e2032600017f4b1d,rv,decision,DE,DE,25_34,male,unemployed,usable_complete,TRUE,TRUE,32,NA,69,NA,NA,NA,NA,57,59,NA,76,60,NA,60,NA,80,55,62,NA,85,64,59,NA,NA,NA,54,52,NA,NA,NA,NA,NA,57
