integrated_row_id,global_participant_key,dataset_source,source_survey,country_model,country_model_grouped,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,det_01_profits,det_02_credit_score,det_03_risk_profile,det_04_added_value,det_05_frugality,det_06_climate_protection,det_07_legal,det_08_trust,det_09_safety,det_10_cost_efficiency,det_11_knowledge,det_12_own_competence,det_13_technical_fit,det_14_environmental_concerns,det_15_self_satisfaction,det_16_commitment,det_17_adherence,det_18_autonomy,det_19_wellbeing,det_20_coziness,det_21_rights_and_duties,det_22_peer_pressure,det_23_support,det_24_socialising,det_25_agreement,det_26_novelty,det_27_fun,det_28_recognition,det_29_trends,det_30_authority,det_31_approval,det_32_own_significance
5,rv__55e04d4c3b268b00110294fe,rv,decision,DK,DK,45_54,male,employed,usable_complete,TRUE,TRUE,32,30,NA,NA,NA,29,NA,37,31,NA,30,37,NA,33,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,27,NA,NA,35,NA,38,NA,NA
6,rv__56ab6fd869b24700065cbdbd,rv,decision,GB,GB,55_64,male,employed,usable_complete,TRUE,TRUE,32,35,45,36,NA,25,25,50,40,50,40,45,NA,35,35,45,45,35,26,25,26,50,30,NA,NA,30,38,NA,42,35,27,31,NA
8,rv__56b0eec66399f90011d9cf67,rv,decision,CZ,CZ,25_34,female,employed,usable_complete,TRUE,TRUE,32,31,NA,27,NA,33,25,38,NA,NA,42,50,NA,50,NA,NA,NA,50,NA,NA,26,37,NA,NA,NA,39,NA,NA,27,27,NA,NA,NA
10,rv__577d0ad6adbc7500015d2839,rv,decision,IT,IT,25_34,other,unemployed,usable_complete_limited_metadata,TRUE,TRUE,32,NA,NA,40,NA,35,NA,40,34,NA,50,45,25,25,NA,33,37,40,42,30,30,25,NA,33,50,NA,45,50,50,50,50,25,45
11,rv__5788c16f275be600013590a8,rv,decision,GB,GB,45_54,female,employed,usable_complete,TRUE,TRUE,32,35,50,NA,NA,30,NA,49,50,30,40,NA,35,NA,30,35,NA,NA,NA,27,NA,NA,50,29,50,50,46,50,50,50,50,50,50
12,rv__57e928630cb6700001dd8f8a,rv,decision,PT,PT,25_34,female,employed,usable_partial,TRUE,TRUE,31,NA,37,NA,26,27,NA,50,36,26,34,NA,NA,NA,29,26,NA,30,NA,40,27,NA,NA,NA,30,38,NA,33,NA,NA,28,NA,NA
13,rv__58404fd8ad98e40001ce915f,rv,decision,GB,GB,45_54,female,employed,usable_complete,TRUE,TRUE,32,NA,29,25,NA,NA,34,50,NA,25,27,25,NA,25,30,NA,NA,NA,29,31,NA,NA,40,NA,48,NA,35,30,47,49,NA,49,NA
18,rv__598b108e504c5200011964a1,rv,decision,CH,CH,35_44,female,employed,usable_complete,TRUE,TRUE,32,NA,NA,45,25,NA,35,40,50,50,50,50,NA,50,NA,50,40,50,NA,40,NA,50,NA,NA,50,NA,NA,NA,50,30,35,50,NA
21,rv__59da7e94416c900001ea5b52,rv,decision,FR,FR,35_44,female,employed,usable_partial,TRUE,TRUE,31,NA,50,50,50,NA,40,NA,NA,26,36,50,NA,NA,40,50,27,50,25,50,32,NA,50,37,50,30,50,50,50,50,50,50,50
22,rv__59dbb88b0fb3a90001bd90b0,rv,decision,GB,GB,25_34,female,employed,usable_complete,TRUE,TRUE,32,NA,NA,NA,NA,NA,NA,50,36,39,30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,36,32,NA,29,NA,NA,34
25,rv__5a2310ebdf5bd00001b37474,rv,concerns2;decision,PL,PL,35_44,female,employed,usable_partial,TRUE,TRUE,31,33,33,NA,NA,NA,NA,26,40,38,43,31,NA,NA,35,NA,NA,30,29,NA,NA,43,40,NA,46,46,NA,32,43,34,39,43,NA
26,rv__5a2dbc92e2032600017f4b1d,rv,decision,DE,DE,25_34,male,unemployed,usable_complete,TRUE,TRUE,32,42,NA,NA,NA,NA,50,NA,NA,31,26,NA,NA,NA,30,30,NA,NA,NA,35,NA,NA,32,41,40,NA,NA,26,50,30,35,47,NA
27,rv__5abb9bcff69e940001d9171e,rv,decision;energy_crisis,PL,PL,18_24,female,employed,usable_complete,TRUE,TRUE,32,50,50,50,29,50,26,50,50,50,50,50,50,50,28,50,50,50,26,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
29,rv__5aeb24e22bd17300018779f2,rv,decision,EE,OTHER_COUNTRIES,25_34,female,employed,usable_complete,TRUE,TRUE,32,NA,50,NA,NA,26,NA,NA,NA,NA,NA,NA,30,NA,NA,39,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,42
30,rv__5af6e439672ea800010d4e92,rv,decision,NA,UNKNOWN,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,50,50,30,NA,50,25,50,50,30,50,25,50,50,35,50,50,50,50,NA,NA,NA,50,50,50,50,30,40,50,50,50,50,30
31,rv__5b0710e7a84dcf0001beee8a,rv,decision,GB,GB,55_64,female,employed,usable_complete,TRUE,TRUE,32,35,44,41,26,32,25,NA,NA,NA,34,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,34,NA,NA,46,NA,NA,33,NA,NA
32,rv__5b0f27321e55760001b9a8a5,rv,decision,GB,GB,45_54,female,employed,usable_partial,TRUE,TRUE,31,NA,31,NA,NA,NA,31,42,NA,NA,41,30,27,NA,25,NA,NA,NA,NA,41,35,29,40,NA,36,25,NA,NA,36,26,38,33,NA
35,rv__5b3f242f9c2ec600014ef9fc,rv,decision,IT,IT,45_54,female,employed,usable_complete,TRUE,TRUE,32,50,25,25,50,50,25,25,30,50,35,50,NA,NA,NA,NA,NA,30,40,50,50,NA,NA,NA,40,25,NA,47,50,50,NA,45,NA
36,rv__5b472672d4c93b00019bbc49,rv,decision,GB,GB,25_34,male,employed,usable_complete,TRUE,TRUE,32,28,NA,29,NA,NA,40,NA,38,40,NA,45,25,35,41,NA,30,40,NA,NA,30,NA,50,NA,50,NA,NA,33,50,50,50,50,NA
37,rv__5b55c6a2e173e60001963940,rv,decision,CH,CH,25_34,male,student,usable_partial,TRUE,TRUE,31,50,50,40,45,40,40,50,50,50,40,40,35,40,40,30,40,40,50,40,50,50,35,40,25,50,35,30,40,NA,35,30,45
38,rv__5b648251bd56550001bf31fd,rv,decision,DE,DE,55_64,female,employed,usable_complete,TRUE,TRUE,32,40,25,50,NA,40,NA,35,40,30,50,40,50,NA,NA,50,40,30,NA,50,NA,NA,50,NA,35,NA,30,35,50,35,50,40,NA
39,rv__5b681788ca518a0001c7a755,rv,decision,GB,GB,45_54,male,employed,usable_complete,TRUE,TRUE,32,33,36,28,27,50,41,50,50,25,31,45,33,50,41,30,50,45,28,NA,32,31,50,34,50,50,29,50,50,50,NA,50,26
45,rv__5bafd12a70f8df0001be84a7,rv,decision,PL,PL,35_44,male,employed,usable_complete,TRUE,TRUE,32,NA,30,35,45,NA,40,50,35,50,45,50,35,45,40,45,45,45,40,48,48,50,25,25,25,NA,NA,NA,NA,NA,NA,NA,40
47,rv__5bf3199ebe7c7300017b710a,rv,decision,DE,DE,35_44,male,employed,usable_complete,TRUE,TRUE,32,39,25,NA,NA,30,NA,34,NA,NA,38,35,38,36,NA,36,29,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,34,NA,36,30,31
49,rv__5c18daaae467040001e68fc4,rv,decision,GB,GB,35_44,female,employed,usable_partial,TRUE,TRUE,31,35,NA,40,50,NA,NA,NA,40,25,NA,50,25,25,NA,NA,28,NA,35,NA,NA,NA,44,35,49,30,30,NA,50,NA,50,50,NA
51,rv__5c3a139774d1c6000138da11,rv,decision,GB,GB,35_44,male,employed,usable_complete,TRUE,TRUE,32,NA,NA,42,NA,38,NA,26,27,NA,NA,NA,NA,50,50,NA,36,NA,29,50,25,50,50,49,NA,NA,NA,NA,25,NA,NA,30,NA
52,rv__5c4d8d706b23ab0001a34af2,rv,decision,GB,GB,25_34,female,unemployed,usable_complete,TRUE,TRUE,32,35,30,25,40,44,50,50,30,30,43,35,35,NA,30,25,NA,NA,40,36,NA,50,50,50,50,48,50,50,50,47,50,48,30
56,rv__5c59ceb27e554c0001257ff4,rv,decision,HU,HU,25_34,female,employed,usable_complete,TRUE,TRUE,32,NA,50,46,40,NA,39,50,38,NA,29,41,NA,32,36,NA,NA,36,NA,27,NA,37,31,NA,44,50,NA,NA,40,39,31,50,32
58,rv__5c609a727557640001f516c5,rv,decision,NA,UNKNOWN,unknown,unknown,unknown,usable_complete_limited_metadata,TRUE,TRUE,32,NA,NA,26,29,25,26,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,31,NA,34,NA,NA,37,NA,NA,NA,27,30,25,26,NA,NA,NA
59,rv__5c66cc9246bfc200019044b8,rv,decision,HU,HU,35_44,unknown,employed,usable_complete_limited_metadata,TRUE,TRUE,32,NA,NA,50,NA,30,NA,50,50,50,50,50,NA,40,NA,35,50,50,40,50,35,50,NA,50,NA,50,50,NA,30,50,25,NA,NA
64,rv__5c8ec442bda58f00125002a3,rv,decision,GB,GB,25_34,male,employed,usable_complete,TRUE,TRUE,32,25,44,NA,50,34,50,50,25,NA,42,50,50,50,45,50,NA,NA,31,NA,NA,50,36,50,50,40,34,40,50,50,50,50,50
66,rv__5cadbee8470c560001de5739,rv,decision,GB,GB,45_54,male,student,usable_complete,TRUE,TRUE,32,NA,49,47,39,30,50,34,25,35,38,NA,31,45,47,34,NA,NA,NA,50,NA,NA,25,50,50,NA,NA,35,45,50,50,50,NA
