analysis_sample,n_rows,n_unique_integrated_ids,n_subsamples,n_sources,n_europe,n_latam,n_diego,n_renovisor,n_why_europe,n_why_latam
COMPLETE,4372,4372,4,3,3764,608,1899,894,971,608
EUROPE,3764,3764,3,3,3764,0,1899,894,971,0
LATAM,608,608,1,1,0,608,0,0,0,608
DIEGO,1899,1899,1,1,1899,0,1899,0,0,0
RENOVISOR,894,894,1,1,894,0,0,894,0,0
WHY_EUROPE,971,971,1,1,971,0,0,0,971,0
WHY_LATAM,608,608,1,1,0,608,0,0,0,608
