analysis_sample,determinant,sample_mean,sample_sd_original,sample_sd_used,sd_replaced
COMPLETE,det_01_profits,54.87965957986384,27.477923987649476,27.477923987649476,FALSE
COMPLETE,det_02_credit_score,58.193203658401146,28.19386048218162,28.19386048218162,FALSE
COMPLETE,det_03_risk_profile,60.57157504486126,24.400203494264705,24.400203494264705,FALSE
COMPLETE,det_04_added_value,57.729397007899614,23.431576917785907,23.431576917785907,FALSE
COMPLETE,det_05_frugality,53.34945868198262,26.21263057123199,26.21263057123199,FALSE
COMPLETE,det_06_climate_protection,58.2676886248556,25.028221043711962,25.028221043711962,FALSE
COMPLETE,det_07_legal,62.09242459165467,25.75236248718087,25.75236248718087,FALSE
COMPLETE,det_08_trust,69.00084313560511,22.305713194805072,22.305713194805072,FALSE
COMPLETE,det_09_safety,64.76818276593214,23.49393222286157,23.49393222286157,FALSE
COMPLETE,det_10_cost_efficiency,71.15571686236012,22.73761089766405,22.73761089766405,FALSE
COMPLETE,det_11_knowledge,72.13209301927971,21.645719372844106,21.645719372844106,FALSE
COMPLETE,det_12_own_competence,62.29729484255524,24.07218798900725,24.07218798900725,FALSE
COMPLETE,det_13_technical_fit,67.49757986211873,22.884092363901935,22.884092363901935,FALSE
COMPLETE,det_14_environmental_concerns,63.595281672118894,23.505633418293588,23.505633418293588,FALSE
COMPLETE,det_15_self_satisfaction,71.05450571255135,21.1194608535966,21.1194608535966,FALSE
COMPLETE,det_16_commitment,68.84696207784589,20.58249794123733,20.58249794123733,FALSE
COMPLETE,det_17_adherence,71.38912126787729,20.390132056894895,20.390132056894895,FALSE
COMPLETE,det_18_autonomy,59.752076115054976,23.5594170179515,23.5594170179515,FALSE
COMPLETE,det_19_wellbeing,64.02873242700834,24.41065236204278,24.41065236204278,FALSE
COMPLETE,det_20_coziness,59.784048384741425,23.89042396467496,23.89042396467496,FALSE
COMPLETE,det_21_rights_and_duties,61.37788257420998,24.602534346916794,24.602534346916794,FALSE
COMPLETE,det_22_peer_pressure,39.925727988870925,25.789561139335508,25.789561139335508,FALSE
COMPLETE,det_23_support,47.010382730775504,25.57922847322663,25.57922847322663,FALSE
COMPLETE,det_24_socialising,36.150030793133645,26.21245929461379,26.21245929461379,FALSE
COMPLETE,det_25_agreement,50.482540473339775,26.790939451578563,26.790939451578563,FALSE
