integrated_row_id,global_participant_key,dataset_source,source_survey,country_model,country_model_grouped,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,det_01_profits,det_02_credit_score,det_03_risk_profile,det_04_added_value,det_05_frugality,det_06_climate_protection,det_07_legal,det_08_trust,det_09_safety,det_10_cost_efficiency,det_11_knowledge,det_12_own_competence,det_13_technical_fit,det_14_environmental_concerns,det_15_self_satisfaction,det_16_commitment,det_17_adherence,det_18_autonomy,det_19_wellbeing,det_20_coziness,det_21_rights_and_duties,det_22_peer_pressure,det_23_support,det_24_socialising,det_25_agreement,det_26_novelty,det_27_fun,det_28_recognition,det_29_trends,det_30_authority,det_31_approval,det_32_own_significance
5,rv__55e04d4c3b268b00110294fe,rv,decision,DK,DK,45_54,male,employed,usable_complete,TRUE,TRUE,32,80,60,29,60,79,61,87,81,39,80,87,43,83,79,65,72,66,59,68,58,65,35,59,22,77,37,46,15,35,12,29,38
6,rv__56ab6fd869b24700065cbdbd,rv,decision,GB,GB,55_64,male,employed,usable_complete,TRUE,TRUE,32,85,95,86,60,75,75,100,90,100,90,95,72,85,85,95,95,85,76,75,76,100,20,65,31,80,12,33,8,15,23,19,60
8,rv__56b0eec66399f90011d9cf67,rv,decision,CZ,CZ,25_34,female,employed,usable_complete,TRUE,TRUE,32,81,72,77,44,83,25,88,71,72,92,100,63,100,57,60,64,100,61,57,76,87,59,26,41,89,56,64,23,23,37,42,61
10,rv__577d0ad6adbc7500015d2839,rv,decision,IT,IT,25_34,other,unemployed,usable_complete_limited_metadata,TRUE,TRUE,32,50,40,90,55,85,40,90,84,70,100,95,75,75,40,83,87,90,92,80,80,25,35,17,0,60,5,0,0,0,0,75,5
11,rv__5788c16f275be600013590a8,rv,decision,GB,GB,45_54,female,employed,usable_complete,TRUE,TRUE,32,85,0,70,70,80,71,99,100,20,90,71,85,62,80,85,63,68,30,23,35,64,0,21,0,100,4,0,0,0,0,0,0
12,rv__57e928630cb6700001dd8f8a,rv,decision,PT,PT,25_34,female,employed,usable_partial,TRUE,TRUE,31,62,13,73,76,77,56,100,86,76,84,68,58,68,79,76,65,80,70,90,77,69,30,50,20,88,31,17,28,35,22,32,62
13,rv__58404fd8ad98e40001ce915f,rv,decision,GB,GB,45_54,female,employed,usable_complete,TRUE,TRUE,32,58,21,75,56,72,16,100,72,75,77,75,70,75,20,66,70,65,79,81,60,37,10,32,2,38,15,20,3,1,31,1,67
18,rv__598b108e504c5200011964a1,rv,decision,CH,CH,35_44,female,employed,usable_complete,TRUE,TRUE,32,60,50,95,25,60,85,90,100,100,100,100,70,100,70,100,90,100,30,90,70,100,60,60,0,30,30,50,0,20,15,0,50
21,rv__59da7e94416c900001ea5b52,rv,decision,FR,FR,35_44,female,employed,usable_partial,TRUE,TRUE,31,30,100,100,100,50,90,50,50,76,86,100,71,74,90,100,77,100,75,100,82,50,0,13,0,20,0,0,0,0,0,0,100
22,rv__59dbb88b0fb3a90001bd90b0,rv,decision,GB,GB,25_34,female,employed,usable_complete,TRUE,TRUE,32,54,72,71,65,71,61,100,86,89,80,76,68,43,67,69,55,69,43,57,35,50,27,39,24,51,14,18,60,21,35,36,16
