determinant,n_pos_ge_MAX,prop_pos_ge_MAX,n_ext_ge_Q3,prop_ext_ge_Q3,mean_raw_0_100,sd_raw_0_100
det_01_profits,2107,0.5597768331562167,1673,0.4444739638682253,52.07875786905682,27.199914420889865
det_02_credit_score,2259,0.6001594048884166,1804,0.47927736450584485,55.1248560701896,27.96310678670043
det_03_risk_profile,2566,0.6817215727948991,1584,0.4208289054197662,58.88653531321364,24.595167791378508
det_04_added_value,2556,0.6790648246546227,1368,0.36344314558979807,57.57293116711573,23.42846319258894
det_05_frugality,2138,0.5680127523910733,1593,0.42321997874601486,52.35829254253972,26.207341175063128
det_06_climate_protection,2461,0.6538257173219979,1598,0.42454835281615305,57.68594442388392,25.199271573442196
det_07_legal,2609,0.6931455897980872,1714,0.45536663124335813,61.32412689497452,25.7589217783725
det_08_trust,3092,0.8214665249734325,1975,0.5247077577045696,68.74831227540605,22.344237494851285
det_09_safety,2847,0.7563761955366631,1653,0.4391604675876727,63.57778101541385,23.68930402870123
det_10_cost_efficiency,3044,0.8087141339001063,2058,0.546758767268863,69.28070928983936,23.17351020091634
det_11_knowledge,3170,0.8421891604675876,2093,0.55605738575983,71.43726589264207,21.64307256177171
det_12_own_competence,2670,0.7093517534537725,1544,0.410201912858661,59.59812454075785,23.906528269034393
det_13_technical_fit,2953,0.7845377258235919,1813,0.4816684378320935,66.33062883130776,23.229696678209457
det_14_environmental_concerns,2832,0.7523910733262487,1706,0.4532412327311371,63.66151093924659,23.47526654232116
det_15_self_satisfaction,3151,0.8371413390010627,1977,0.5252391073326249,69.83960238223582,21.46972394187365
det_16_commitment,3136,0.8331562167906482,1721,0.45722635494155156,68.0696986708483,20.623299711141843
det_17_adherence,3222,0.8560042507970245,1939,0.5151434643995749,70.73800231037401,20.376850570532792
det_18_autonomy,2533,0.6729543039319873,1417,0.37646121147715195,57.976274171033936,23.564315685906614
det_19_wellbeing,2738,0.7274176408076515,1704,0.4527098831030818,62.494598831240395,24.63815036353852
det_20_coziness,2513,0.6676408076514346,1473,0.39133900106269925,58.674285139215236,23.935278933043215
det_21_rights_and_duties,2574,0.6838469713071201,1573,0.41790648246546225,59.6933723867577,24.618212268989378
det_22_peer_pressure,1405,0.3732731137088204,1736,0.461211477151966,39.671880063694104,25.64769031625945
det_23_support,1738,0.46174282678002126,1492,0.39638682252922425,45.71009327857745,25.29550232893423
det_24_socialising,1176,0.31243358129649307,1901,0.5050478214665249,36.17987067244835,25.898414138118547
det_25_agreement,1979,0.5257704569606801,1629,0.43278427205100956,49.71996616050537,26.649784502895997
det_26_novelty,2246,0.5967056323060573,1582,0.42029755579171096,53.56533073113496,26.030540485724895
det_27_fun,1940,0.5154091392136025,1622,0.43092454835281613,48.349370256323596,26.88678220082746
det_28_recognition,933,0.24787460148777896,2113,0.5613708820403825,31.621743263141386,25.546540242895645
det_29_trends,959,0.2547821466524973,1955,0.519394261424017,33.066353738949594,24.163996533437253
det_30_authority,1264,0.33581296493092455,1721,0.45722635494155156,38.004794851847905,25.48019709680883
det_31_approval,815,0.21652497343251859,2126,0.5648246546227418,30.137041317237287,24.35472705099012
det_32_own_significance,2579,0.6851753453772582,1507,0.40037194473963866,58.9801362461175,24.056445748267667
