integrated_row_id,global_participant_key,dataset_source,source_survey,country_model,country_model_grouped,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_financial,dim_security,dim_competence,dim_autonomy,dim_physiological,dim_relatedness,dim_stimulation,dim_popularity,dim_meaning
2846,diego__diego_627,diego,Survey_September2023_cleaned,ES,ES,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.7060128263418064,0.6301654353134375,0.6619498777234591,0.5442645233198735,0.8040949608200023,0.5797850115618043,0.8693366305906265,0.5,0.5378562284052092
2847,diego__diego_628,diego,Survey_September2023_cleaned,ES,ES,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5014227002604438,0.5240936293716797,0.5914854106233629,0.7361889935045112,0.7461145865212608,0.5,0.5,0.5411841981200664,0.6509906938261443
2848,diego__diego_629,diego,Survey_September2023_cleaned,ES,ES,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.5321283880644537,0.6549045732965375,0.664749306112196,0.5359455481658147,0.6535673805652202,0.5898424812318606,0.71505034183862,0.6609680150099593,0.5756327983083825
2849,diego__diego_630,diego,Survey_September2023_cleaned,ES,ES,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.711866494395432,0.7043942817308189,0.7128504474030263,0.8621449488338446,0.9242146244318841,0.5,0.5,0.5,0.5591469876080989
2850,diego__diego_631,diego,Survey_September2023_cleaned,IT,IT,45_54,female,unemployed,usable_complete,TRUE,TRUE,32,0.5624184706843491,0.6563508354792168,0.6101196954566779,0.6164318821308576,0.621106027961749,0.5710416339533474,0.7202465652471837,0.5,0.531119523729549
2851,diego__diego_632,diego,Survey_September2023_cleaned,ES,ES,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.7514189713371133,0.7949110537720957,0.6512750121436687,0.6004560079669774,0.8504257231762422,0.6131687560357355,0.5,0.5051527955839792,0.6720869226210029
2852,diego__diego_633,diego,Survey_September2023_cleaned,IT,IT,18_24,female,student,usable_complete,TRUE,TRUE,32,0.6568374312263014,0.6615047332252298,0.6048985743769402,0.5654018332525467,0.6421614746234665,0.6206607378329523,0.691883354534137,0.5,0.7545146012126541
2853,diego__diego_634,diego,Survey_September2023_cleaned,ES,ES,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.7469543151192077,0.8452260448939385,0.8717200477281106,0.6511306840483962,0.8570955245621401,0.6638189920445295,0.6020884403111698,0.6465200872783206,0.7235620362230466
2854,diego__diego_635,diego,Survey_September2023_cleaned,GR,GR,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5384823034798057,0.7571240445004513,0.663204130906544,0.7855476599217956,0.5,0.6286522860320641,0.549376667987892,0.5402551189225354,0.6918225809995951
2855,diego__diego_636,diego,Survey_September2023_cleaned,IT,IT,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5,0.6657971210779629,0.8102199816498339,0.6039230322670185,0.5,0.5025358323996889,0.6544715507415242,0.5,0.6849385696240414
2856,diego__diego_637,diego,Survey_September2023_cleaned,IT,IT,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.5857648029851104,0.5661084354072309,0.7511956165914923,0.8082837039027413,0.5,0.5318550887166519,0.6643932838276776,0.5,0.7389428374488096
2857,diego__diego_638,diego,Survey_September2023_cleaned,GR,GR,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5699587203767308,0.6515306506847764,0.7094053953248445,0.6991629711402498,0.5,0.7118677540039611,0.6901638128640792,0.5,0.8730215770998381
2858,diego__diego_639,diego,Survey_September2023_cleaned,ES,ES,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.7749503602770531,0.8291660394731517,0.6926376189327736,0.615460194325096,0.8051568806017493,0.5348845554956917,0.7531887892903024,0.5330313049741424,0.7394967357038799
2859,diego__diego_640,diego,Survey_September2023_cleaned,ES,ES,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.7958642407720135,0.6505720566289875,0.7276463583462216,0.7124743038829355,0.8288027403394217,0.5,0.5,0.5,0.6070173870502961
2860,diego__diego_641,diego,Survey_September2023_cleaned,IT,IT,18_24,female,student,usable_complete,TRUE,TRUE,32,0.5380795927163834,0.5604739211379376,0.6286862907426984,0.6163239825607909,0.536981382918044,0.5963072373649003,0.6010440816025413,0.6393231692444113,0.7081642534467597
2861,diego__diego_642,diego,Survey_September2023_cleaned,IT,IT,18_24,male,student,usable_complete,TRUE,TRUE,32,0.6820663698810169,0.7839104482566109,0.7246619520528389,0.8133680064832192,0.9806243230251508,0.721162866429055,0.6943208662598062,0.5,0.7883414334193007
2862,diego__diego_643,diego,Survey_September2023_cleaned,IT,IT,18_24,male,employed,usable_complete,TRUE,TRUE,32,0.5209087950296645,0.7570012781064954,0.5912241337609806,0.5864495921312881,0.5,0.5,0.8334100154540482,0.5661374958446954,0.6231215944918037
2863,diego__diego_644,diego,Survey_September2023_cleaned,ES,ES,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.526090822186872,0.8178065739638066,0.5990298558844156,0.7723105610920993,0.714966056405493,0.7229472299321543,0.6307330695202409,0.5426086492847162,0.8452560332716029
2864,diego__diego_645,diego,Survey_September2023_cleaned,IT,IT,18_24,male,employed,usable_complete,TRUE,TRUE,32,0.6544330425516465,0.5380308348724683,0.7872547614829546,0.7651381018376626,0.5645045895327332,0.5711796634083803,0.7396510590489633,0.5,0.7337481103932818
2865,diego__diego_646,diego,Survey_September2023_cleaned,IT,IT,18_24,female,student,usable_complete,TRUE,TRUE,32,0.5858403331966153,0.5664425381555883,0.5,0.6266459682389096,0.5,0.5862508593332262,0.6845908836604839,0.5226103418339032,0.833446406574402
2866,diego__diego_647,diego,Survey_September2023_cleaned,ES,ES,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5,0.7052219450521343,0.730447651438548,0.6209922678082125,0.5,0.6457425719469375,0.5,0.5,0.7603052612039316
2867,diego__diego_648,diego,Survey_September2023_cleaned,ES,ES,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5392489074317627,0.7708823408817168,0.7030704559511942,0.667972227597425,0.5,0.6231484820344484,0.5874131151770894,0.5,0.6995978282970942
2868,diego__diego_649,diego,Survey_September2023_cleaned,IT,IT,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5695522211446111,0.7044682376331574,0.7402778468288255,0.5386798162136907,0.5843957855525908,0.5074755737506791,0.5,0.5048323333670242,0.7069459086966693
2869,diego__diego_650,diego,Survey_September2023_cleaned,IT,IT,18_24,female,student,usable_complete,TRUE,TRUE,32,0.5787759598956892,0.7327621355861368,0.8805094909818642,0.5707550480266532,0.5,0.5151051726795188,0.5,0.5,0.7286576809742833
2870,diego__diego_651,diego,Survey_September2023_cleaned,ES,ES,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.5471085840468658,0.5486900180086293,0.6545082436068492,0.5682977776886038,0.5,0.5,0.6095151682376405,0.5,0.7275145856989202
2871,diego__diego_652,diego,Survey_September2023_cleaned,ES,ES,18_24,male,student,usable_complete,TRUE,TRUE,32,0.5517593970956303,0.62739185920186,0.7059257579622379,0.7179132331325946,0.6366361665380244,0.7547582372008634,0.644724194961898,0.5,0.6272635806014191
2872,diego__diego_653,diego,Survey_September2023_cleaned,GR,GR,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.6073040273066559,0.6375608198191768,0.7168503723889045,0.6759670093502586,0.6122215978995802,0.5483512828242867,0.7586005211441991,0.5614836838493766,0.5461985828269258
2873,diego__diego_654,diego,Survey_September2023_cleaned,IT,IT,18_24,male,employed,usable_complete,TRUE,TRUE,32,0.5007311961834294,0.5344481531388894,0.6687948540798325,0.6095416427568054,0.7326471759696374,0.5654139362267847,0.7456092695137763,0.6054120743693981,0.5060720002892846
2874,diego__diego_655,diego,Survey_September2023_cleaned,ES,ES,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.5288946540240621,0.5604647000187847,0.7326834022821366,0.8341613349595189,0.6527347336502971,0.6083373118331137,0.645993046813284,0.5763141968700941,0.7535928888431118
2875,diego__diego_656,diego,Survey_September2023_cleaned,IT,IT,25_34,male,unemployed,usable_complete,TRUE,TRUE,32,0.5300708780370339,0.9216382455056635,0.6281227494750692,0.7251653939140864,0.7479965089593028,0.5258214574546974,0.6758241802836462,0.5,0.6863863521996575
2876,diego__diego_657,diego,Survey_September2023_cleaned,IT,IT,45_54,female,employed,usable_complete,TRUE,TRUE,32,0.6595986901564167,0.5861867128989097,0.6492020029617236,0.8097196030057229,0.6247389801077106,0.5,0.6876373561174816,0.882265415992894,0.684921980812473
