analysis_sample,matrix_name,n_rows,n_determinants,n_values,n_missing,prop_missing,mean_value,sd_value,min_value,q25_value,median_value,q75_value,max_value
WHY_EUROPE,matrix_32_raw_0_1,971,32,31072,0,0,0.5664894438722946,0.26631115881388207,0,0.37,0.6,0.76,1
WHY_EUROPE,matrix_32_pos_0_1,971,32,31072,0,0,0.6501448249227553,0.15788604099263753,0.5,0.5,0.6,0.76,1
WHY_EUROPE,matrix_32_ext_0_1,971,32,31072,0,0,0.3265724768280119,0.3857605046728555,0,0,0,0.68,1
WHY_EUROPE,matrix_32_z_abs,971,32,31072,0,0,0.794276262455622,0.599541165403267,0,0.31360280510427746,0.6769267578150676,1.1668883166341362,4.661298197419453
WHY_EUROPE,matrix_9dim_raw_0_1,971,9,8739,0,0,0.5678396841743907,0.2082785189834113,0,0.4425,0.5975,0.7166666666666667,1
WHY_EUROPE,matrix_9dim_pos_0_1,971,9,8739,0,0,0.6494280428729445,0.11945759082964819,0.5,0.55,0.6333333333333333,0.73,1
WHY_EUROPE,matrix_9dim_ext_0_1,971,9,8739,0,0,0.3195858031048554,0.2762780557182555,0,0,0.28,0.504,1
WHY_EUROPE,matrix_9dim_z_abs,971,9,8739,0,0,0.794586202783773,0.40007089624647135,0,0.5014780029133054,0.7401915026602911,1.0229155230918312,3.209323811937512
WHY_LATAM,matrix_32_raw_0_1,608,32,19456,0,0,0.6207781661184221,0.2677586052864688,0,0.43,0.67,0.81,1
WHY_LATAM,matrix_32_pos_0_1,608,32,19456,0,0,0.6873591694078965,0.1717957993238979,0.5,0.5,0.67,0.81,1
WHY_LATAM,matrix_32_ext_0_1,608,32,19456,0,0,0.37443050986842064,0.4002885935309899,0,0,0,0.72,1
WHY_LATAM,matrix_32_z_abs,608,32,19456,0,0,0.7956713352979905,0.592965923414129,0,0.30977634107847046,0.690283527501691,1.1879452591025796,4.550092845031412
WHY_LATAM,matrix_9dim_raw_0_1,608,9,5472,0,0,0.6228602278265107,0.207271157047677,0,0.5,0.645,0.7733333333333333,1
WHY_LATAM,matrix_9dim_pos_0_1,608,9,5472,0,0,0.6873121040448344,0.13214308975040878,0.5,0.58,0.6725,0.78,1
WHY_LATAM,matrix_9dim_ext_0_1,608,9,5472,0,0,0.368855080409357,0.2903103490357569,0,0.128,0.3333333333333333,0.5810000000000001,1
WHY_LATAM,matrix_9dim_z_abs,608,9,5472,0,0,0.794926919035599,0.40208620432667685,0,0.5006914629959895,0.744302848147327,1.0365702140501565,3.3105541604219377
