analysis_sample,determinant,n_pos_ge_MAX,n_ext_ge_threshold,mean_raw_0_100,sd_raw_0_100,prop_pos_ge_MAX,prop_ext_ge_threshold
COMPLETE,det_01_profits,2597,1998,54.837247168144856,27.361971454760013,0.5940073193046661,0.4569990850869167
COMPLETE,det_02_credit_score,2772,2184,58.118242966192284,28.0754021575617,0.6340347666971637,0.49954254345837146
COMPLETE,det_03_risk_profile,3045,1864,60.45309215895145,24.288566879199358,0.6964775846294602,0.4263494967978042
COMPLETE,det_04_added_value,2910,1577,57.61448145311608,23.275510881077736,0.6655992680695334,0.36070448307410796
COMPLETE,det_05_frugality,2489,1834,53.30732230789554,26.04986820485488,0.5693046660567246,0.419487648673376
COMPLETE,det_06_climate_protection,2849,1830,58.19393751406665,24.928441078642606,0.6516468435498628,0.4185727355901189
COMPLETE,det_07_legal,3029,2001,61.970725899516104,25.65083794046156,0.6928179322964318,0.45768526989935954
COMPLETE,det_08_trust,3559,2273,68.80092575586195,22.272588913808814,0.8140439158279963,0.5198993595608418
COMPLETE,det_09_safety,3345,1946,64.63306672964728,23.428429559463563,0.765096065873742,0.44510521500457456
COMPLETE,det_10_cost_efficiency,3606,2484,71.02506627789442,22.727801765240926,0.8247941445562672,0.5681610247026533
COMPLETE,det_11_knowledge,3687,2485,72.03084831196341,21.64773290612435,0.8433211344922232,0.5683897529734675
COMPLETE,det_12_own_competence,3182,1911,62.12290502548333,23.945049456704844,0.7278133577310155,0.437099725526075
COMPLETE,det_13_technical_fit,3476,2131,67.38551850893016,22.853353012343273,0.7950594693504117,0.487419945105215
COMPLETE,det_14_environmental_concerns,3238,1949,63.49266403827173,23.446286494585127,0.7406221408966148,0.4457913998170174
COMPLETE,det_15_self_satisfaction,3708,2357,70.96300625954613,21.1189806785766,0.848124428179323,0.5391125343092407
COMPLETE,det_16_commitment,3640,2041,68.6659070899069,20.565721285423287,0.8325709057639524,0.46683440073193044
COMPLETE,det_17_adherence,3726,2304,71.20810628916922,20.397990351100546,0.8522415370539799,0.5269899359560841
COMPLETE,det_18_autonomy,3003,1702,59.61154985813633,23.417880685865107,0.6868709972552608,0.38929551692589204
COMPLETE,det_19_wellbeing,3251,2032,63.92284309258671,24.348630683155662,0.7435956084172004,0.464775846294602
COMPLETE,det_20_coziness,2953,1735,59.67886762671691,23.783050658626955,0.6754345837145471,0.39684354986276305
COMPLETE,det_21_rights_and_duties,3057,1892,61.26597750772072,24.506961800058818,0.6992223238792314,0.43275388838060386
COMPLETE,det_22_peer_pressure,1639,2000,40.00868173827647,25.699272897741157,0.37488563586459284,0.45745654162854527
COMPLETE,det_23_support,2068,1719,47.05004371010193,25.411255547000284,0.4730100640439158,0.39318389752973465
COMPLETE,det_24_socialising,1328,2212,36.29575325047934,26.112441329807464,0.3037511436413541,0.505946935041171
COMPLETE,det_25_agreement,2304,1876,50.47757379417695,26.652719113351488,0.5269899359560841,0.42909423604757546
COMPLETE,det_26_novelty,2600,1821,54.12646497529541,25.992272169955918,0.5946935041171089,0.4165141811527905
COMPLETE,det_27_fun,2181,1883,48.28637457566381,26.891918002994636,0.49885635864592864,0.4306953339432754
COMPLETE,det_28_recognition,1118,2450,32.38317512407669,26.13519316093998,0.25571820677035684,0.560384263494968
COMPLETE,det_29_trends,1195,2228,34.476842514502714,24.852660658541936,0.27333028362305584,0.5096065873741995
COMPLETE,det_30_authority,1463,1998,38.63290206366776,25.83947952676839,0.33462946020128087,0.4569990850869167
COMPLETE,det_31_approval,901,2502,29.70192669672478,24.48200011577802,0.20608417200365967,0.5722781335773102
COMPLETE,det_32_own_significance,2988,1744,59.500739439704006,23.92315299404224,0.6834400731930467,0.3989021043000915
