consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_05_frugality,67,0.67,0.23433910264209395
1,det_01_profits,65,0.65,0.2876146569401085
1,det_02_credit_score,59,0.59,0.2365537283333425
1,det_10_cost_efficiency,43,0.43,0.17933690114293435
1,det_13_technical_fit,43,0.43,0.15759193726865664
1,det_18_autonomy,40,0.4,0.15700026972697229
1,det_07_legal,29,0.29,0.13824278910829285
1,det_17_adherence,29,0.29,0.12477596484087942
2,det_28_recognition,94,0.94,0.4137433758354462
2,det_31_approval,90,0.9,0.42290138710947073
2,det_30_authority,86,0.86,0.3826843041629573
2,det_29_trends,81,0.81,0.31284440997409
2,det_24_socialising,71,0.71,0.2690779540500353
2,det_22_peer_pressure,39,0.39,0.16974508279514378
2,det_05_frugality,28,0.28,0.14853622075100106
2,det_18_autonomy,24,0.24,0.11668070906714852
3,det_10_cost_efficiency,55,0.55,0.22710442507018883
3,det_09_safety,55,0.55,0.17643696583120236
3,det_02_credit_score,46,0.46,0.18428169341712008
3,det_14_environmental_concerns,40,0.4,0.17862730543432112
3,det_11_knowledge,38,0.38,0.15670769929625333
3,det_26_novelty,38,0.38,0.1519024422677569
3,det_17_adherence,37,0.37,0.14218995168184428
3,det_12_own_competence,36,0.36,0.1441798924771105
4,det_19_wellbeing,74,0.74,0.34284785636605875
4,det_20_coziness,67,0.67,0.2822365233313539
4,det_09_safety,58,0.58,0.2255006434848417
4,det_15_self_satisfaction,37,0.37,0.15745057738256413
4,det_18_autonomy,36,0.36,0.14500059471315885
4,det_21_rights_and_duties,30,0.3,0.1339034836021002
4,det_29_trends,29,0.29,0.1301301580392765
4,det_10_cost_efficiency,28,0.28,0.13386190336752526
5,det_25_agreement,72,0.72,0.28058799182557354
5,det_23_support,69,0.69,0.29218845594405557
5,det_22_peer_pressure,57,0.57,0.2524580918447808
5,det_07_legal,50,0.5,0.18871446336644374
5,det_21_rights_and_duties,45,0.45,0.17213527460223918
5,det_04_added_value,34,0.34,0.15123037488666685
5,det_12_own_competence,32,0.32,0.13469214901531457
5,det_08_trust,26,0.26,0.12109210306883898
6,det_16_commitment,66,0.66,0.2651294807599257
6,det_32_own_significance,61,0.61,0.23613836876753458
6,det_14_environmental_concerns,57,0.57,0.21589795212188984
6,det_15_self_satisfaction,55,0.55,0.23961167692868388
6,det_08_trust,50,0.5,0.2011092675884861
6,det_06_climate_protection,47,0.47,0.17560001494452782
6,det_04_added_value,37,0.37,0.15464161913744986
6,det_17_adherence,30,0.3,0.13060362563887448
