"cluster","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"cluster_1",28.5714285714286,42.8571428571429,80,80,40,12.5,100,60
"cluster_2",44.4444444444444,55.5555555555556,44.4444444444444,44.4444444444444,22.2222222222222,44.4444444444444,55.5555555555556,33.3333333333333
"cluster_3",50,16.6666666666667,50,20,100,20,40,66.6666666666667
"cluster_4",42.8571428571429,57.1428571428571,66.6666666666667,42.8571428571429,33.3333333333333,25,57.1428571428571,50
"cluster_5",42.8571428571429,22.2222222222222,66.6666666666667,42.8571428571429,33.3333333333333,42.8571428571429,57.1428571428571,50
"cluster_6",66.6666666666667,37.5,42.8571428571429,42.8571428571429,33.3333333333333,25,57.1428571428571,28.5714285714286
"cluster_7",0,20,0,0,0,25,0,0
