"cluster","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful"
"cluster_1",22.2222222222222,66.6666666666667,60,71.4285714285714,66.6666666666667,25,71.4285714285714
"cluster_2",66.6666666666667,55.5555555555556,33.3333333333333,77.7777777777778,55.5555555555556,55.5555555555556,77.7777777777778
"cluster_3",14.2857142857143,40,25,28.5714285714286,40,16.6666666666667,28.5714285714286
"cluster_4",50,57.1428571428571,50,62.5,57.1428571428571,57.1428571428571,62.5
"cluster_5",16.6666666666667,20,0,14.2857142857143,0,20,14.2857142857143
"cluster_6",50,37.5,50,62.5,83.3333333333333,37.5,62.5
"cluster_7",71.4285714285714,22.2222222222222,28.5714285714286,44.4444444444444,37.5,57.1428571428571,44.4444444444444
