"","FINANCIAL","SECURITY","COMPETENCE","AUTONOMY","PHYSICALNESS","RELATEDNESS","STIMULATION","POPULARITY","MEANING"
"Early.Adopter",0,0.25,0.6,0.75,0,0.4,0.999999999,1,0.5
"Fearful",0.4,0.75,0.6,0.75,0.5,0.2,0.333333333,0,0.5
"Careful",0.4,0.75,1,1,0.5,0,0,0,0
"Stubborn",0.4,0.5,1,0.75,0.5,0,0.333333333,0,0.5
"Influencer",0.4,0.25,0.4,0,0,0.8,0.666666666,1,1
"Uninterested",0,0.25,0.6,0.5,1,0.6,0.333333333,1,0.5
"Homo.Economicus",0.6,0.5,0.6,0.5,0,0.2,0.666666666,0.5,0.5
"X8",0,0.75,0.8,0.75,0,0.4,0.333333333,0.5,0.5
