"cluster","best_match","pct_match","active_determinants","n_active_dets"
"cluster_1","Early Adopter",0,"",0
"cluster_2","Fearful",60,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF-SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; RECOGNITION; OWN SIGNIFICANCE",15
"cluster_3","Careful",42.1052631578947,"PROFITS; CREDIT SCORE; ADDED VALUE; FRUGALITY; CLIMATE PROTECTION; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; ENVIRONMENTAL CONCERNS; AUTARKY; COZINESS; RIGHTS AND DUTIES",15
"cluster_4","Homo Economicus",20,"PROFITS; RISK PROFILE; CLIMATE PROTECTION; LEGAL; COST-EFFICIENCY; OWN COMPETENCE; TECHNICAL FIT; COZINESS; SOCIALISING; NOVELTY; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE; APPROVAL",15
