bootstrap_id,consensus_factor,reference_factor,original_factor,alignment_similarity_pct
1,1,MR1,MR4,62.5
1,2,MR2,MR3,100
1,3,MR3,MR2,62.5
1,4,MR4,MR5,75
1,5,MR5,MR1,75
1,6,MR6,MR6,75
2,1,MR1,MR1,62.5
2,2,MR2,MR5,87.5
2,3,MR3,MR6,75
2,4,MR4,MR2,75
2,5,MR5,MR4,62.5
2,6,MR6,MR3,75
3,1,MR1,MR2,62.5
3,2,MR2,MR1,87.5
3,3,MR3,MR6,62.5
3,4,MR4,MR3,75
3,5,MR5,MR5,50
3,6,MR6,MR4,87.5
4,1,MR1,MR3,50
4,2,MR2,MR1,75
4,3,MR3,MR5,50
4,4,MR4,MR6,62.5
4,5,MR5,MR4,25
4,6,MR6,MR2,75
5,1,MR1,MR2,62.5
5,2,MR2,MR1,87.5
5,3,MR3,MR5,62.5
5,4,MR4,MR6,62.5
5,5,MR5,MR3,50
5,6,MR6,MR4,75
6,1,MR1,MR3,12.5
6,2,MR2,MR4,87.5
6,3,MR3,MR6,62.5
6,4,MR4,MR5,75
6,5,MR5,MR2,87.5
6,6,MR6,MR1,75
7,1,MR1,MR2,87.5
7,2,MR2,MR1,100
7,3,MR3,MR4,75
7,4,MR4,MR6,75
7,5,MR5,MR5,87.5
7,6,MR6,MR3,87.5
8,1,MR1,MR2,62.5
8,2,MR2,MR6,100
8,3,MR3,MR1,50
8,4,MR4,MR3,87.5
8,5,MR5,MR4,62.5
8,6,MR6,MR5,75
9,1,MR1,MR3,75
9,2,MR2,MR6,100
9,3,MR3,MR2,75
9,4,MR4,MR1,100
9,5,MR5,MR4,87.5
9,6,MR6,MR5,75
10,1,MR1,MR4,87.5
10,2,MR2,MR5,87.5
10,3,MR3,MR2,87.5
10,4,MR4,MR1,75
10,5,MR5,MR3,87.5
10,6,MR6,MR6,75
11,1,MR1,MR3,87.5
11,2,MR2,MR4,100
11,3,MR3,MR1,87.5
11,4,MR4,MR2,62.5
11,5,MR5,MR6,87.5
11,6,MR6,MR5,87.5
12,1,MR1,MR3,62.5
12,2,MR2,MR2,100
12,3,MR3,MR4,62.5
12,4,MR4,MR6,62.5
12,5,MR5,MR5,87.5
12,6,MR6,MR1,87.5
13,1,MR1,MR5,50
13,2,MR2,MR2,87.5
13,3,MR3,MR3,62.5
13,4,MR4,MR6,75
13,5,MR5,MR1,75
13,6,MR6,MR4,75
14,1,MR1,MR1,62.5
14,2,MR2,MR6,87.5
14,3,MR3,MR2,62.5
14,4,MR4,MR3,75
14,5,MR5,MR5,75
14,6,MR6,MR4,87.5
15,1,MR1,MR5,87.5
15,2,MR2,MR4,87.5
15,3,MR3,MR6,62.5
15,4,MR4,MR3,75
15,5,MR5,MR1,87.5
15,6,MR6,MR2,87.5
16,1,MR1,MR6,75
16,2,MR2,MR2,87.5
16,3,MR3,MR1,87.5
16,4,MR4,MR5,87.5
16,5,MR5,MR4,75
16,6,MR6,MR3,75
17,1,MR1,MR4,75
17,2,MR2,MR3,100
17,3,MR3,MR6,75
17,4,MR4,MR1,87.5
17,5,MR5,MR5,87.5
17,6,MR6,MR2,87.5
18,1,MR1,MR6,62.5
18,2,MR2,MR2,100
18,3,MR3,MR5,75
18,4,MR4,MR3,87.5
18,5,MR5,MR1,100
18,6,MR6,MR4,75
19,1,MR1,MR5,100
19,2,MR2,MR4,87.5
19,3,MR3,MR3,62.5
19,4,MR4,MR2,62.5
19,5,MR5,MR6,87.5
19,6,MR6,MR1,75
20,1,MR1,MR2,87.5
20,2,MR2,MR4,100
20,3,MR3,MR3,75
20,4,MR4,MR1,62.5
20,5,MR5,MR5,87.5
20,6,MR6,MR6,87.5
21,1,MR1,MR3,37.5
21,2,MR2,MR6,62.5
21,3,MR3,MR4,75
21,4,MR4,MR1,50
21,5,MR5,MR5,50
21,6,MR6,MR2,87.5
22,1,MR1,MR3,100
22,2,MR2,MR1,100
22,3,MR3,MR5,62.5
22,4,MR4,MR2,62.5
22,5,MR5,MR6,75
