consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_21_rights_and_duties,94,0.94,0.5055094163402346
1,det_07_legal,90,0.9,0.5067114858549078
1,det_25_agreement,86,0.86,0.26247872277902917
1,det_08_trust,78,0.78,0.2237552029070759
1,det_09_safety,76,0.76,0.20900868814143203
1,det_22_peer_pressure,52,0.52,0.19247603677679226
1,det_31_approval,51,0.51,0.1984545658024733
1,det_03_risk_profile,50,0.5,0.1716842629475309
2,det_30_authority,100,1,0.5412555290289608
2,det_24_socialising,100,1,0.5181669176467564
2,det_28_recognition,99,0.99,0.5813764842815093
2,det_31_approval,97,0.97,0.49791879172179315
2,det_27_fun,97,0.97,0.36885007151217625
2,det_29_trends,93,0.93,0.381653991192907
2,det_22_peer_pressure,84,0.84,0.3704627105995735
2,det_26_novelty,81,0.81,0.3203536382232635
3,det_20_coziness,100,1,0.7210509369819782
3,det_19_wellbeing,100,1,0.618347477728289
3,det_09_safety,100,1,0.39139805488677665
3,det_18_autonomy,88,0.88,0.1876657252734862
3,det_25_agreement,84,0.84,0.1838852895665871
3,det_27_fun,66,0.66,0.16009207035212394
3,det_13_technical_fit,46,0.46,0.12630891404175854
3,det_15_self_satisfaction,26,0.26,0.10159377940061745
4,det_06_climate_protection,100,1,0.6961164003801081
4,det_14_environmental_concerns,100,1,0.642134071772473
4,det_23_support,100,1,0.3766857997331278
4,det_04_added_value,96,0.96,0.26328520033284586
4,det_25_agreement,76,0.76,0.20282540038089053
4,det_32_own_significance,60,0.6,0.1701038050760692
4,det_08_trust,53,0.53,0.15389737591176195
4,det_11_knowledge,39,0.39,0.14485445985988524
5,det_16_commitment,97,0.97,0.41950738682942784
5,det_15_self_satisfaction,97,0.97,0.3805109301743346
5,det_32_own_significance,92,0.92,0.343103168245315
5,det_12_own_competence,73,0.73,0.2503956349646419
5,det_18_autonomy,69,0.69,0.241829934451408
5,det_17_adherence,68,0.68,0.2603747171795142
5,det_13_technical_fit,61,0.61,0.23136685219039624
5,det_11_knowledge,48,0.48,0.20833477022831276
6,det_10_cost_efficiency,100,1,0.6420468470664493
6,det_01_profits,100,1,0.5411546859775419
6,det_03_risk_profile,100,1,0.47986384283011735
6,det_02_credit_score,100,1,0.4345022150781498
6,det_05_frugality,99,0.99,0.530978104578871
6,det_11_knowledge,89,0.89,0.27095699298553494
6,det_13_technical_fit,56,0.56,0.23101481225637904
6,det_12_own_competence,39,0.39,0.2176849597971352
