"","Early Adopter","Uninterested","Homo Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"pattern_2",6,6,9,9,3,5,12,6
"pattern_21",9,9,14,14,8,6,17,11
"pattern_10",9,11,14,14,8,6,17,13
"pattern_29",5,9,6,8,2,6,11,7
"pattern_15",6,8,7,9,3,7,12,6
"pattern_63",8,10,13,13,7,5,16,12
"pattern_28",15,15,10,6,12,16,7,11
"pattern_140",10,10,15,15,9,7,18,12
"pattern_82",10,10,15,15,9,5,18,14
"pattern_57",15,17,10,8,12,14,9,11
"pattern_352",11,11,14,14,10,8,17,13
"pattern_22",15,15,10,6,12,14,9,11
"pattern_92",7,7,8,8,4,6,11,7
"pattern_113",15,17,12,8,12,14,7,11
"pattern_142",7,11,12,12,6,4,15,11
"pattern_24",8,8,11,11,5,5,14,8
"pattern_68",10,10,15,15,9,7,18,12
"pattern_5",7,9,10,10,4,4,13,9
"pattern_48",6,10,7,7,3,7,10,8
"pattern_18",15,15,12,10,12,18,9,13
"pattern_249",13,15,12,10,12,14,15,13
"pattern_1",15,17,10,8,12,16,9,11
"pattern_123",15,17,10,8,12,14,11,11
"pattern_83",10,10,13,13,9,7,16,12
"pattern_151",13,15,12,12,12,14,17,13
"pattern_102",13,15,12,10,12,14,15,13
"pattern_184",10,8,15,15,9,5,18,12
"pattern_16",10,12,13,15,9,9,18,12
"pattern_233",15,15,10,8,12,18,7,13
"pattern_284",11,13,12,16,10,10,19,13
"pattern_165",9,9,14,14,8,4,17,13
"pattern_294",13,15,10,6,12,18,5,9
"pattern_60",15,15,10,6,12,18,7,11
"pattern_101",15,15,10,6,12,18,7,11
"pattern_144",13,15,14,12,12,14,17,15
"pattern_45",10,8,13,13,7,5,16,10
"pattern_56",8,10,13,13,7,5,16,10
"pattern_80",13,17,10,8,12,16,7,9
"pattern_177",7,9,8,8,4,8,11,7
"pattern_143",13,17,10,8,12,18,7,9
"pattern_39",15,15,10,6,12,16,9,11
"pattern_44",6,8,7,7,3,5,10,8
"pattern_298",10,12,13,13,9,7,16,14
"pattern_152",12,10,13,13,9,7,16,12
"pattern_223",9,9,12,12,6,4,15,9
"pattern_107",13,15,10,6,12,18,5,9
"pattern_186",4,10,7,9,1,7,10,6
"pattern_218",15,15,10,10,12,18,9,13
"pattern_852",9,11,16,16,10,6,17,13
"pattern_88",15,17,10,8,12,18,7,11
"pattern_623",15,17,12,8,12,16,7,11
"pattern_403",15,17,12,10,12,18,7,13
"pattern_13",15,17,12,10,12,14,11,11
"pattern_69",13,17,10,8,12,18,5,11
"pattern_115",11,9,12,12,8,6,15,11
"pattern_137",13,15,8,8,12,18,7,9
"pattern_190",13,17,14,12,12,18,9,15
"pattern_454",6,10,7,9,3,7,12,8
"pattern_64",11,9,14,14,8,6,17,11
"pattern_127",13,17,14,14,12,14,17,15
"pattern_120",10,14,11,15,9,9,18,14
"pattern_46",15,15,12,10,12,18,9,15
"pattern_175",15,15,8,6,12,18,7,11
"pattern_158",13,15,12,10,12,14,13,11
"pattern_72",13,15,10,10,12,18,7,11
"pattern_210",12,12,15,15,11,9,16,14
"pattern_86",7,11,14,14,8,6,15,11
"pattern_232",5,7,8,8,2,4,11,7
"pattern_587",15,13,8,8,12,18,9,11
"pattern_256",7,11,8,10,4,6,13,9
"pattern_354",10,10,11,11,7,5,14,10
"pattern_51",6,10,9,11,3,5,14,8
"pattern_239",13,17,12,10,12,14,15,13
"pattern_206",15,15,12,8,12,18,7,11
"pattern_262",7,9,6,8,4,8,11,7
"pattern_171",9,11,12,14,8,8,17,11
"pattern_32",8,12,15,15,9,7,16,12
"pattern_217",12,14,13,15,11,11,18,14
"pattern_78",15,17,10,8,12,18,7,13
"pattern_428",13,17,10,8,12,16,9,9
"pattern_613",6,12,13,13,7,5,14,10
"pattern_914",13,15,12,12,12,14,17,13
"pattern_520",7,7,10,10,4,6,13,7
"pattern_411",11,9,16,16,10,6,19,13
"pattern_59",13,17,12,10,12,18,7,13
"pattern_561",15,15,8,8,12,18,9,11
"pattern_52",8,10,7,7,5,9,12,8
"pattern_191",13,15,10,6,12,18,7,9
"pattern_772",13,15,10,6,12,16,7,9
"pattern_419",11,13,14,16,10,10,17,13
"pattern_269",13,17,10,8,12,14,9,9
"pattern_7",6,10,7,7,3,9,8,8
"pattern_387",11,11,14,14,10,6,17,15
"pattern_871",6,10,5,7,3,7,10,8
"pattern_547",11,9,16,16,10,6,19,13
"pattern_161",9,11,12,12,8,6,15,13
"pattern_254",11,15,12,14,10,10,17,15
"pattern_278",9,11,6,8,6,10,13,9
"pattern_148",5,11,8,8,2,8,9,7
"pattern_440",13,17,10,10,12,18,7,11
"pattern_130",15,15,10,8,12,14,9,11
"pattern_117",8,8,7,7,5,9,10,8
"pattern_26",10,12,15,15,11,7,16,14
"pattern_103",8,12,11,13,7,7,16,12
"pattern_372",13,15,10,10,12,18,9,13
"pattern_12",15,15,10,6,12,18,7,11
"pattern_98",7,9,8,10,4,8,13,7
"pattern_43",13,15,14,12,12,14,15,15
"pattern_94",12,16,13,13,11,13,16,14
"pattern_96",13,15,12,12,12,18,11,15
"pattern_180",11,15,12,12,10,12,15,13
"pattern_517",9,13,12,14,8,8,17,13
"pattern_865",13,17,14,12,12,14,15,15
